timestamp,accX,accY,accZ
0,-192,-12440,8556
2,3138,-6436,7808
3,4052,-2442,5436
4,2942,3986,5000
6,-4276,3018,7814
7,-6700,-1840,11976
9,-4830,-9344,6720
10,-3314,-10080,5492
11,-1302,-8448,8892
13,1828,-4180,7652
14,2546,24,5174
15,-1616,734,6338
17,-4296,-2062,8698
18,-5686,-9108,7122
20,-2058,-10242,4780
21,-438,-9526,7324
22,966,-4718,7948
24,1112,-1226,6932
25,1314,910,6074
26,-2294,-2032,8322
28,-3380,-5986,6968
29,-518,-8514,3968
31,510,-7708,6334
32,140,-3020,7812
33,-720,-346,6788
35,-1170,1698,9226
36,-4164,-2944,9874
37,-5434,-5552,9370
39,-2194,-10124,5380
40,830,-8430,5566
42,1158,-7364,6826
43,-308,-210,5410
44,-1456,2654,6652
46,-4830,-3006,10518
47,-6092,-7036,9676
49,-3120,-10352,5744
50,2084,-10724,6376
51,3350,-8090,5672
53,4140,236,3314
54,548,3978,5176
55,-2900,3026,10224
57,-5796,-5338,11950
58,-5038,-9198,8128
59,-1834,-11620,6634
61,2134,-8822,8694
62,3356,-5752,3962
64,2346,3890,3912
65,-2160,3470,6106
66,-5788,-2460,12360
68,-7822,-8164,10958
69,-4614,-10668,6090
71,-262,-11368,9058
72,938,-7806,8966
73,3282,1174,3860
75,792,3102,5048
76,-2264,482,9578
77,-5348,-7316,9900
79,-3662,-9788,6706
80,-1750,-9796,6082
81,456,-7560,8456
83,1810,-4062,6140
84,2678,1474,5718
86,-812,1392,5762
87,-3132,-6474,9472
88,-2634,-8000,7034
90,-1128,-8490,6534
91,-1148,-6296,8696
93,-910,-3534,8176
94,-776,958,7954
95,-3320,38,8200
97,-5124,-2866,9860
98,-1792,-10212,7306
100,-574,-9470,4252
101,1368,-7046,7912
102,414,-3734,7238
104,-264,200,6382
105,-4030,192,8898
106,-5406,-3792,10798
108,-4938,-9960,6364
109,992,-10862,4688
110,3232,-9996,6264
112,3074,-2810,5886
113,1012,752,4234
115,256,1634,7906
116,-6876,-1476,11480
117,-7044,-6440,7804
119,-1186,-11320,6506
120,1750,-10782,8000
122,3168,-4528,6136
123,2772,550,3962
124,478,2616,7154
126,-6866,1516,10764
127,-9072,-5304,10302
129,-4014,-10576,6064
130,-380,-12300,6188
131,890,-6228,7720
133,3782,-2260,4886
134,2762,2504,4268
135,-3882,674,7132
137,-5614,-3936,9710
138,-5404,-9990,6318
140,-218,-10484,4656
141,216,-10252,8072
142,3066,-2826,6538
144,2654,514,6100
145,716,1322,6566
146,-4514,-2628,8564
148,-4656,-6684,7758
149,-1268,-8838,4358
150,-640,-7186,6808
152,-1302,-3474,8810
153,-284,422,6986
155,-1192,944,8420
156,-4944,-3468,9888
157,-4194,-7970,9144
159,-2396,-9528,3326
160,384,-7794,5484
162,134,-6632,7370
163,-726,112,6356
164,-1128,1746,5690
166,-3274,-4850,10614
167,-3472,-7970,8632
168,-766,-9712,4024
170,2954,-8138,5558
171,2414,-5650,6406
173,1436,2140,5620
174,-1474,3034,6550
175,-4846,1092,10292
177,-6108,-7606,10212
178,-3434,-10788,8598
179,102,-10912,6574
181,2766,-7032,7544
182,2818,-2924,4776
183,1558,3088,5910
185,-5128,2546,8936
186,-8084,-1548,10680
188,-5768,-9840,8566
189,-2082,-12344,6900
190,2058,-8614,7720
192,3690,-5870,6304
193,4094,3640,3002
195,-2046,3548,5368
196,-3582,-392,11000
197,-5876,-8480,9536
199,-2630,-9780,4552
200,178,-11870,8580
201,2882,-4642,7046
203,2664,-1086,4976
204,186,2618,5488
205,-3270,760,7014
207,-5864,-3292,10874
208,-3574,-9710,6302
210,-1376,-8354,8192
211,-840,-6294,9340
212,-176,-2608,8922
214,600,1456,6236
215,-2566,-692,7774
216,-4946,-4626,8994
218,-3654,-10000,6232
219,-364,-9326,4358
221,372,-5860,7548
222,-280,-2800,8428
223,160,-58,6434
225,-1652,-1354,8432
226,-3790,-4838,9488
228,-2424,-9426,5552
229,1766,-9762,4522
230,1604,-7450,6618
232,300,-576,6614
233,-228,1574,6264
234,-3034,430,9744
236,-6350,-4878,10844
237,-5152,-8516,6980
239,156,-11236,6258
240,1776,-9188,6892
241,3172,-5896,5508
243,1020,794,5178
244,-3258,3064,7260
245,-5720,-3274,11314
247,-7366,-7864,10856
248,-3968,-12204,6162
250,1642,-11590,7500
251,3632,-8278,5080
252,3724,1558,3050
254,880,4414,3976
255,-2444,-2066,9860
256,-7082,-6606,11474
258,-5306,-8564,5154
259,508,-12478,7270
261,1612,-8298,7876
262,3084,-308,5522
263,2026,3314,4906
265,-1574,2434,7766
266,-7130,-4548,11400
268,-6056,-8860,10074
269,-3776,-9370,6570
270,-622,-9596,9370
272,-340,-5560,7584
273,1176,1264,5840
274,-518,1720,6346
