timestamp,accX,accY,accZ
0,-1650,2812,6204
2,-4384,-6304,9996
3,-4764,-8936,7768
4,-1864,-10176,6542
6,606,-7744,8012
7,1700,-3640,7534
9,2470,1270,6520
10,-930,2424,5282
11,-3842,404,9686
13,-4574,-8078,9238
14,-2538,-8966,5100
16,-1328,-7682,8452
17,-1010,-5994,9320
18,-226,892,6664
20,-2130,140,7388
21,-3924,-2422,9696
22,-2782,-8082,8404
24,-354,-9786,5272
25,962,-6832,6296
27,538,-4956,7620
28,-194,-1980,5854
29,-2100,568,6632
31,-4040,-2850,10186
32,-4078,-8190,7046
34,902,-10040,5138
35,2478,-6182,6166
36,1550,-3198,5722
38,934,258,6716
39,-1148,2068,8066
41,-6834,-754,10162
42,-7356,-5914,9416
43,-1940,-10704,7170
45,532,-10954,7760
46,1596,-5220,5736
47,2810,-952,4354
49,582,3016,7032
50,-6504,98,9486
51,-7662,-5508,10876
53,-5848,-11206,7020
54,290,-13156,6718
56,1566,-6964,5768
57,4768,-2244,4674
58,3454,2182,5388
60,-68,3152,7538
61,-5670,-2132,8938
62,-6406,-7274,7136
64,-1778,-10798,5672
65,126,-10888,7898
67,2652,-3190,7020
68,2402,-134,6602
69,670,2486,6738
71,-4744,-696,8154
72,-5964,-6408,10522
73,-5144,-9050,4890
75,-1458,-8356,7086
76,-882,-8742,7790
78,738,-1160,6660
79,-154,954,7670
80,-1400,-3020,8564
82,-3472,-5386,8414
83,-2548,-8254,5036
84,368,-7862,4918
86,832,-6986,6648
87,278,-1266,6970
89,-604,524,6454
90,-2632,224,9532
91,-3544,-5982,8196
93,-1342,-8284,7034
94,770,-7882,6158
95,1700,-5958,5824
97,348,-2548,6682
98,-2226,1790,7488
100,-5342,1250,9480
101,-6708,-6458,9706
102,-4196,-10072,9224
104,-994,-9598,6570
105,2578,-7674,5868
107,3342,-4186,5194
108,1584,2392,6130
109,-4152,2364,7596
111,-6098,-1964,10458
112,-5598,-9468,8512
113,-1358,-11612,6646
115,1110,-9438,6942
116,4828,-5326,5536
118,3832,-502,4638
119,-1356,4920,5772
120,-4236,1504,8572
122,-7200,-7510,10330
123,-3130,-10828,6052
124,-1168,-11590,8002
126,1804,-5354,7804
127,2734,-2470,4876
129,86,3534,5584
130,-3678,1542,6926
131,-6330,-7580,11042
133,-4840,-9994,6722
134,-2758,-9386,8078
136,20,-8354,8690
137,1078,-4190,7244
138,1806,1152,6700
140,-1866,-1096,7582
141,-3352,-2534,8316
142,-2424,-9342,7372
144,-822,-9496,5408
145,418,-6852,7122
146,548,-3862,7768
148,688,-756,6610
149,-1874,-222,7930
151,-3334,-3760,9386
152,-2782,-8444,6598
153,-48,-8944,5280
155,762,-7514,6822
156,-740,-1918,6916
158,-1102,496,8240
159,-5332,-552,9370
160,-5936,-3310,10012
162,-5888,-7126,7504
163,-346,-10452,6258
165,1690,-9224,6130
166,2502,-3290,5494
167,696,478,4824
169,-1800,426,8456
170,-6294,-3792,10820
171,-5978,-6860,6916
173,-3374,-11868,6212
174,2422,-11718,7498
176,4240,-8342,4976
177,3962,926,3718
178,202,5146,5580
180,-2366,-234,9902
181,-8194,-4534,11816
182,-5706,-9424,6476
184,-658,-12058,6676
185,1388,-8342,7762
187,2228,-624,5028
188,1864,2810,4944
189,-1550,1058,7952
191,-7250,-3420,11260
192,-6862,-9718,6042
193,-1972,-10118,5890
195,-92,-11216,8338
196,756,-3358,6010
198,2460,1334,5334
199,888,900,6980
200,-3822,-2684,8804
202,-3726,-6824,8460
203,-2520,-9056,4722
205,430,-8622,6708
206,208,-6820,7190
207,948,436,5946
209,-702,582,7108
210,-2244,-3074,9684
211,-2934,-6858,7742
213,-1460,-7922,5222
214,92,-7356,6814
215,-1140,-4882,8156
217,-366,984,6658
218,-3292,960,8088
220,-4856,-1146,10538
221,-3682,-8016,8216
222,-1528,-9910,6762
224,438,-8580,6262
225,1920,-5988,6500
227,1978,-2564,5318
228,-1964,2728,6512
229,-4784,-598,9478
231,-5818,-7718,8102
232,-1476,-9772,6216
233,914,-11852,6792
235,3854,-6950,5930
236,3964,-2408,4686
237,2038,5164,5494
239,-4200,2854,8376
240,-7942,-1964,11276
242,-4564,-9456,7014
243,-2148,-12422,5986
244,620,-7500,8482
246,2698,-4494,6490
247,3060,896,4518
248,-2924,2120,6400
250,-6062,204,9544
251,-8008,-10352,9034
253,-2986,-10904,5620
254,-746,-11214,8652
255,2774,-6594,6660
257,3028,-1214,5926
258,3122,1346,5822
260,-3036,296,7006
261,-4506,-3708,9498
262,-2590,-8972,5752
264,-460,-8450,4602
265,-334,-6796,8266
266,1892,-1250,7454
268,1198,286,5934
269,-2632,80,8284
271,-4332,-4616,10036
272,-3622,-7792,4526
273,-956,-7790,4906
275,-868,-7936,8728
