timestamp,accX,accY,accZ
0,-2172,-8852,5080
2,590,-8092,4858
3,-242,-6748,7282
4,-826,-628,6488
6,-2348,1490,7166
7,-4240,-2494,10996
9,-5856,-7092,9762
10,-2184,-9954,5824
11,1936,-9764,5182
13,2642,-7316,5550
14,2444,-1064,4664
16,-742,3200,5570
17,-2980,2214,10988
18,-6286,-6244,11440
20,-3394,-8610,6916
21,-504,-11782,7010
22,2824,-8420,7268
24,4040,-4586,3646
25,1066,3334,4858
27,-2502,3230,6300
28,-6126,-4830,12320
29,-7016,-8168,9426
31,-3496,-12182,7036
32,688,-9340,9554
34,1844,-6014,5174
35,1926,2548,4754
36,-58,3072,4942
38,-5178,-2594,9354
39,-6956,-7994,10586
41,-4638,-11250,4906
42,-156,-10092,7306
43,1044,-8704,8776
45,3430,616,4614
46,1828,2452,4846
47,-1226,182,8524
49,-4112,-6302,9108
50,-3528,-9226,4894
52,-1288,-8710,5762
53,-102,-7946,8276
54,406,500,8060
56,-766,898,7174
57,-1956,1428,9072
59,-4860,-6362,9692
60,-2968,-8838,7572
61,-1050,-7996,5750
63,-750,-6994,8316
64,-1024,-3440,7092
66,-1944,-64,6686
67,-3608,218,8970
68,-5486,-7662,9120
70,-1718,-9866,7082
71,1058,-10230,5310
72,1674,-7416,6272
74,2054,-3548,4928
75,-590,2248,5946
77,-3814,854,8908
78,-6200,-6536,9470
79,-2846,-9312,8010
81,514,-10978,6284
82,3164,-7068,6274
84,3792,-2738,5298
85,1566,3914,5472
86,-4098,3024,7416
88,-7382,-1320,11002
89,-6248,-8664,8930
90,-2380,-11766,6762
92,170,-8764,8658
93,3034,-5654,6754
95,2970,-680,4066
96,-1990,2990,5732
97,-5710,252,8464
99,-7430,-9414,10254
100,-3422,-10266,5256
102,-582,-10874,9110
103,2614,-7546,7732
104,3858,-1928,3248
106,1454,2058,5248
107,-2430,548,6894
108,-4426,-2104,9494
110,-3210,-10098,6232
111,-994,-9250,7236
113,24,-7190,8646
114,754,-2770,8272
115,1118,2254,7014
117,-3268,1264,7668
118,-4322,-6622,9396
120,-3162,-9198,7146
121,-1846,-9072,6376
122,-842,-6710,8464
124,-732,-3494,8164
125,-112,-630,6510
127,-3426,-364,8944
128,-4124,-3786,8574
129,-764,-9984,5910
131,1154,-9536,3432
132,1790,-6640,6498
133,790,-2754,6398
135,240,214,6226
136,-1308,398,9644
138,-5084,-3900,10518
139,-4544,-9632,7354
140,678,-10094,5680
142,2182,-8940,6120
143,2008,-2018,6048
145,434,880,4926
146,-1938,1014,8866
147,-7424,-2606,11286
149,-7714,-6764,7636
150,-1110,-11912,7222
151,256,-11444,8466
153,3638,-3594,4780
154,2666,822,3856
156,802,2216,7248
157,-5890,-1186,9570
158,-7450,-6362,7750
160,-2018,-10364,5600
161,76,-12384,7580
163,1890,-4856,6226
164,4300,-1294,4244
165,3002,2562,5322
167,-3234,906,7734
168,-5914,-4078,10310
170,-5800,-9092,5520
171,-1298,-10158,6158
172,-78,-10802,9170
174,1640,-2464,7894
175,1694,1488,6292
176,-660,472,7822
178,-5798,-2298,9818
179,-5164,-10288,6266
181,-1902,-9110,5054
182,-712,-8382,8984
183,110,-3908,8090
185,440,-404,6194
186,-2254,-950,7228
188,-3910,-4338,10102
189,-2462,-9280,4986
191,744,-8874,3552
192,1756,-7570,7844
193,508,-2900,5894
195,96,1046,5756
196,-2316,-1292,10102
197,-4724,-3580,10418
199,-3540,-6360,6972
200,242,-10078,6614
202,1694,-7562,5732
203,1820,-2256,5816
204,-442,1500,6040
206,-3594,2416,10178
207,-7510,-4112,11012
209,-5934,-8320,7332
210,-760,-11478,7504
211,1832,-10506,7526
213,3056,-2972,4296
214,2326,1894,4310
215,-1744,3508,7388
217,-6456,-3268,10652
218,-6890,-7660,10598
220,-4128,-10818,6140
221,1492,-12446,7996
222,3066,-7882,5408
224,4054,586,3456
225,1960,3758,4736
226,-1816,-138,9590
228,-7316,-5692,11380
229,-6174,-7924,5570
231,-760,-11678,6808
232,-408,-9226,9380
233,1038,-1078,6720
235,1410,2756,5888
236,-832,2306,8602
237,-6288,-3992,9950
239,-5090,-8696,5732
240,-3542,-9530,5018
242,-744,-8912,7960
243,-392,-3046,7254
244,1580,478,5810
246,24,844,7434
247,-3548,-4446,9344
249,-2074,-8354,7990
250,-750,-8148,3624
252,660,-7602,6378
253,292,-2110,6450
254,-948,850,6994
256,-2118,834,9604
257,-4930,-4368,10500
258,-2650,-7274,8042
260,-1274,-9476,5150
261,714,-6588,6478
263,472,-5176,5912
264,-1588,1560,6712
265,-4038,830,7926
267,-6468,-5622,11026
268,-4576,-8864,8494
269,-1770,-10940,6148
271,2172,-8778,6758
272,3508,-5872,5212
274,3448,2232,4856
275,-1850,3566,5512
276,-4820,944,11148
