timestamp,accX,accY,accZ
0,2768,556,5504
2,1214,1438,5482
3,-1924,-2672,8366
4,-4244,-7770,9454
6,-2550,-10122,3886
7,314,-7844,5736
9,46,-7446,8438
10,1110,-248,6526
11,-430,1068,6348
13,-1732,722,9666
14,-2830,-6404,8342
15,-1512,-7922,6656
17,-322,-7366,6228
18,-1036,-5378,8058
20,-804,-2978,7086
21,-2706,648,7744
22,-4820,-666,8960
24,-5578,-3858,9020
25,-1570,-9100,6802
26,246,-10348,5116
28,1514,-6004,6774
29,1972,-2922,5126
30,-964,2360,6472
32,-4926,138,9660
33,-6164,-4402,8226
35,-2074,-10068,6870
36,686,-11484,6430
37,3192,-6692,5386
39,4344,-2696,4026
40,2486,1912,5706
42,-3560,2134,7644
43,-7124,-1726,10720
44,-7812,-9670,8204
46,-1492,-11882,6160
47,1006,-11504,8680
48,3226,-4832,6636
50,2258,1030,4814
51,1142,3926,7462
52,-6466,1108,9424
54,-7974,-4836,10022
55,-3688,-11580,6100
57,-780,-11588,6182
58,106,-6338,7438
59,3310,-1830,5790
61,3178,1054,5166
62,-3088,758,6904
64,-4780,-3602,8956
65,-4492,-9846,5980
66,-444,-8780,4434
68,262,-8542,8136
69,1668,-2906,7550
70,1640,512,6260
72,-388,702,8230
73,-3856,-3632,8718
75,-3852,-6184,6148
76,-598,-8218,4990
77,-812,-7856,7480
79,-1166,-2400,7766
80,-1456,-242,6988
81,-2266,294,10244
83,-5024,-4272,9764
84,-3166,-7250,7766
86,-1210,-9624,5306
87,1326,-7418,5974
88,1248,-5752,5276
90,560,780,5810
91,-2110,1262,7514
92,-4962,-730,9534
94,-3972,-8132,7604
95,-672,-10294,7156
97,1632,-7936,6074
98,4060,-5776,4818
99,2812,1920,5090
101,-1650,3514,6740
102,-5624,980,10790
103,-6776,-7452,10056
105,-3970,-10764,8164
106,-828,-10378,8016
108,2612,-7660,7226
109,3306,-2910,4826
110,-462,3938,5542
112,-5034,2732,8262
113,-6926,-7172,11306
114,-5974,-10666,7792
116,-2252,-11316,8028
117,2164,-9722,8260
119,3626,-4222,6186
120,3702,1992,5030
121,-892,2166,5236
123,-3322,1232,9500
124,-5444,-9356,8996
126,-2566,-9258,5632
127,-162,-9500,8186
128,1126,-5452,7664
130,2036,-1682,6538
131,-1020,1798,6990
132,-2746,340,7372
134,-5334,-7402,9942
135,-2638,-8974,6392
137,-1610,-7796,7426
138,-1366,-5888,9376
139,-458,-2578,8326
141,-212,282,7412
142,-3516,-2504,8638
144,-4422,-8156,8604
145,-732,-10208,5292
146,720,-8416,5482
148,862,-4932,7320
149,-98,-2316,6500
150,-722,1314,7488
152,-4148,-2076,9330
153,-4352,-5054,7786
155,44,-10406,6130
156,1658,-9240,5308
157,2712,-4608,6090
159,1328,-1488,5318
160,138,2704,7152
161,-6100,-620,10350
163,-7384,-4488,8992
164,-2190,-10996,7780
166,-336,-11624,7290
167,1818,-6184,5970
168,2792,-1996,5690
170,1256,2352,6390
171,-5084,2144,8916
173,-7736,-3406,11338
174,-7356,-10978,6598
175,-1502,-12720,6754
177,1474,-12168,6146
178,4246,-2924,5026
179,4358,168,3934
181,1332,2896,5716
182,-4402,42,8350
184,-6712,-6790,8332
185,-4746,-9176,5176
186,-346,-10678,6322
188,1184,-8458,7926
189,2526,-726,5886
190,1298,2476,6250
192,-1506,80,8488
193,-5872,-4868,10200
195,-5164,-9180,6030
196,-1432,-9104,5944
197,-1552,-8382,9138
199,-500,-1816,6948
200,78,690,6084
201,-1016,-2604,8714
203,-4126,-5366,8988
204,-2276,-8218,5094
206,-980,-9072,4678
207,946,-6768,6404
208,404,-1968,6450
210,-448,1370,6230
211,-2058,622,9556
212,-3692,-5096,8476
214,-1740,-7798,6810
215,46,-9210,5930
217,1756,-6706,5592
218,1068,-3598,5632
219,414,2790,7388
221,-4332,946,8416
222,-6740,-1352,10450
223,-4000,-9142,8466
225,-1870,-11064,7902
226,564,-8480,6330
227,2854,-5324,6004
229,2696,-1244,6130
230,-3954,3476,6734
232,-5854,650,9968
233,-7550,-9066,8728
234,-3058,-10438,6404
236,106,-13142,7684
237,4500,-5848,6014
239,4832,-1712,4404
240,3300,3782,4556
241,-2620,3034,6754
243,-6084,-3304,11198
244,-4834,-8466,6914
245,-1632,-10796,7842
247,1200,-7048,8420
248,2486,-3592,7074
250,2596,3074,5352
251,-2454,2006,6590
252,-5926,-1254,11182
254,-5624,-8228,8562
255,-2956,-9644,5002
257,-1370,-8946,9882
258,632,-5516,8466
259,1772,-1310,5366
261,-702,-280,6136
262,-3344,-3166,9038
263,-3506,-7858,7270
265,-850,-10180,4808
266,694,-8158,7160
268,532,-4736,7480
269,284,-920,7258
270,-358,498,7180
272,-3184,-2282,9068
273,-3626,-5546,7618
274,294,-8996,4682
