timestamp,accX,accY,accZ
0,572,1078,5788
2,-3022,-382,8024
3,-4206,-4978,9600
4,-3680,-9112,5168
6,288,-9218,4758
7,-1026,-7540,9138
8,-1496,-1078,7700
10,-1826,874,7600
11,-2756,230,10504
13,-4944,-6166,10028
14,-2374,-9576,7516
15,-360,-9336,3894
17,1410,-7124,6846
18,1022,-4900,5390
19,-282,2010,5698
21,-2820,1488,6978
22,-5066,-6942,9856
23,-2570,-8882,7112
25,602,-10188,5732
26,3166,-7536,5954
28,3016,-3884,5462
29,2098,-496,5292
30,-3234,3522,6846
32,-7018,-50,10978
33,-8326,-7902,9180
34,-2754,-10582,6458
36,-344,-12076,9096
37,2806,-5560,6788
39,3678,-1172,3962
40,1508,2128,6000
41,-5920,1428,8988
43,-7164,-3464,9918
44,-4342,-9678,6238
45,-1264,-11226,5878
47,756,-8068,8442
48,4182,-2772,4504
49,3570,1244,4368
51,-2124,2018,6222
52,-4238,-1694,9158
54,-5780,-8806,7850
55,-1492,-9404,4614
56,-118,-9386,8404
58,1430,-3848,7778
59,2052,-508,6590
60,1072,1502,6696
62,-4132,-1404,8444
63,-4986,-5206,8302
64,-4208,-10052,4610
66,-1074,-8734,6226
67,-1554,-7920,9276
69,-888,-804,7606
70,-616,1172,6566
71,-2650,-2662,9394
73,-3740,-6368,9498
74,-2168,-9526,4156
75,1066,-8184,4450
77,1102,-6932,6676
78,1150,-800,5800
80,-638,2056,6040
81,-3006,820,10784
82,-3848,-6888,8872
84,-1960,-8442,7286
85,1296,-8752,5102
86,2728,-6644,6376
88,1762,-3576,6406
89,-1278,2862,6088
90,-5024,3056,8430
92,-7118,-5614,11294
93,-4902,-9056,9684
95,-1688,-11530,7570
96,1922,-9040,7504
97,3460,-4894,5370
99,2778,2344,4118
100,-3764,2848,7134
102,-5794,-106,11748
103,-6104,-8874,8522
104,-2682,-9986,5038
106,62,-11042,9150
107,3978,-6120,5604
108,4126,-1616,3958
110,52,3008,5096
111,-3182,1942,7398
113,-5878,-7580,10674
114,-3326,-8776,6166
115,-1378,-9698,8990
117,724,-7242,8232
118,2588,-2880,6828
119,2712,2412,5686
121,-2914,1044,7168
122,-5304,-1328,10248
123,-4224,-10206,7978
125,-2774,-9670,4788
126,-1480,-8392,9060
128,-102,-4238,8940
129,890,-392,6304
130,-554,430,7240
132,-3226,-3404,8742
133,-3828,-6740,6192
134,-556,-9230,4088
136,982,-8432,4900
137,920,-3788,7200
139,34,-356,6132
140,-942,1542,8574
141,-3840,-3308,9840
143,-3544,-6442,8518
144,-960,-9306,5344
145,1804,-8102,5584
147,1572,-2584,6148
148,-324,518,6202
150,-2302,2238,7690
151,-5700,-2482,11240
152,-6630,-6878,10944
154,-3410,-10746,6216
155,926,-10494,7102
156,2662,-8036,4906
158,2068,80,4222
159,-458,2698,5746
161,-4552,-2064,10324
162,-7328,-6932,10926
163,-4600,-9868,5618
165,1002,-11638,7302
166,3236,-9678,7418
168,4246,-300,3504
169,2340,3770,4058
170,-1340,3304,7552
172,-7480,-3930,11432
173,-6406,-8650,10150
174,-3402,-10894,6170
176,480,-9688,8122
177,1124,-6026,6418
179,2446,2082,4692
180,186,2642,4798
181,-4000,-2838,10768
183,-6374,-7906,10694
184,-4388,-10254,5110
185,-592,-9994,7742
187,-840,-7778,9768
188,1040,630,6648
190,522,1544,6142
191,-1556,524,8362
192,-3608,-7340,9140
194,-1936,-9854,7030
195,-178,-7016,4850
196,128,-6828,7714
198,516,-3596,6542
199,-1154,1604,6468
200,-2384,-58,7878
202,-4224,-7298,8700
203,-1184,-8406,6154
205,458,-8618,5434
206,1170,-5420,7512
207,-450,-2920,7146
209,-1244,504,8216
210,-5658,-556,10028
211,-6674,-3176,11598
213,-5284,-10190,7634
214,154,-11012,6144
216,2202,-9804,6648
217,3016,-3574,4382
218,958,838,4908
220,-1712,1106,8450
221,-6512,-3384,11012
222,-6418,-7442,7232
224,-92,-11490,6028
225,2776,-11132,6582
227,3432,-3588,4576
228,3402,1694,4168
229,644,3644,6160
231,-6398,-372,9920
232,-8348,-5822,9218
234,-2640,-10814,5502
235,64,-11412,7024
236,458,-5782,8042
238,3006,-938,5104
239,1690,3106,6270
240,-5718,362,7954
242,-6774,-2994,10752
243,-6598,-10826,6724
244,-1096,-10750,5186
246,-348,-9786,9972
247,2524,-2802,6508
249,2492,2322,5348
250,1082,40,7272
251,-3640,-3038,8592
253,-3774,-7770,6548
254,-142,-8832,3696
256,300,-6988,6360
257,206,-2650,7790
258,460,474,6518
260,-856,1346,8734
261,-4172,-3868,9270
262,-3046,-7110,8332
264,-1730,-8396,4488
265,48,-8088,6992
266,-846,-5950,6960
268,-1874,140,6758
269,-3136,702,8514
271,-5488,-4188,10216
272,-4098,-7582,8608
273,-1418,-10670,5490
