timestamp,accX,accY,accZ
0,1612,-9330,5422
2,2190,-5776,6384
3,100,-192,6836
5,-1056,3308,6142
6,-4396,-1270,11350
7,-7874,-6080,11070
9,-5364,-9420,6872
10,-1782,-11858,6944
11,2148,-8960,7638
13,3750,-5252,4860
14,1568,2692,4502
15,-2512,4034,6114
17,-5216,-5182,11378
18,-6292,-8956,9928
20,-3290,-12634,5494
21,1582,-11032,8088
23,3418,-6554,5114
24,3808,2078,3672
25,366,3578,4820
27,-2518,-2708,9944
28,-7084,-7538,11182
29,-4800,-9288,5190
31,-688,-11046,8118
32,740,-7398,8848
34,1084,-576,5966
35,1014,2314,5468
36,-2260,1324,9150
38,-6106,-5130,10870
39,-4862,-9526,8394
40,-2132,-8658,6362
42,-816,-8436,8600
43,-172,-5256,6982
45,388,1020,5496
46,-1134,504,6808
47,-3146,-6304,9436
49,-1726,-8514,6644
50,204,-9078,5236
52,1118,-7098,6756
53,536,-3678,6406
54,210,1934,6740
56,-2822,-178,8494
57,-4492,-3274,9130
58,-2206,-8870,7448
60,518,-10108,5476
61,826,-5980,6834
63,484,-2164,6576
64,-690,2520,7342
65,-5184,1328,9482
67,-7074,-2796,9906
68,-3768,-10982,7844
70,-712,-12772,7010
71,1054,-8302,5698
72,3338,-3750,4908
74,3064,54,5454
75,-3748,3476,6918
77,-5702,-978,11040
78,-4978,-9318,8120
79,-1168,-11478,5026
81,360,-10174,7406
82,4518,-4574,6408
83,4534,-394,4722
85,-1050,3924,5208
86,-4534,1654,8588
88,-7096,-7586,9920
89,-4286,-9864,5950
90,-1914,-11586,8594
92,1122,-6112,8188
93,2312,-2724,7042
94,2378,2420,6380
96,-3266,358,7928
97,-6374,-1226,9656
99,-4412,-10028,7650
100,-2678,-9930,6336
101,-784,-7564,8008
103,1252,-4734,8188
104,2294,-568,5598
106,-1312,354,5980
107,-2696,-3304,8416
108,-2074,-8180,6202
110,-616,-8884,4406
111,712,-6514,6902
113,662,-2598,7364
114,16,-16,7466
115,-2620,-178,8428
117,-3984,-3118,9424
118,-3856,-8668,6770
119,-800,-9126,5772
121,872,-8314,7938
122,-678,-2788,6900
124,-1174,934,6320
125,-3358,-476,10140
126,-5816,-4010,10770
128,-5510,-7742,6718
129,508,-11976,6216
131,2390,-10798,5340
132,3328,-2900,4434
133,1702,866,4282
135,-1612,1556,8360
136,-6704,-2390,10318
137,-6374,-6664,6958
139,-460,-12042,6290
140,1988,-11412,6848
142,3414,-3484,5070
143,3852,1494,4310
144,646,4266,6316
146,-6368,68,10024
147,-8418,-5286,12510
148,-6698,-10968,5698
150,-1098,-12102,7250
151,928,-9436,7858
153,3414,-1256,5084
154,1770,1852,5242
155,-544,1242,8468
157,-6574,-3204,10988
158,-6180,-8548,6110
159,-4128,-10214,5694
161,40,-10694,8432
162,356,-7416,5906
164,2562,1232,4828
165,722,1412,6522
166,-3556,-2852,9128
168,-3668,-7636,8246
169,-2082,-9040,4966
170,-144,-8788,6938
172,196,-6686,7074
173,820,1010,7488
175,-882,550,7026
176,-3156,24,10032
177,-3622,-7070,8922
179,-2226,-8558,6160
180,-410,-8084,7446
181,-1004,-5970,8650
183,-598,-2048,6770
184,-2900,492,8372
186,-4724,-818,9932
187,-4034,-8694,8004
188,-1036,-11170,6830
190,1048,-8544,5376
191,2604,-5978,5804
193,2272,-2734,5056
194,-1400,3486,6550
195,-4818,588,8952
197,-6164,-7698,9216
198,-2426,-10740,6488
200,424,-9994,6702
201,3202,-6274,7188
202,4368,-2110,4872
204,-1496,4376,5432
205,-4158,3382,7682
206,-7610,-7108,11916
208,-5762,-9386,7704
209,-2156,-12144,8232
211,1850,-8684,9396
212,2580,-4660,6642
213,3316,3092,4226
215,-2436,2018,6686
216,-5916,220,11316
217,-6562,-9442,10044
219,-2130,-11010,4828
220,-56,-10184,9108
222,2224,-6838,8160
223,3596,-1178,3706
224,620,2138,5326
226,-2476,380,6458
227,-4674,-8088,9640
228,-2502,-8752,4994
230,-720,-8820,7804
231,-304,-6194,8944
233,670,-1862,7790
234,854,736,6428
235,-3544,-494,7878
237,-4822,-3960,9900
238,-1704,-9506,5896
239,-810,-8252,3962
241,-822,-6098,8940
242,-526,-2450,7966
244,-1026,-258,7168
245,-1596,-1924,9506
246,-4362,-5676,10122
248,-2654,-8338,5124
249,1852,-9696,3836
250,2580,-7398,5888
252,1442,-1182,5918
253,294,1922,5726
255,-2158,348,8970
256,-5520,-4508,10748
257,-4646,-8736,6914
259,936,-10246,4924
260,2042,-8224,6882
261,3252,-678,5620
263,-170,3190,4722
264,-1870,4602,10076
266,-7798,-3794,11762
267,-7466,-7484,9718
268,-3958,-11578,7460
270,1158,-11098,8026
271,2794,-7238,6804
272,4246,712,4046
274,354,2802,5486
275,-3976,2164,10126
