timestamp,accX,accY,accZ
0,-6038,-878,10308
2,-7110,-5000,8100
3,-1430,-11176,5958
5,840,-11170,7148
6,2070,-4838,6874
7,3964,-890,4692
9,1982,3162,4376
10,-1852,2044,8002
11,-8672,-2830,11888
13,-7898,-8586,6314
14,-2460,-11058,6352
16,340,-11384,8636
17,1102,-3004,6618
18,3052,142,4466
20,800,984,6046
21,-5220,-1726,8956
22,-5724,-7376,7452
24,-4578,-9950,5036
25,-86,-10464,6698
27,538,-9096,7116
28,2692,-970,5948
29,1114,1898,6580
31,-878,-1286,8880
32,-3638,-5548,8142
33,-2924,-7646,5070
35,0,-8406,5824
36,-758,-6658,7756
38,-78,-798,7278
39,-1600,1056,7180
40,-2752,-1940,9866
42,-4646,-6314,9372
43,-2388,-8742,4968
45,852,-8776,5480
46,82,-6576,7408
47,532,-940,5798
49,-1876,1008,6748
50,-4084,-338,11074
51,-4492,-6994,9200
53,-1922,-9374,6840
54,440,-9804,6114
56,2820,-7116,6376
57,3112,-3328,3976
58,-150,3844,5826
60,-3702,1012,7828
61,-6018,-6252,9856
62,-3494,-9326,7940
64,-1278,-11026,6490
65,2604,-7688,7808
67,3082,-4200,6574
68,2918,3952,5170
69,-3504,3582,5960
71,-6722,342,12190
72,-6826,-8830,8626
73,-4300,-10292,6544
75,-186,-9938,8884
76,2688,-6068,7464
78,4108,-2138,4504
79,614,2606,4622
80,-3902,870,7386
82,-5462,-8296,10242
83,-4060,-9636,6312
84,-900,-10654,7618
86,1738,-7076,7926
87,3384,-3410,6322
89,2678,2718,5804
90,-1886,1688,6972
91,-3944,-1432,9152
93,-4008,-8724,7536
94,-1574,-9290,5216
95,-1396,-7306,8882
97,-42,-3256,8472
98,-414,206,6110
100,-2820,232,7562
101,-4630,-2838,9756
102,-4210,-8972,7090
104,-500,-9742,3818
105,474,-7790,7848
106,178,-3846,7274
108,-574,-520,6442
109,-1564,-356,9042
111,-4188,-4450,10364
112,-3586,-6856,6254
113,1408,-9930,4842
115,2444,-8794,5854
116,2190,-2028,5580
118,590,1146,5754
119,-1342,1188,8142
120,-6502,-3440,10946
122,-5526,-7488,8138
123,-678,-10658,5734
125,1706,-9826,7614
126,2224,-2944,5746
127,1326,1732,4704
129,-1750,4224,7818
130,-7564,-2698,11990
132,-8608,-6870,7256
133,-1918,-12372,5918
134,270,-12596,8612
136,2130,-4800,5306
137,3576,-462,3934
139,3256,2884,5922
140,-4014,200,7770
141,-6550,-5320,11370
143,-6226,-9452,5282
144,66,-11756,6076
145,696,-10622,6986
147,3566,-1318,6548
148,3038,1356,5282
150,-230,2016,7064
151,-5512,-2816,9846
152,-5996,-7172,5386
154,-2574,-8424,4856
155,-1152,-10702,9278
157,-62,-2204,8084
158,1122,124,6064
159,-804,-420,7750
161,-4482,-3442,9352
162,-4570,-6694,5780
163,-796,-9630,4664
165,-450,-8292,6210
166,310,-3778,7174
168,-86,-1280,6682
169,-968,428,8930
170,-3768,-4800,9998
172,-2272,-6832,7798
173,104,-9138,4874
174,1566,-8102,6664
176,1344,-5464,5762
177,528,1084,6116
179,-2578,1748,7954
180,-5258,-3988,10002
181,-5162,-8036,10158
183,-2026,-10266,5422
184,1122,-8942,6912
185,2370,-6466,6960
187,2070,1916,4798
188,-2970,3914,6312
190,-6078,980,11488
191,-6816,-8050,9866
192,-3934,-10776,6928
194,-850,-11380,8112
195,3354,-7904,6846
197,4182,808,3402
198,796,3970,4460
199,-2690,2686,9420
201,-7514,-6958,11608
202,-4878,-8796,8100
204,-1298,-12258,7052
205,2376,-8972,8656
206,3376,-4206,5290
208,2068,3670,5304
209,-1650,3880,6052
210,-4626,-4242,11144
212,-6524,-7590,9876
213,-4034,-9496,6512
215,-1110,-10066,9772
216,-142,-5778,8478
217,1772,1164,5978
219,-258,1118,6672
220,-2986,-1176,8708
221,-3596,-7636,8302
223,-2310,-10252,5634
224,-1032,-7818,6064
226,96,-5884,7806
227,518,-3902,6574
228,-1396,582,7260
230,-2218,-1310,7820
231,-3148,-7650,7390
232,-216,-8576,5898
234,1078,-8780,6290
235,132,-4522,7434
237,-20,-1460,6692
238,-622,1100,8446
239,-4888,-1324,8926
241,-6240,-4472,9432
242,-886,-9560,6210
244,174,-9442,7214
245,1600,-5224,7248
246,1266,-1650,4712
248,-920,2930,7452
249,-6034,-1180,10830
251,-7320,-5140,7942
252,-2362,-11022,6128
253,592,-11642,7166
255,2542,-5986,5190
256,4528,-1384,3446
257,2544,2358,6116
259,-3760,1788,7930
260,-7376,-2726,10420
262,-6480,-10204,6606
263,-1074,-11496,6406
264,1548,-11486,7844
266,3500,-3974,6202
267,3568,1050,4776
268,424,3240,6584
270,-5794,48,10090
271,-7986,-5928,8378
273,-3878,-10196,5442
274,-1326,-11770,7788
275,-194,-4852,6730
