timestamp,accX,accY,accZ
0,3158,-922,8108
2,3110,3168,6550
3,-4196,5852,6246
5,-7306,1144,8500
6,-11200,-12922,12736
7,-1942,-14742,3284
9,2108,-13784,7030
10,3830,-4176,9460
11,3476,2082,5898
13,1900,5246,4180
14,-5858,238,7648
16,-8838,-6952,12770
17,-8534,-13164,4500
18,2888,-13530,1954
20,4896,-12196,7286
21,4102,1702,7338
22,2824,4550,4892
24,-1762,3054,5750
25,-9210,-4346,11984
27,-9326,-12220,6442
28,4,-12430,2578
29,3348,-12714,7978
31,2576,750,8046
32,2338,4634,6144
33,-1486,2762,6314
35,-9084,-2532,11220
36,-10162,-9030,7836
38,-348,-12816,3008
39,2478,-13372,4272
40,3234,-1582,7894
42,3324,3194,5600
43,806,5094,4890
45,-6648,-708,9098
46,-7818,-8954,13252
47,-5846,-12934,3836
49,3100,-11934,3252
50,4516,-7904,7168
51,4362,2758,6538
53,778,4822,5400
54,-2208,24,8124
56,-8998,-6046,12658
57,-7136,-10300,5486
58,706,-12652,3658
60,2604,-9400,6470
61,2182,1278,7910
62,576,4720,5692
64,-1974,4278,7834
65,-8778,-6388,13440
67,-8182,-11822,12028
68,-4288,-12188,3170
69,2852,-10648,6700
71,2862,-5950,5970
72,2376,3498,5546
74,-278,2950,6262
75,-6770,-3622,10432
76,-6896,-10410,12020
78,-3594,-11150,3126
79,3268,-10358,4756
80,2728,-5870,6856
82,2430,3712,6618
83,-582,4084,5000
85,-2842,-3586,10682
86,-7976,-8160,12130
87,-6078,-10508,4094
89,1082,-10862,6106
90,1168,-7626,7824
91,1992,2318,7136
93,-90,2706,6070
94,-2936,1442,9742
96,-7868,-8082,12414
97,-5458,-11310,9098
98,-1862,-11002,4836
100,2010,-8322,7500
101,2922,-3106,5940
102,1970,2400,5590
104,-1064,2162,4880
105,-3518,-6756,11340
107,-5100,-10206,9332
108,-1346,-10062,4476
109,1892,-8516,6546
111,2194,-3722,7214
112,2372,1998,6692
113,-1448,3074,5488
115,-4632,630,11228
116,-6630,-9776,10712
118,-3538,-11170,6172
119,-1362,-8516,7026
120,994,-4684,8016
122,1852,-486,6278
123,-1316,1386,6062
124,-4154,-370,7778
126,-5544,-9276,10124
127,-2966,-10630,6076
129,-1318,-10384,6432
130,2202,-5904,7242
131,2244,-1310,6866
133,2242,1460,5906
134,-1760,188,6556
135,-3288,-4118,10304
137,-5128,-9768,6746
138,-716,-8894,4614
140,668,-5698,7272
141,1746,-1350,7814
142,706,660,6450
144,-2394,416,7632
145,-4854,-3692,9890
146,-5804,-8592,7170
148,-2708,-9588,6332
149,-970,-9402,7460
151,116,-2360,7642
152,756,-376,6918
153,364,608,7182
155,-3406,-3686,9000
156,-4526,-6612,7344
157,-3256,-9714,5330
159,-580,-8298,6258
160,668,-3456,6930
162,1170,-1692,6464
163,590,438,7300
164,-1888,-3266,7976
166,-3374,-5556,8770
167,-2686,-7408,6174
168,-884,-9042,7288
170,-200,-6342,6582
171,652,-732,6918
173,-748,-400,7886
174,-2250,-2382,7964
175,-4470,-5778,9832
177,-3962,-8202,6204
178,-2616,-8532,7502
179,-1442,-7144,7882
181,-286,-1688,6150
182,202,-746,7020
184,-1330,-1102,8128
185,-2868,-5002,8254
186,-2042,-7252,6842
188,-984,-8446,6430
189,-270,-6204,6074
190,144,-4182,6250
192,724,-716,6800
193,-418,-1632,7348
195,-1480,-2726,7812
196,-1348,-6278,6694
197,-854,-7824,8124
199,-1968,-5612,6578
200,-714,-3662,6580
201,-1070,-1204,7322
203,-2472,-732,8888
204,-3160,-2834,8422
206,-2264,-6934,7154
207,-1966,-7038,6506
208,-2044,-8348,7554
210,-1194,-3522,5712
211,-712,-2104,6724
212,-1194,-2728,8734
214,-1646,-3266,7294
215,-1698,-4514,7448
217,-546,-7496,6686
218,-1212,-6794,6040
219,-72,-4478,6004
221,-590,-3374,6348
222,-710,-2038,7800
223,-1720,-3166,8554
225,-812,-4768,6618
226,-902,-6950,6550
228,-1060,-6504,7922
229,-912,-6082,5820
230,-1418,-1634,6158
232,-2536,-2314,8238
233,-3308,-3528,8316
234,-2838,-4454,7656
236,-1588,-7162,7320
237,-1716,-6144,7652
239,-440,-6134,6324
240,-1278,-2350,6130
241,-1714,-1750,7314
243,-3116,-2670,8040
244,-990,-5836,7232
245,-654,-7232,7014
247,86,-6816,7714
248,476,-5878,6192
250,286,-2866,5628
251,-1660,-1822,7226
252,-2822,-3226,8926
254,-2334,-4842,7150
255,-988,-6522,7008
256,240,-6406,7674
258,662,-4944,6670
259,-646,-2712,6308
261,-2092,-884,7516
262,-4472,-2462,9336
263,-4256,-4226,7358
265,-2376,-7660,7458
266,-694,-8088,7718
267,48,-5532,7206
269,-136,-2900,5908
270,-1418,-1206,7164
272,-3606,-3556,9018
273,-3418,-5248,8430
274,-2488,-7996,7268
