timestamp,accX,accY,accZ
0,-1096,-14246,1964
2,2558,-14386,6762
3,4242,-1026,8488
4,3798,3916,6914
6,1050,6966,5360
7,-6090,1624,7558
9,-10140,-7172,13176
10,-3752,-14648,4184
11,836,-13998,2376
13,3340,-4144,9556
14,2734,2412,7718
16,1876,6634,5326
17,-5038,2110,7552
18,-9478,-5078,12148
20,-9170,-15866,5252
21,466,-14536,2026
22,4642,-12514,8148
24,4880,-170,7044
25,4024,5206,5872
27,390,4416,5794
28,-7076,-2518,9716
29,-8334,-9546,7402
31,-502,-13772,2456
32,3418,-13316,3620
33,3188,436,9008
35,3040,5170,6606
36,-606,7256,5172
37,-7602,-1690,10392
39,-10270,-8268,14636
40,-7384,-14466,3476
42,1634,-13504,3270
43,2228,-9282,9140
44,3208,2382,7664
46,676,6352,5622
47,-1940,304,8332
48,-8694,-7202,13786
50,-6146,-13396,3408
51,2118,-13772,2412
53,3358,-11094,6282
54,3832,2166,6824
55,2274,4966,6676
57,-560,6158,6592
58,-7032,-4956,10840
59,-6818,-10962,11960
61,-4016,-12778,2718
62,2576,-10706,4940
64,2674,-6058,8070
65,1170,5096,7300
66,-1874,5528,5886
68,-4048,-4150,11872
69,-8314,-9698,12502
70,-6010,-12564,3526
72,1306,-12010,5792
73,2102,-7608,7674
75,2496,2918,6798
76,290,4466,5702
77,-2826,2176,9862
79,-6784,-7768,11908
80,-4992,-12104,8194
81,-228,-11130,3704
83,2822,-8982,6816
84,3426,-3006,7132
86,868,4592,5882
87,-1100,4770,6476
88,-4528,-6436,11372
90,-5680,-9676,9062
91,-2096,-12158,4562
92,1564,-8260,6402
94,1320,-3606,6906
95,1858,2080,6942
97,-2732,3912,6614
98,-4602,750,12498
99,-6328,-9550,10566
101,-2788,-11892,4618
102,-1256,-10538,7378
104,1386,-5900,7576
105,2172,-790,6022
106,-530,2176,6672
108,-3524,-154,8390
109,-4922,-7984,9178
110,-2176,-11334,5860
112,-404,-10704,5192
113,2332,-6328,6348
115,2386,-2162,6964
116,2036,2934,6312
117,-1730,1766,7208
119,-4624,-6666,9388
120,-3236,-9072,6730
122,-2438,-10338,6540
123,654,-6206,6546
124,684,-2202,7166
126,894,1012,7258
127,-3662,670,8070
129,-4392,-2730,10566
130,-3898,-8808,7270
131,-2374,-9552,5890
133,-1080,-7472,6468
134,996,-4346,6946
135,1466,-2210,7024
137,-1122,-108,7024
138,-2604,-1888,9038
139,-3410,-8314,7054
141,-1542,-8550,5864
142,-408,-7920,5854
144,1244,-4566,6242
145,1406,-2282,5892
146,-444,6,7564
148,-2280,-2120,8370
149,-3678,-4218,7798
151,-2480,-7672,7768
152,-2502,-8470,6846
153,-870,-4904,6986
155,-346,-3140,7566
156,-860,-1644,7940
157,-3222,-2914,8730
159,-3614,-4792,10186
160,-3018,-6698,6652
161,-1902,-8546,7912
163,-598,-7408,5848
164,396,-4098,6056
166,-206,-2646,7094
167,-304,-3104,7316
168,-1240,-4074,8160
170,-1664,-5526,6390
171,-1192,-6798,7112
173,-484,-6102,6338
174,-324,-3712,6016
175,-714,-2678,7014
177,-1380,-2632,7864
178,-2006,-3544,8106
179,-2142,-5128,7486
181,-1816,-5460,8110
182,-1828,-4916,6984
184,-1990,-4062,6856
185,-2310,-3470,7568
186,-1994,-4474,8588
188,-2068,-4212,7684
189,-1238,-5374,7770
191,-1276,-5910,7946
192,-944,-5084,6290
193,-1308,-3360,6786
195,-1100,-4420,6630
196,-1100,-4182,7348
198,-1114,-5920,7662
199,24,-5990,6672
200,62,-4946,7964
202,-998,-4170,7430
203,-920,-2796,5486
204,-1260,-4490,7742
206,-2542,-4542,8488
207,-2050,-5190,7392
208,-1038,-6110,7968
210,-778,-4968,7888
211,-1810,-3086,7368
213,-2326,-2374,7000
214,-2304,-3478,7360
216,-3838,-5230,8756
217,-2444,-6660,7202
218,-66,-7144,6584
220,-72,-5744,7522
221,-850,-3418,6856
222,-978,-1784,5932
224,-1128,-2096,7632
225,-2896,-5472,7972
226,-1598,-6986,7124
228,-844,-7140,6592
229,698,-5924,6680
231,434,-4160,7186
232,-780,-472,6202
233,-1812,-80,5958
235,-2526,-4626,8956
236,-2672,-6982,7432
238,-1866,-8118,7272
239,-12,-5828,6944
240,-226,-3840,8570
242,-1188,-550,7078
243,-2776,240,6080
245,-3802,-5262,10106
246,-3538,-7992,7780
247,-2346,-8358,6920
249,-546,-8652,7440
250,1226,-5678,7462
251,1612,-3174,6496
253,-1496,1006,6708
254,-2392,-1100,8682
255,-2990,-8020,7184
257,-1966,-8504,6046
258,-98,-8958,6840
260,2012,-5358,7106
261,1844,-2314,6718
262,-1504,2592,6500
264,-3354,854,7832
265,-5266,-6422,8306
267,-3632,-8414,6802
268,-982,-10522,7454
269,1318,-7080,8186
271,1414,-2640,6844
272,278,2002,6680
273,-3900,1192,8290
275,-6238,-2094,9516
