timestamp,accX,accY,accZ
0,-8168,-5002,12226
2,-8034,-10672,6474
3,-14,-12178,4776
4,1252,-10334,8484
6,1964,-1830,8172
7,968,1426,5848
9,-692,1870,6486
10,-7096,-4102,10874
11,-7612,-8504,6684
13,246,-12182,3342
14,2724,-11584,5706
15,3706,-1914,7600
17,3090,1672,4820
18,134,5024,4436
20,-5492,-3118,9806
21,-8150,-7972,12570
22,-4918,-11940,4456
24,2486,-11532,4666
25,3744,-8374,8738
26,1902,1966,6638
28,-72,4982,5678
29,-3750,-1116,9238
31,-9372,-6648,13142
32,-7990,-13716,5300
33,1000,-13468,4342
35,3226,-9454,9796
36,2330,310,7424
38,1020,4540,4458
39,-2098,330,6390
40,-8600,-6336,12832
42,-8170,-11452,5018
43,1922,-13510,3124
45,5208,-11850,5158
46,4716,250,7940
47,2706,4256,5282
49,-814,6666,4842
50,-7176,-3996,10708
51,-9294,-9608,13468
53,-4506,-13150,2844
54,3766,-11934,5066
56,4044,-6364,8312
57,1544,3908,6532
58,-1086,6292,6074
60,-8656,-1798,9900
61,-10660,-9112,14568
63,-7026,-14230,2832
64,3278,-13396,4132
65,3232,-8804,9118
67,3166,3650,5140
68,396,6904,5680
69,-2818,40,8070
71,-9020,-8844,12826
72,-7018,-14194,11488
73,-1220,-12870,2118
75,4982,-9886,6768
76,4764,-3378,5776
78,1616,7400,5542
79,-1538,6378,7866
80,-9022,-6032,12458
82,-8240,-12002,12220
83,-3554,-14468,2396
85,3562,-11530,6602
86,3486,2540,7050
87,652,6534,6528
89,-1924,6112,7726
90,-6462,-5672,11894
92,-9650,-11378,13340
93,-5798,-15598,2462
94,3708,-12780,5468
96,4272,-6366,7184
97,2728,6024,6268
99,-414,6690,4850
100,-7506,-3220,9710
101,-8682,-10362,13286
103,-6020,-15052,1810
104,4208,-13054,3532
106,5344,-8120,7742
107,3398,5080,6082
108,454,7568,5622
110,-2526,-1034,8798
111,-9518,-9310,13858
113,-8508,-12222,3410
114,2618,-14254,3040
115,3648,-9064,8676
117,2448,4270,7434
118,654,6868,5664
120,-3526,666,8518
121,-10560,-8026,13886
122,-9526,-16248,3956
124,1866,-15592,2380
125,4176,-11230,8142
127,4336,2212,7376
128,2408,6018,5580
129,-672,2968,6308
131,-7898,-5980,11364
132,-9418,-12254,4664
134,1890,-13648,962
135,4902,-13334,8402
136,4590,2064,7368
138,2380,6968,5786
139,-80,4502,5820
141,-8704,-3972,10826
142,-11158,-15564,7052
143,-644,-13760,2030
145,3128,-14016,9116
146,2572,408,9320
148,2852,5948,6202
149,-10,7212,6046
150,-7778,-1880,10244
152,-10744,-8982,9486
153,-7130,-15414,2164
154,2682,-14050,3052
156,3972,-10068,7896
157,3726,4462,6984
159,2254,6412,5252
160,-5298,172,7148
161,-9282,-7232,13482
163,-6650,-14328,3268
164,2486,-12894,2104
166,4756,-10792,8472
167,4276,3348,7468
168,976,6096,5102
170,-4866,3046,6448
171,-9458,-6272,13362
173,-9244,-13976,5250
174,142,-13608,2102
175,3180,-13326,8582
177,2006,2894,8240
178,1320,5958,5502
180,-818,2940,6826
181,-8014,-3866,11196
182,-9328,-14644,7792
184,260,-14600,1338
185,4122,-12730,7416
187,4088,-890,8078
188,3576,3906,4776
189,-1680,4702,5574
191,-6460,-2240,8778
192,-8320,-13618,9304
194,-1066,-13580,3160
195,3658,-12396,6328
196,2874,-1872,8648
198,3044,3576,8022
199,344,5640,5302
201,-6198,-564,9224
202,-9120,-12086,10596
204,-3548,-13056,4902
205,1104,-13184,6890
206,2596,-4154,8510
208,2472,2710,7224
209,-78,3978,5288
210,-5250,724,8452
212,-7772,-6824,11466
213,-3742,-14294,5094
215,1476,-13360,5652
216,3066,-5076,6694
217,3902,936,6848
219,2772,4494,6008
220,-2652,1986,6478
222,-6282,-3460,11752
223,-3480,-12338,6634
224,-2,-11582,3946
226,2856,-6530,6866
227,2102,-628,7950
229,1512,4768,6538
230,-3528,3270,6798
231,-6290,-3534,12578
233,-5966,-11234,8536
234,-1868,-12218,4866
236,1170,-7876,6982
237,1616,-2240,8034
238,1650,2382,6236
240,-2500,2394,6360
241,-5104,-1460,12090
243,-4532,-11420,8770
244,-1390,-12388,3714
245,1082,-9224,6604
247,2256,-3918,7268
248,2672,984,5644
250,-858,3222,6478
251,-3034,-542,7940
252,-5476,-8848,8828
254,-1752,-10946,5796
255,-70,-7886,5274
256,1454,-4134,7630
258,978,-786,6388
259,354,3334,6468
261,-4002,-32,8558
262,-6192,-8184,9906
263,-3478,-10026,5824
265,-1978,-10512,6562
266,318,-5462,7490
268,914,-1710,7314
269,1322,914,6808
270,-2626,-1142,7712
272,-4534,-4378,9562
273,-2104,-9340,6312
274,-506,-10018,4592
276,572,-5930,6012
277,1532,-3404,7052
