timestamp,accX,accY,accZ
0,1666,-7020,6996
2,2106,-3936,6096
3,-566,102,5700
5,-3234,510,6556
6,-4244,-6474,9596
7,-3572,-7822,7266
9,-320,-9038,5150
10,1212,-7980,8172
11,2874,-4270,6922
13,1660,-870,4848
14,-2096,2016,6892
15,-5388,-2158,9924
17,-6434,-7548,7908
18,-2134,-9988,6396
20,460,-9608,7648
21,1656,-5284,8074
22,1508,-1478,6602
24,48,2582,6422
25,-5870,-1484,9298
26,-7052,-4918,11434
28,-2434,-10958,5800
29,-82,-11046,5766
31,1888,-6298,7848
32,1960,-2444,6786
33,1766,1052,4526
35,-4012,156,7382
36,-5744,-4650,10994
37,-6372,-7798,5692
39,726,-11428,4378
40,2654,-9586,7850
42,3112,-1766,7836
43,1948,1106,4662
44,-1314,1922,6674
46,-7580,-3950,11674
47,-7308,-8938,6602
49,-1094,-11892,5798
50,1456,-11324,7968
51,2310,-2286,7892
53,1702,1532,6190
54,-662,3048,6422
56,-6618,-2614,9738
57,-8184,-7504,8370
58,-1124,-12328,4078
60,1688,-11980,4742
61,3680,-3466,8282
62,3350,294,5200
64,996,4550,4690
65,-4662,-1212,8202
67,-7774,-7240,12196
68,-6314,-12446,4996
69,2100,-12466,4338
71,4212,-9360,8322
72,3256,464,7532
73,718,4170,5428
75,-2174,1842,6650
76,-8910,-5454,13228
78,-8370,-10340,5630
79,250,-13126,4632
80,3206,-11550,6420
82,3202,-224,7584
83,1324,3818,5918
84,-1392,4932,5800
86,-7788,-4118,11396
87,-9088,-10634,13010
89,-5194,-13644,2730
90,3582,-13104,4904
91,3720,-7150,7340
93,3210,3640,5732
94,100,5808,5122
95,-2884,-2050,8722
97,-8720,-9810,13420
98,-5466,-12758,3144
100,3332,-12464,3914
101,4306,-8320,8534
102,3846,4008,5670
104,-172,7060,6130
105,-3340,5530,9714
106,-9688,-7392,13434
108,-7636,-11622,9758
109,-2548,-14884,4508
110,3266,-9694,6982
112,3682,-2650,6316
113,660,6360,5840
115,-2444,4656,4886
116,-6920,-7430,12216
117,-8734,-12798,11820
119,-3496,-14314,2508
120,4828,-11930,6168
122,4640,-4846,7890
123,4552,5974,5920
124,-1038,6112,4480
126,-4454,-4728,10322
127,-8546,-10674,13334
129,-4428,-14094,2432
130,4378,-12778,5570
131,4526,-5554,8122
133,3758,5194,5746
134,-866,7312,5974
136,-5166,4668,10944
137,-10718,-10202,14074
138,-7334,-13580,9194
140,-828,-14178,4660
141,3626,-8692,8358
142,3748,-1200,6062
144,468,6990,5190
145,-3804,4774,5442
147,-6906,-9104,13138
148,-7136,-14542,10778
149,-842,-15920,2702
151,4928,-9598,6792
152,5020,-2034,6382
154,2026,6894,5230
155,-1874,7506,4680
156,-6206,-7276,12812
158,-8662,-11776,12102
159,-2172,-14352,2790
161,3652,-12046,6788
162,4238,-2790,7764
163,1516,6658,5884
165,-2324,7754,5754
166,-5892,-6196,13326
168,-10422,-12040,13936
169,-4642,-15102,1848
170,3144,-12998,6852
172,3532,-5752,8424
173,4110,6188,5626
174,-758,7092,5218
176,-4444,3608,10012
177,-9750,-10846,14460
179,-4836,-15634,7278
180,514,-14090,3946
181,4808,-7730,7748
183,4266,242,5310
184,584,7716,5532
185,-2658,5004,5152
187,-7446,-8826,14256
188,-6728,-14372,9238
189,-2210,-14022,2804
191,3436,-9092,7998
192,3192,-1760,9174
194,3306,7224,5518
195,-3128,6472,5892
196,-6524,344,14930
198,-8122,-13602,10674
199,-3288,-14798,3734
201,1854,-11134,6440
202,3082,-2638,8502
203,4244,2780,6364
205,-1322,5730,4634
206,-4942,2220,12156
208,-8750,-12364,13696
209,-3482,-15032,4296
210,1840,-12450,4990
212,3710,-5702,8140
213,4296,1560,6462
214,-176,7600,4920
216,-3490,3906,5980
217,-8318,-10024,14140
219,-5628,-14178,6990
220,-20,-14396,4894
221,2404,-6368,8540
223,2814,172,8552
224,2666,6276,5842
226,-4080,4562,6430
227,-7792,-2162,14586
228,-6524,-14134,9158
230,-1376,-14892,3384
231,2906,-9426,7374
233,3250,-2434,8510
234,3198,6714,5234
235,-1730,4136,5058
237,-6138,-7388,12806
238,-6828,-13294,10206
240,-1866,-14430,2508
241,3550,-9380,5798
242,3478,-3230,7206
244,4002,5032,6774
245,-1796,6206,4946
247,-4774,2038,11882
248,-7128,-10610,12160
249,-3348,-13384,5164
251,2766,-11220,6504
252,2126,-5264,7890
254,2400,5398,6760
255,-2090,4776,6802
256,-4484,1346,11678
258,-8180,-9868,12372
259,-4646,-13644,6550
261,-476,-10984,4794
262,2452,-7258,7016
263,3164,-1392,6502
265,328,4762,5526
266,-2716,3166,5784
267,-5286,-9152,12166
269,-4150,-12510,7670
270,-732,-12672,3684
272,3054,-7964,6542
273,2642,-1706,7336
274,2576,4088,6274
276,-2342,4938,6100
