timestamp,accX,accY,accZ
0,-3172,-8126,5460
2,-742,-9794,8412
3,2006,-6452,7882
4,1462,-3096,4804
6,-1160,942,5752
7,-4420,-102,8134
8,-5890,-7206,9680
10,-3376,-9482,6528
11,42,-10528,6878
13,2716,-7562,7582
14,2784,-3396,6396
15,2424,2692,5094
17,-2656,1938,6836
18,-5250,-2454,10134
20,-4200,-8614,7972
21,-612,-10784,5822
22,1358,-7242,7292
24,1838,-3854,8564
25,1872,-590,4582
26,-3628,4110,6334
28,-5954,-1574,9682
29,-7568,-9718,8596
30,-2444,-10452,5236
32,612,-11220,8236
33,2276,-4402,8582
35,2750,-1232,5424
36,320,3074,4996
37,-5136,-1496,8482
39,-7342,-6270,9626
40,-1872,-10742,5060
42,1130,-11918,4638
43,3590,-5118,7800
44,3304,-1032,6720
46,2098,2888,4786
47,-3476,934,6712
48,-7282,-4848,11702
50,-7410,-11168,6678
51,102,-12214,4118
53,2692,-10260,8664
54,2670,-1172,8070
55,1608,2150,5400
57,-1736,2856,6114
58,-8412,-3962,12192
59,-8782,-8514,6962
61,-1062,-12490,4400
62,2512,-12970,5848
64,2994,-2080,8446
65,2858,1710,4844
66,-68,3172,4804
68,-6052,-1560,9352
69,-8394,-8534,9456
71,-974,-12572,3854
72,3174,-12848,3664
73,4732,-3082,8534
75,2908,1404,6538
76,944,5232,3968
78,-5784,578,7916
79,-8396,-6626,12812
80,-7966,-13062,5210
82,2352,-13132,2974
83,3276,-9438,9352
84,2724,1612,7754
86,670,4950,5682
87,-2216,2150,6512
89,-9544,-6236,12796
90,-9290,-11718,5970
91,1216,-13160,2464
93,4184,-11458,5478
94,3512,-250,7446
95,1950,5158,5222
97,-626,5744,5768
98,-7044,-4682,10046
99,-9496,-10644,13974
101,-5428,-14268,1716
102,4344,-12824,3838
104,4558,-7120,7694
105,2372,4432,6324
106,342,6078,5338
108,-3522,-1856,8788
109,-9822,-9390,14250
111,-7810,-12504,2768
112,3256,-12780,3204
113,3792,-8846,8564
115,3350,4000,7134
116,352,6226,4906
117,-4018,5600,8118
119,-10664,-7976,13908
120,-8792,-13158,12144
122,-1704,-13900,2344
123,4196,-11060,6806
124,4472,-3228,6658
126,1996,5756,5496
127,-1898,5934,4984
128,-5734,-7050,11296
130,-8942,-12280,13798
131,-2816,-14266,1772
133,4616,-12480,5496
134,5196,-4664,7824
135,1790,5956,6156
137,-968,7236,5416
138,-5120,-4498,10790
140,-9582,-11216,13884
141,-5140,-14698,2026
142,-454,-11888,4632
144,4268,-5952,8646
145,3122,842,5608
146,-1430,7916,5396
148,-4968,4364,6224
149,-8066,-10078,14384
151,-6516,-14578,8228
152,-784,-15084,3998
153,4720,-8848,7610
155,4526,-908,7876
156,3508,7396,5360
157,-2512,4834,5142
159,-6600,-1140,13790
160,-6916,-13942,10294
161,-1390,-14716,3380
163,3378,-9486,5938
164,4320,-1568,8856
166,4040,4430,6294
167,-2402,6670,4892
168,-5826,1356,7018
170,-10546,-13284,12702
171,-3280,-14168,4570
173,1954,-14102,7244
174,3354,-4244,9468
175,3136,3322,7548
177,1670,5688,5694
178,-5288,2576,7000
179,-10048,-5214,14638
181,-4718,-15982,5074
182,1678,-13596,5184
184,4168,-6546,8706
185,5046,1022,6692
186,3036,6384,5270
188,-3304,4180,5506
189,-8198,-2438,9670
190,-8598,-14638,8002
192,798,-13754,1552
193,4196,-13278,7974
195,3786,832,8818
196,3402,5350,7068
197,-160,5922,4964
199,-8000,-1346,10142
200,-10146,-9868,10306
201,-1822,-13824,2666
203,1792,-13606,3182
204,2952,-2040,8816
206,3444,3584,7060
207,-106,7168,5582
208,-6470,-290,8632
210,-9326,-8646,13566
211,-7464,-14434,3130
212,2292,-14548,2380
214,3910,-11974,7934
215,4880,2962,6506
217,1940,6330,6034
218,-864,2434,6822
219,-7590,-5968,11052
221,-7364,-11920,5754
222,1164,-12924,2276
223,3790,-11746,3948
225,4054,2090,8294
226,932,6136,7586
228,-1156,6116,7224
229,-7688,-4856,11684
230,-9388,-9680,13228
232,-6292,-14416,2984
233,2444,-11764,5042
234,2408,-6946,8384
236,2434,3550,7186
237,-396,5296,5206
239,-3456,-2570,8618
240,-8636,-8760,13684
241,-5420,-14234,2102
243,3076,-12388,3132
244,3546,-9318,6170
245,3380,3798,7050
247,1352,5846,6312
248,-1820,4490,7600
249,-7578,-7190,12046
251,-6608,-11866,11384
252,-1734,-10948,2814
254,2536,-9358,5850
255,2474,-3524,8554
256,482,4122,6924
258,-2830,5574,5476
259,-4516,-6614,13358
261,-7258,-11278,11766
262,-3582,-12636,3034
263,2034,-11016,6852
265,1640,-5792,7942
266,2348,3060,6250
267,-1154,4010,6352
269,-3278,870,11282
270,-6750,-10124,11340
272,-2482,-12712,5940
273,-376,-10690,4640
274,2620,-6670,6410
