timestamp,accX,accY,accZ
0,3552,-13700,4746
2,3586,-1060,8048
3,2478,5354,5262
5,-674,7146,6398
6,-8578,-1484,11628
7,-10936,-8046,14722
9,-7494,-15730,1946
10,3436,-14038,4498
11,3740,-10268,7370
13,4522,2628,5316
14,1314,6302,4554
15,-3016,5928,9118
17,-9306,-6950,14278
18,-6996,-13374,10434
20,-1332,-14094,2706
21,4620,-11522,7438
22,4888,-3496,5250
24,2092,6312,5076
25,-2348,6300,9214
27,-9746,-5384,13558
28,-9064,-10284,11808
29,-3040,-15106,3354
31,3244,-12064,6786
32,3824,-4986,7424
34,2012,4980,5634
35,-2144,6630,7546
36,-6300,-4026,12886
38,-9482,-10280,14070
39,-4694,-14492,2700
41,3690,-13802,5854
42,4216,-7670,6342
43,3690,4732,4738
45,106,6152,6320
46,-7228,-1268,9484
48,-9328,-8436,13842
49,-4896,-14214,3090
50,3502,-13324,3450
52,4654,-8322,6960
53,4028,2872,5896
54,-76,6856,5952
56,-3514,-852,10238
57,-9746,-8076,13982
59,-7240,-11972,4768
60,1648,-13664,4778
61,3552,-9522,6984
63,3322,2540,6198
64,604,4714,6238
66,-3230,4286,8694
67,-9846,-6024,13394
68,-7332,-12204,11626
70,-2984,-13796,3416
71,3938,-11494,6092
72,3558,-4488,5832
74,2556,5496,4866
75,-1360,5480,4688
76,-4298,-5480,12464
78,-7878,-11458,12454
79,-3870,-11808,3162
81,3310,-12158,6142
82,3816,-5428,7378
83,3958,4444,6514
85,-1196,4742,6006
86,-4364,3074,11430
88,-8618,-9168,13334
89,-5244,-12072,7254
90,-682,-11828,6008
92,1970,-7482,8516
93,3192,3928,5848
95,-432,4676,5452
96,-3600,1954,10676
97,-8430,-8614,12482
99,-5324,-12092,8064
100,-1292,-12394,4832
102,2986,-8570,6768
103,3600,-2874,5908
104,1148,4064,5238
106,-2386,3496,9112
107,-7144,-7346,12132
109,-5414,-11314,9004
110,-2344,-11628,4936
111,2336,-8618,7160
113,3374,-2762,6372
114,828,3562,5994
116,-2098,3458,5928
117,-5240,-5906,12466
118,-6984,-9186,10114
120,-3298,-10868,5068
121,1362,-9554,7312
122,2048,-4776,7496
124,2430,2714,6376
125,-1218,2666,5528
127,-4754,-5278,11534
128,-6756,-10800,11208
129,-3500,-12168,3518
131,1696,-9272,6592
132,2632,-6204,7456
134,3560,1832,5154
135,-368,3126,5114
136,-2566,1068,10584
138,-6012,-8476,10722
139,-4040,-10052,6832
140,-288,-9162,6272
142,1510,-5844,7348
143,2158,-982,6696
145,-544,2502,5802
146,-2860,2432,6472
147,-5828,-8170,12098
149,-5268,-9864,7310
150,-1712,-9958,6612
152,702,-7482,8016
153,1600,-2890,6622
154,668,1266,6108
156,-2538,278,6642
157,-4876,-7004,10866
159,-4586,-10126,7776
160,-1428,-9768,5230
161,1216,-7896,7532
163,2198,-3444,5932
164,894,1414,5094
166,-444,1406,6552
167,-2908,-6094,10470
168,-4160,-8726,7780
170,-1858,-8574,6400
171,620,-7082,7086
173,872,-3336,7052
174,130,1062,6572
175,-1922,1442,6962
177,-4056,-5686,10940
178,-5212,-8550,8234
180,-2610,-9368,7290
181,-866,-8364,7716
182,570,-3848,6818
184,1174,-530,6600
185,-820,-88,6942
187,-3026,-5332,9828
188,-3370,-8706,8336
189,-1814,-8980,5128
191,150,-7516,6990
192,1296,-5098,6284
194,1214,232,5850
195,-504,570,6632
196,-1736,-4334,8626
198,-3456,-6448,7972
199,-2104,-8774,6988
201,-1146,-6752,6928
202,-448,-4430,7436
203,178,-856,6754
205,-1884,-340,7696
206,-3084,-1770,9706
207,-3684,-7158,8490
209,-2452,-7852,5782
210,-2712,-8462,8134
212,-274,-5670,6822
213,-84,-2998,5738
214,-966,-668,7838
216,-1726,-2276,8612
217,-2504,-7008,7604
219,-976,-7658,5538
220,-1076,-7582,6796
221,148,-4706,6682
223,324,-2398,6132
224,-510,-704,7242
226,-1654,-1940,8272
227,-2236,-5450,7306
228,-1632,-6790,6444
230,-1878,-6626,7602
231,-1158,-5432,7156
233,-1074,-3006,6948
234,-2156,-806,8154
235,-2642,-2720,9676
237,-2464,-5616,7176
238,-1742,-7144,6386
240,-1302,-7994,8060
241,-896,-4948,5894
242,-1010,-2746,6862
244,-1396,-1982,8252
245,-2004,-3034,8630
247,-1738,-5868,6902
248,-394,-7520,5366
249,-368,-6712,7436
251,-544,-4594,6036
252,-478,-1816,7076
254,-2320,-2562,8942
255,-1754,-3076,8392
256,-1510,-6076,7616
258,-704,-7540,7362
259,-1244,-6508,7234
261,-1128,-3966,6974
262,-1734,-2154,6000
263,-1600,-2690,8844
265,-2890,-3260,8728
266,-2880,-4140,7502
267,-726,-7762,7306
269,-858,-7126,7076
270,-552,-5402,6390
272,-1318,-2942,5700
273,-1496,-1522,8128
274,-2438,-3766,8896
276,-1862,-5360,6590
277,400,-7714,6514
