timestamp,accX,accY,accZ
0,-1178,-3354,7708
2,-1244,-2574,7130
3,-1196,-3280,7396
4,-1464,-3188,7546
6,-1442,-3872,6374
7,-2366,-5584,7902
9,-2322,-5924,7134
10,-1880,-5970,6694
11,-1908,-6642,7316
13,-1636,-6082,7466
14,-646,-5052,6994
15,-286,-4882,6210
17,-106,-3344,6730
18,-518,-3360,7248
20,-284,-2052,6674
21,-1366,-2106,6620
22,-2280,-4048,8862
24,-3028,-4452,7964
25,-2650,-6010,7658
26,-2686,-6954,7748
28,-1792,-7866,7518
29,-1284,-6454,6230
31,-116,-5494,5980
32,1062,-4704,5898
33,320,-3286,6314
35,338,-2004,6578
36,-440,-1714,7210
37,-1332,-2576,8888
39,-2796,-2936,8960
40,-3238,-3140,8664
41,-3694,-5134,8332
43,-3236,-5994,8180
44,-2584,-6546,6846
46,-1210,-6702,6334
47,-408,-6228,5754
48,454,-5180,6646
50,634,-4398,6096
51,830,-2638,6942
52,-856,-3220,8556
54,-1506,-2596,7410
55,-2734,-3014,8118
57,-3734,-4608,9624
58,-3534,-4840,7388
59,-2314,-5720,7616
61,-1896,-5994,5946
62,-394,-6388,6120
63,234,-6722,6278
65,526,-5054,5300
66,256,-5096,5858
68,-286,-5048,7740
69,-1358,-3814,7926
70,-1776,-2292,7836
72,-2310,-4010,8462
73,-2746,-3166,8506
74,-2614,-3820,7552
76,-2036,-4216,6486
77,-1242,-5532,6930
79,-1262,-5594,6594
80,-488,-5256,5564
81,-180,-4746,7002
83,-666,-5128,7800
84,-994,-4780,7132
85,-1226,-3584,7690
87,-1870,-4588,8324
88,-2190,-4220,7576
90,-1522,-3456,8124
91,-1730,-3314,7372
92,-1462,-3532,6654
94,-1326,-4048,7536
95,-1136,-4098,6018
96,-1622,-5000,6324
98,-1832,-6156,7930
99,-1920,-6204,6934
101,-1918,-5904,6974
102,-1344,-6040,7956
103,-1196,-5432,7492
105,-626,-3790,7200
106,-610,-3560,6866
108,-274,-3504,7012
109,-760,-2538,7008
110,-1254,-2778,6666
112,-1682,-3574,7854
113,-2266,-5182,8346
114,-2564,-5396,7462
116,-2376,-5840,8082
117,-1742,-7154,7546
119,-1424,-6640,6658
120,-570,-5856,7012
121,344,-4738,6416
123,438,-3522,6420
124,88,-2934,7078
125,-502,-1458,7122
127,-932,-2404,7392
128,-2338,-3110,9268
129,-3374,-3724,8134
131,-3546,-5428,8218
132,-3408,-6266,7740
134,-2878,-6364,7136
135,-1354,-6782,6550
136,-662,-6660,5824
138,492,-4902,6250
139,630,-4920,6486
141,548,-2440,6334
142,-1070,-2736,7466
143,-1284,-2074,8582
145,-2590,-3104,7890
146,-3078,-3432,8284
147,-3380,-5834,8496
149,-2538,-5702,7652
150,-1830,-5892,6800
152,-668,-6370,6450
153,-294,-5954,6160
154,1056,-5110,5672
156,732,-4116,5278
157,228,-4146,7724
158,-604,-3354,8102
160,-1544,-3038,7502
161,-2356,-3052,9020
163,-3416,-4484,9148
164,-3070,-4078,7548
165,-2396,-5230,7308
167,-1770,-5510,7316
168,-1436,-5800,6096
170,-42,-5926,6306
171,-14,-5152,6308
172,-728,-5034,7002
174,-718,-4418,7100
175,-1670,-3740,7892
177,-2156,-3276,8196
178,-2176,-4348,7778
179,-2090,-3166,7836
181,-2156,-4024,7284
182,-1376,-3442,6160
183,-1540,-5096,7160
185,-1284,-4094,6340
186,-670,-5218,5608
188,-1584,-5512,8424
189,-1316,-6132,7420
190,-1258,-5376,6352
192,-1416,-5766,8426
193,-1484,-5168,7756
194,-1128,-3890,7678
196,-838,-3884,7700
197,-630,-2800,6794
199,-506,-3718,7166
200,-1118,-3082,7148
201,-850,-3258,6560
203,-1934,-4754,7732
204,-2210,-5810,8174
206,-2152,-5610,7472
207,-2044,-6872,7442
208,-1596,-6196,7142
210,-666,-5182,6888
211,-26,-4938,6792
212,-378,-2970,6722
214,-32,-3378,6892
215,-398,-2484,6712
216,-1630,-2584,7382
218,-2474,-3096,8200
219,-2560,-4794,8552
221,-3172,-4790,7668
222,-3034,-6062,8246
223,-2346,-6994,7760
225,-1670,-6350,6664
226,-574,-5800,6096
228,376,-5174,6258
229,256,-3972,6474
230,-64,-2926,6112
232,-378,-2218,6704
233,-1592,-2320,9192
234,-2710,-3394,8134
236,-2934,-3718,8330
237,-3416,-6182,9116
238,-3152,-6280,8052
240,-2036,-6876,6846
241,-666,-6396,6202
243,38,-5756,6260
244,316,-5236,6124
245,1230,-3770,5360
247,902,-3592,7088
248,-756,-3282,8662
249,-1662,-2794,8132
251,-2002,-2582,8228
252,-3446,-4126,9656
254,-3576,-4290,7674
255,-2572,-5108,7312
256,-2144,-5772,7348
258,-1560,-6138,6182
259,-308,-6272,6178
260,304,-5372,5874
262,-314,-4654,5918
263,-414,-4092,7382
265,-856,-3442,7554
266,-1636,-2386,7134
267,-2478,-4508,9094
269,-2888,-3768,8198
270,-2226,-4126,7390
272,-2000,-3934,7172
273,-1460,-4886,6964
274,-1246,-5254,6792
