timestamp,accX,accY,accZ
0,-1166,-3952,7682
2,-1830,-3950,7774
3,-1976,-4296,7572
4,-1744,-5040,6806
6,-1526,-5592,7548
7,-1898,-5370,7130
9,-1302,-5414,6714
10,-862,-6260,7742
11,-944,-4042,6716
13,-700,-4820,6882
14,-1204,-3254,7298
16,-1278,-3760,7432
17,-1394,-4202,7114
18,-1696,-5602,8138
20,-1738,-4974,7016
21,-1958,-7404,7750
22,-2270,-6004,7878
24,-1428,-6398,6792
25,-1612,-5810,7094
26,-906,-5118,6676
28,-698,-5158,6840
29,-416,-3712,6330
31,-390,-4158,7102
32,-1034,-3064,8252
33,-940,-3674,6920
35,-1288,-2916,8080
36,-1914,-4488,9326
38,-2176,-3444,6518
39,-2068,-5552,8418
40,-2178,-5676,8212
42,-1562,-5680,7112
43,-954,-5636,7050
44,-834,-4330,7450
46,-780,-3700,7306
47,-294,-2636,6672
48,-244,-2678,7944
50,-942,-2072,8152
51,-1394,-2230,6910
53,-1944,-3102,8220
54,-2358,-3582,8522
55,-2244,-4592,7146
57,-2504,-5164,7830
58,-2236,-6750,7242
60,-1394,-6156,6114
61,-1274,-6720,7126
62,-886,-5370,6812
64,-518,-5532,6624
65,74,-4286,6594
66,-334,-4044,7344
68,-1004,-3428,7530
69,-1362,-3656,6938
70,-1924,-4304,8386
72,-2168,-4404,7616
73,-2646,-5564,7808
75,-2304,-5796,7686
76,-2086,-7656,6814
77,-1508,-6022,6572
79,-678,-6892,6910
80,-640,-4776,6850
82,24,-4912,6396
83,80,-3006,7050
84,-302,-2928,7858
86,-760,-1626,6366
87,-1540,-2912,8184
89,-2180,-2424,8118
90,-2126,-4060,7898
91,-2488,-4298,6954
93,-2434,-4410,8630
94,-1836,-5698,6706
95,-1076,-4866,5904
97,-684,-5292,8026
98,-254,-4616,6488
100,284,-4336,6814
101,-206,-2428,7212
102,-650,-2138,7838
104,-994,-1706,7460
105,-1916,-2372,7958
106,-2228,-2718,8554
108,-2938,-5036,7598
109,-2838,-5042,7704
111,-2372,-7640,7606
112,-2174,-7004,6632
113,-1176,-7044,7006
115,-776,-7132,7022
116,-148,-5248,5734
118,260,-4682,6314
119,-226,-4324,7396
120,-422,-2680,6426
122,-1318,-3184,7532
123,-1902,-3544,7754
124,-2332,-4088,7742
126,-3066,-4510,8268
127,-2876,-6602,7854
129,-2390,-6446,6864
130,-1454,-7198,7008
131,-1518,-6558,6788
133,-82,-6046,6416
134,442,-4222,5722
135,106,-3476,7422
137,214,-2790,6636
138,-724,-2074,6924
140,-1480,-1588,8892
141,-2234,-3090,8588
142,-2900,-2930,7476
144,-3196,-2652,9304
145,-3174,-6262,8408
147,-2276,-4860,6834
148,-1442,-6782,7666
149,-870,-5502,6994
151,-476,-5288,6008
152,254,-3448,6052
154,522,-3432,7420
155,-592,-2104,7000
156,-558,-1696,5924
158,-1732,-2974,9180
159,-2784,-2726,7898
160,-2990,-3930,8250
162,-3368,-6238,9278
163,-2956,-7184,7190
165,-2388,-7752,6962
166,-1086,-8390,7032
167,-1018,-7290,5630
169,384,-6272,6306
170,256,-5148,6448
171,418,-3894,6590
173,-166,-3016,6676
174,-1336,-2126,8352
176,-1912,-2960,8008
177,-2790,-3336,7946
178,-3020,-4938,8830
180,-3010,-6244,8616
181,-2604,-6366,6616
182,-1564,-7010,7140
184,-1210,-6896,7438
185,-248,-6542,5272
186,654,-5308,6512
188,566,-4330,6590
189,468,-3116,6640
191,-532,-1818,6882
192,-974,-1604,8878
193,-2454,-2442,8676
195,-2760,-1238,9178
196,-3498,-4542,9424
198,-3300,-4566,7364
199,-2858,-6896,7512
200,-1812,-5850,6760
202,-894,-6816,6938
203,170,-5350,5908
205,900,-4672,6828
206,358,-3448,7472
207,6,-2304,6264
209,-358,-2350,8014
210,-1884,-2548,8708
212,-2478,-2734,8092
213,-3142,-4702,8690
214,-3538,-5870,8484
216,-3590,-6654,7236
217,-2422,-7592,7662
219,-1564,-7816,6328
220,-404,-7784,6164
221,496,-6876,5644
223,382,-4918,5978
224,730,-4150,6728
225,26,-3694,6862
227,-1174,-2142,8366
228,-1824,-2558,8344
230,-2576,-2818,8112
231,-3280,-4326,9148
232,-3496,-5436,7108
234,-2970,-5940,7312
235,-1926,-7116,7458
236,-1440,-6214,6202
238,-40,-6602,6192
239,446,-5320,5814
241,1054,-4122,6774
242,542,-3292,6740
243,168,-1340,7866
245,-1192,-1886,8558
246,-1828,-530,8324
247,-2980,-2494,8864
249,-3628,-2550,8554
250,-3152,-5462,8162
252,-2780,-5202,6760
253,-1852,-7046,7830
254,-740,-6026,5932
256,258,-6330,5564
257,100,-4856,6724
258,764,-4316,6288
260,342,-3554,7174
261,-672,-2702,8038
263,-1158,-2330,7486
264,-2320,-2930,8608
265,-3400,-3212,8568
267,-3402,-4536,8026
268,-3352,-7078,7474
269,-2562,-6576,6846
271,-2192,-8772,7036
272,-544,-6738,5278
274,160,-6740,6788
275,562,-4802,6502
