timestamp,accX,accY,accZ
0,-2088,-5962,6436
2,-1130,-6616,6586
3,-1350,-5260,6954
4,-232,-4366,6488
6,-464,-3556,7034
7,-46,-2742,6890
9,-480,-2430,7198
10,-792,-2252,6888
11,-1518,-2260,7474
13,-1998,-2936,7924
14,-2362,-3750,7076
15,-2618,-4304,7950
17,-2678,-5908,7506
18,-1824,-5716,6296
20,-1292,-6304,7164
21,-1230,-5288,6668
22,-528,-4538,6734
24,-82,-4002,6670
25,-450,-3662,6986
26,-596,-3370,7236
28,-1182,-2988,6842
29,-1780,-3578,7672
30,-2542,-3746,8022
32,-2722,-5780,7816
33,-3018,-5110,7552
35,-2762,-8734,7932
36,-2040,-6842,5878
37,-1324,-6810,6532
39,-976,-5668,6284
40,66,-4606,5500
41,320,-3472,7280
43,212,-3076,6440
44,-86,-3476,7024
46,-832,-2420,7346
47,-1826,-4268,8050
48,-1994,-3594,7876
50,-2510,-5534,8146
51,-2904,-4530,7346
52,-2410,-8268,7972
54,-2168,-5532,6666
55,-832,-4938,7636
56,-696,-5840,7170
58,168,-3488,5916
59,312,-2946,6798
61,-302,-2010,7384
62,-220,-2170,7002
63,-1390,-1970,8068
65,-1812,-2504,8054
66,-2638,-3374,7970
68,-3122,-5356,8382
69,-3098,-4750,7390
70,-2438,-7650,7946
72,-1834,-6182,6420
73,-1300,-7424,7834
74,-600,-5538,6630
76,-88,-3936,6468
77,418,-3510,7298
78,-300,-3118,7046
80,-444,-2988,6836
81,-1696,-2330,7750
83,-2168,-3700,7764
84,-3014,-3922,7860
85,-3102,-5880,8258
87,-2950,-6490,7500
88,-1944,-8468,6856
89,-1740,-8062,6590
91,-1100,-7500,6400
92,-530,-6720,6948
94,530,-4336,5836
95,538,-4066,7318
96,-334,-2500,7464
98,-182,-2192,6634
99,-1664,-2478,8498
101,-2196,-3226,7448
102,-2840,-3134,7330
103,-3194,-5288,8990
105,-2742,-5442,6406
106,-1804,-5950,6582
107,-1656,-6104,7074
109,-172,-5504,6102
110,294,-5578,6160
111,246,-3002,6676
113,418,-2876,7314
114,-174,-1308,6982
116,-1142,-1994,7130
117,-1672,-1240,8598
118,-2544,-3296,7768
120,-3414,-2798,7038
121,-3394,-4802,9164
123,-2956,-4986,5866
124,-2192,-6044,8736
125,-1806,-7026,6970
127,-354,-5844,4638
128,38,-5348,7212
129,812,-3378,5782
131,260,-3720,6476
132,-176,-1762,7244
134,-1062,-2568,7530
135,-1724,-2936,8298
136,-2730,-4686,7812
138,-3422,-5008,8824
139,-2944,-7792,7860
140,-2842,-6822,6218
142,-2018,-9066,8130
143,-1028,-8028,6418
145,-200,-5560,6444
146,560,-5608,6782
147,504,-4128,6612
149,632,-3458,6802
150,-878,-1998,7616
151,-798,-2154,7906
153,-2044,-1878,8100
154,-2850,-3064,8032
155,-3252,-3872,8542
157,-2884,-6266,7898
158,-2226,-6316,6280
160,-1910,-7652,7690
161,-852,-6870,6524
162,-70,-4678,6568
164,324,-4330,6826
165,338,-2290,6606
166,602,-1680,6874
168,-884,-768,7068
169,-1408,-1578,8382
171,-2696,-1314,7300
172,-3154,-3516,8582
173,-3542,-4596,7992
175,-2782,-6682,7282
176,-2976,-7174,7004
177,-914,-8226,6936
179,-1158,-8100,6576
180,-20,-5882,6026
182,480,-5798,7038
183,260,-3508,6198
184,-138,-2720,6352
186,-1326,-1916,8532
187,-1540,-2356,7472
189,-2764,-2650,7684
190,-3248,-4828,8774
191,-3400,-5388,6952
193,-2764,-7300,7612
194,-2526,-7106,6448
195,-930,-7738,6384
197,-594,-7876,5716
198,886,-5572,5970
200,950,-4968,6428
201,662,-2956,6786
202,-142,-1784,6664
204,-582,-1136,8780
205,-2090,-1690,7612
206,-2730,-1988,7902
208,-3550,-4708,8882
209,-3202,-4346,7014
210,-2948,-5486,8224
212,-2498,-6876,7236
213,-1032,-5836,5546
215,-456,-6256,6950
216,630,-4432,5604
217,482,-4146,6062
219,678,-1856,6792
220,-396,-1256,7130
222,-914,-822,8254
223,-2230,-1450,8336
224,-3140,-2650,8340
226,-3402,-5202,8106
227,-3466,-6468,7842
228,-2856,-6718,7130
230,-1718,-8486,6944
231,-1332,-7190,6178
232,98,-7416,6424
234,168,-5458,6402
235,744,-4540,6226
237,-134,-3452,6920
238,-540,-3084,7724
239,-1320,-1694,7722
241,-2336,-3072,8452
242,-3288,-3832,8302
243,-3258,-5958,8400
245,-2846,-6254,7432
246,-2778,-7632,7496
248,-1430,-8422,6876
249,-800,-6944,5588
250,228,-6572,6282
252,788,-4758,6144
253,964,-3314,6248
254,62,-1778,6744
256,-578,-1784,8332
257,-2026,-708,7674
259,-2380,-1796,8508
260,-3042,-3310,8672
261,-3400,-4558,8246
263,-3102,-5030,7310
264,-1830,-6732,7602
266,-1724,-6734,7082
267,-640,-6176,5746
268,298,-5926,6460
270,686,-4906,6450
271,614,-2486,5430
272,-270,-1980,7224
274,-862,-1250,8228
