timestamp,accX,accY,accZ
0,-2476,-8100,8106
2,-1348,-7856,6884
3,-732,-5874,6082
4,414,-5486,6610
6,662,-3740,6082
7,1018,-2394,7200
9,-32,-1336,6564
10,-440,-2128,8068
11,-2260,-438,8392
13,-2612,-2560,8652
14,-3348,-2990,8660
15,-3312,-6038,8786
17,-3312,-5238,6764
18,-1750,-7930,8210
20,-1746,-7890,6956
21,-722,-6820,6254
22,172,-6004,7402
24,544,-3530,6072
25,312,-3150,6452
26,-574,-1370,7500
28,-766,-2030,7422
29,-2154,-1132,7524
31,-2736,-3694,8794
32,-3424,-4484,8116
33,-3194,-6752,8110
35,-2970,-6454,6736
36,-2004,-8804,8402
37,-1534,-9000,5160
39,216,-7012,6026
40,334,-6878,6406
42,700,-4642,6112
43,638,-3444,6198
44,-370,-3126,8478
46,-1578,-2472,8250
47,-2004,-1230,8302
49,-3168,-4002,9004
50,-3164,-3958,7722
51,-3034,-6980,7548
53,-2468,-5536,6740
54,-1484,-8022,6916
56,-460,-5654,5796
57,272,-6176,6894
58,374,-3756,6670
60,688,-2790,6132
61,492,-1402,7626
63,-940,-1306,8564
64,-1394,-1824,7514
65,-2946,-1780,8868
67,-3002,-4246,9224
68,-3666,-4292,6914
69,-2872,-6700,8296
71,-2700,-6108,6702
72,-1204,-8240,6756
74,-436,-6562,5890
75,-10,-6554,6878
76,80,-4300,6590
78,418,-2708,5680
79,348,-1986,8080
80,-1346,-1578,8530
82,-1702,-2780,7350
83,-2854,-2600,8460
84,-3320,-5984,10178
86,-2972,-4242,6202
87,-2742,-8258,8898
89,-2396,-6274,5950
90,-534,-8492,5904
91,-510,-7668,5878
93,1026,-6630,6174
94,272,-5102,6104
96,662,-3714,7328
97,-300,-2730,7592
98,-992,-1426,8378
100,-2456,-2628,7898
101,-2842,-2204,8750
103,-2990,-4244,7378
104,-3150,-3810,7140
105,-2424,-7052,7648
107,-1438,-5482,5624
108,-660,-6522,6274
109,-524,-5254,5766
111,682,-5420,5928
112,738,-2390,6716
114,258,-2874,7250
115,-334,-1742,7814
116,-1444,-1534,8172
118,-2580,-1492,8660
119,-2962,-1468,8240
121,-3226,-4584,7852
122,-3294,-4294,8344
123,-2044,-7800,7342
125,-1786,-5536,5806
126,-888,-8078,7156
127,-478,-5342,6472
129,422,-5074,6174
130,-384,-3180,6480
132,-292,-3460,7784
133,-824,-1556,7092
134,-1896,-2456,7902
136,-2534,-3282,8404
137,-2924,-4162,7734
139,-2740,-5982,7470
140,-2156,-6532,7610
142,-2046,-8076,7224
143,-1682,-7322,5714
144,-222,-8146,6732
146,-62,-5816,5758
147,504,-5866,6262
148,12,-3316,6390
150,-758,-3274,7958
151,-1362,-1086,6762
153,-1830,-4228,9832
154,-2952,-2348,7992
155,-2430,-3082,7976
157,-2752,-4760,8306
158,-2048,-5374,7250
160,-1934,-5728,5886
161,-536,-5488,6538
162,-190,-6792,6252
164,216,-4536,6106
165,388,-4708,6134
166,-390,-2388,7798
168,-998,-2616,7580
169,-1644,-1292,7304
170,-2018,-3216,9674
172,-3094,-2778,7866
173,-2962,-5212,8570
175,-2730,-5470,8430
176,-2478,-5118,6502
177,-1444,-6676,6826
179,-872,-6222,6696
180,-192,-5496,6090
182,188,-5180,5796
183,44,-5202,6844
184,-690,-3324,7130
186,-932,-3566,7810
187,-1564,-2476,8464
189,-2270,-4292,8564
190,-2746,-4402,7454
191,-2488,-5678,8108
193,-2692,-6068,7978
194,-2274,-6630,6440
196,-1246,-7218,6842
197,-614,-6596,6576
198,-66,-6158,6318
200,38,-4534,6930
201,-96,-4828,7206
202,-750,-2784,7054
204,-600,-3052,8254
205,-1644,-2126,7882
207,-1914,-3122,8272
208,-2518,-2520,7580
209,-2332,-4152,8056
211,-2082,-4228,6808
212,-1374,-6046,7050
214,-988,-6502,6282
215,-258,-5904,6980
216,-426,-5190,6484
218,-508,-4462,7284
219,-788,-3616,7850
220,-946,-2032,7720
222,-2010,-3448,8264
223,-2048,-2298,8302
225,-2324,-3618,7740
226,-2628,-3256,7490
227,-2250,-5262,7854
229,-2158,-4556,6906
230,-1070,-6112,6246
231,-1572,-5642,6474
233,-698,-6424,6706
234,-442,-4644,5618
236,-652,-5596,7850
237,-636,-5442,6646
238,-1076,-4300,7548
240,-1804,-4058,8428
241,-2208,-3720,7644
243,-2310,-4090,7568
244,-2162,-4394,7708
245,-2410,-5270,7322
247,-1268,-5522,6584
248,-1428,-5958,6376
250,-426,-5642,6928
251,-788,-6116,5670
252,-528,-4734,6696
254,-316,-5740,7806
255,-674,-3438,6812
257,-1146,-3160,7558
258,-1830,-3658,8060
259,-1972,-2886,7428
261,-2100,-2980,7960
262,-2230,-4134,7984
263,-1666,-4062,7204
265,-1616,-5020,6864
266,-908,-4874,6840
268,-1140,-4374,6802
269,-528,-4894,6568
270,-582,-4256,6558
272,-718,-4318,7596
273,-1082,-3360,6788
274,-1700,-3542,8720
276,-2070,-3392,7954
