timestamp,accX,accY,accZ
0,-3606,-4124,8004
2,-3142,-6040,7956
3,-2450,-6728,7470
4,-1598,-8290,6676
6,-1134,-7480,5590
7,96,-7150,6100
9,756,-6564,6250
10,582,-4766,6186
11,616,-3578,6420
13,-588,-2272,8288
14,-1654,-1934,7768
15,-2400,-1736,7962
17,-2800,-4178,9080
18,-3532,-3820,7684
20,-2870,-5112,7892
21,-2080,-6012,6962
22,-1588,-6608,6616
24,-406,-6058,6034
25,670,-5930,5462
27,958,-4326,6416
28,850,-3828,6168
29,50,-3136,7412
31,-434,-746,8210
32,-1810,-2258,8810
33,-2616,-838,8766
35,-3124,-4060,9546
36,-3712,-3092,7226
38,-2670,-7006,8618
39,-2576,-6064,7438
40,-1330,-7906,6498
42,-972,-6680,6876
43,562,-5194,6174
45,350,-4548,5782
46,252,-2758,7230
47,-612,-2662,7296
49,-1330,-1836,7694
50,-1750,-2128,8342
51,-3010,-2894,8892
53,-3230,-5430,7266
54,-3606,-4562,7302
56,-2798,-7400,8870
57,-2244,-6088,5420
58,-546,-8648,5962
60,-212,-7552,5966
61,182,-6858,5856
62,594,-5190,5606
64,446,-3886,7486
65,-848,-2696,7732
67,-1106,-1580,8608
68,-1738,-3048,8394
69,-2748,-2452,8296
71,-3096,-4422,7486
72,-3142,-3940,7476
73,-2258,-6450,8234
75,-2140,-5388,5556
76,-444,-6706,6492
78,-282,-6314,5696
79,814,-5382,5934
80,602,-4990,6320
82,118,-2664,7446
83,-832,-2866,8050
85,-1270,-1894,8148
86,-2580,-2954,9630
87,-3210,-1356,7628
89,-2976,-4882,8326
90,-3474,-3818,7828
92,-2186,-7048,7480
93,-1370,-5306,5628
94,-804,-5954,7048
96,-486,-5110,6106
97,272,-5386,6226
99,-464,-3246,7106
100,-402,-3666,7748
101,-932,-1976,6866
103,-1860,-2666,8244
104,-2732,-4520,7806
106,-2514,-3752,7194
107,-2958,-6538,8098
108,-2876,-5634,7588
110,-1456,-7760,6594
111,-1122,-6516,6222
112,-106,-7972,7134
114,-214,-5404,5490
115,408,-5996,6560
117,-100,-3964,6688
118,-204,-4536,8122
119,-1340,-2366,6694
121,-1956,-1870,9630
122,-2836,-2528,7954
123,-2774,-3054,7212
125,-2510,-5242,8532
126,-2110,-4430,6516
128,-1612,-6666,6924
129,-1674,-4826,6588
130,58,-6330,6464
132,-110,-3762,6202
133,192,-5238,7334
135,2,-3392,6816
136,-668,-3434,7546
137,-1918,-2392,8172
139,-2132,-4046,8416
140,-2804,-3252,7804
142,-2746,-2420,8728
143,-2756,-5438,8080
144,-2462,-3912,6598
146,-1338,-6174,7154
147,-1166,-4968,6622
149,-444,-5878,6100
150,-246,-4436,5884
151,82,-5860,7288
153,-862,-2768,6662
154,-552,-4382,7992
156,-1786,-2540,7698
157,-2310,-4424,8426
158,-2342,-5078,7082
160,-2190,-5574,8516
161,-2360,-5994,6682
163,-1256,-6930,7044
164,-1272,-6606,6970
165,-584,-6806,6894
167,-358,-6240,6510
168,-532,-5352,7166
170,-330,-5498,7516
171,-966,-2664,7632
172,-706,-4036,8506
174,-1828,-2490,7818
175,-1644,-3880,8070
177,-2476,-2486,7440
178,-1920,-5246,7968
179,-1860,-3534,6414
181,-1204,-4730,6800
182,-1032,-4072,6856
183,-706,-5152,6918
185,-248,-5054,6540
186,-476,-5294,7880
188,-868,-4696,7410
189,-1152,-3604,7790
190,-1938,-4042,8898
192,-2294,-3406,7302
193,-2050,-4174,8016
195,-2458,-3040,7944
196,-1920,-5250,7062
197,-1764,-4552,6498
199,-1448,-5948,6828
200,-1104,-4620,6632
202,-652,-5628,6574
203,-762,-4800,6600
204,-794,-4768,7744
206,-780,-4332,6264
207,-1470,-3912,7342
208,-1774,-6080,7450
210,-1844,-3908,6212
211,-1768,-5356,7948
213,-2320,-4474,6974
214,-1576,-5518,6840
215,-1688,-5200,7252
217,-1042,-5648,7006
218,-1014,-5786,6360
220,-834,-5604,7174
221,-642,-5248,7024
222,-808,-4170,7258
224,-1370,-4524,7472
225,-1238,-3490,7372
226,-1282,-4096,7702
228,-1638,-3118,7024
229,-1526,-4426,7870
231,-1798,-3276,7252
232,-1356,-4012,7088
233,-1508,-3810,7448
235,-1126,-4932,7030
236,-1176,-3676,6696
238,-978,-5096,7614
239,-1148,-4292,7124
240,-1026,-5156,7916
242,-1588,-4494,7234
243,-1582,-4914,8282
245,-1628,-4374,7356
246,-1696,-4586,8156
247,-1850,-4370,8306
249,-1774,-3658,6722
250,-1728,-4428,7086
252,-1334,-4422,7506
253,-1210,-4762,6070
254,-1176,-4762,6332
256,-1240,-5842,7344
257,-1332,-4812,6910
258,-1312,-5658,7082
260,-1440,-5320,8100
261,-1428,-6130,7486
262,-1564,-4820,6754
264,-1288,-4914,7928
265,-1550,-5120,8226
267,-1112,-3832,6170
268,-900,-4638,7282
269,-1110,-4632,6944
271,-684,-4364,5962
272,-1300,-4516,7292
274,-1250,-4480,7366
275,-1404,-4344,6926
276,-1308,-5056,8078
