timestamp,accX,accY,accZ
0,82,-6614,6476
2,386,-4954,5878
3,1248,-3728,6556
4,34,-2892,6936
6,-246,-2702,7614
7,-1826,-1824,8190
8,-2830,-3026,8874
10,-2832,-3640,8238
11,-3498,-6426,8940
13,-3146,-6346,7146
14,-2028,-8292,7602
15,-1758,-8358,7242
17,-786,-7862,5890
18,246,-7574,6476
20,640,-4932,6186
21,1002,-4352,6032
22,-162,-1840,6850
24,-450,-2014,7862
25,-2036,-142,7886
26,-2164,-2198,8684
28,-3544,-2758,8060
29,-3388,-4840,8390
31,-3126,-4682,6040
32,-2092,-6414,7252
33,-1712,-8032,5536
35,84,-5900,5324
36,642,-6566,6620
37,358,-4000,5690
39,596,-3836,6268
40,-412,-1632,7808
42,-1472,-1842,8092
43,-2178,-442,9158
44,-2804,-3764,9206
46,-3876,-2198,8120
47,-3480,-4186,8282
49,-3108,-5738,6836
50,-2040,-6932,6996
51,-1460,-6698,6012
53,246,-6892,5222
54,302,-7126,6476
55,804,-4646,5766
57,460,-4152,6044
58,-58,-2824,8252
60,-1258,-3704,7590
61,-2154,-1216,8842
62,-3108,-5312,9296
64,-3624,-3418,7574
65,-3196,-7108,8492
66,-2932,-6072,7092
68,-1872,-6932,7378
69,-484,-7340,5570
71,114,-6618,5728
72,550,-5178,6092
73,820,-4078,5738
75,876,-3944,7180
76,-662,-1662,7986
77,-1330,-2010,8196
79,-2550,-1538,8312
80,-3164,-4112,9246
82,-3500,-3562,7646
83,-2968,-6146,8062
84,-2712,-5638,6638
86,-904,-7238,6628
87,-696,-6226,6324
89,-328,-5832,5942
90,570,-4308,6094
91,248,-3684,7110
93,440,-2230,7258
94,-842,-1356,7456
95,-1552,-2236,8140
97,-2892,-1584,8394
98,-3266,-4138,8450
100,-3430,-4042,7244
101,-2508,-6706,7978
102,-2970,-6884,6874
104,-918,-7966,6500
105,-794,-7424,5820
106,458,-7336,6712
108,348,-6166,5722
109,310,-5070,7344
111,-98,-3430,7272
112,-1276,-1556,8248
113,-2236,-2978,8166
115,-2784,-1906,8058
116,-3074,-4772,8708
118,-2860,-4256,6460
119,-2692,-6958,8526
120,-1864,-5582,6492
122,-710,-7234,5722
123,-210,-5230,6258
124,504,-6104,6256
126,924,-5224,6042
127,300,-3636,6756
128,-376,-3270,7554
130,-1234,-2162,8158
131,-2168,-2702,7998
133,-2596,-1482,9150
134,-3200,-4752,8614
135,-3160,-3164,7216
137,-2700,-6206,8086
138,-1886,-5054,6468
140,-1076,-6772,6882
141,14,-4956,6244
142,364,-5256,5832
144,344,-3136,6962
145,-170,-3316,7628
146,-374,-3344,7092
148,-1952,-1900,8392
149,-2158,-3702,8924
151,-2984,-3602,7566
152,-2746,-5276,8310
153,-3402,-4326,7782
155,-2236,-7532,7978
156,-1678,-6390,5952
158,-736,-7870,7678
159,-66,-6170,6066
161,-92,-6676,6302
162,-68,-4214,6604
163,-212,-4466,7526
165,-1452,-2706,7408
166,-1384,-2622,9100
168,-2940,-3446,8508
169,-2810,-3206,7628
170,-2614,-5298,7904
172,-2528,-5184,7852
173,-1714,-5862,6300
175,-936,-5986,6664
176,-70,-7106,5628
177,202,-4588,6018
179,102,-5366,7080
180,30,-2580,6556
181,-738,-3730,8210
183,-1202,-2156,7704
184,-2214,-3390,8466
186,-2640,-2742,8316
187,-2566,-4738,7778
189,-2854,-3854,7948
190,-2370,-6182,7178
191,-1558,-5338,6292
193,-988,-4938,7372
194,-316,-5290,5942
195,-52,-3814,5860
197,-284,-4182,7050
198,-712,-3064,7090
200,-800,-3740,7660
201,-2192,-2608,8158
202,-2412,-3952,8724
204,-2522,-3360,7050
205,-2854,-4868,7998
206,-2834,-5568,7216
208,-2224,-6544,6056
209,-1334,-7252,6560
211,-1180,-6664,6690
212,-104,-6778,6120
213,-202,-4610,6410
215,-240,-5352,7844
216,-862,-3832,7132
217,-520,-4314,7592
219,-1832,-3800,8298
220,-2214,-3996,7768
222,-2170,-3472,7232
223,-2366,-4574,8016
224,-2134,-5688,6894
226,-1392,-5598,6674
227,-1366,-5684,7122
228,-822,-5712,6568
230,-788,-6120,6796
231,-42,-4018,7060
232,-356,-4868,7470
234,-884,-2812,7000
235,-1004,-3542,7882
237,-2136,-2156,7844
238,-1840,-3794,8018
240,-2420,-2700,7514
241,-1976,-3926,7670
242,-1916,-3948,6540
244,-1540,-4890,7236
245,-1466,-4302,6220
246,-750,-5352,6522
248,-978,-3450,6690
249,-576,-4862,6908
251,-780,-5126,7176
252,-1304,-3902,8046
253,-1738,-4546,8038
255,-2130,-4284,7644
256,-2314,-4934,8036
258,-2194,-3982,7800
259,-1880,-5538,7264
260,-1670,-5158,6624
262,-1442,-5928,6570
263,-1114,-5254,6500
265,-688,-6416,6746
266,-576,-5032,6626
267,-544,-5816,7058
269,-996,-4040,7052
270,-1484,-4404,8002
271,-1534,-4800,7592
273,-1760,-4348,8116
274,-1636,-4324,7666
276,-1860,-4824,7732
