timestamp,accX,accY,accZ
0,-490,-1406,7722
2,-888,-2028,8224
3,-1868,-462,7918
4,-2518,-3320,8994
6,-3468,-3078,8192
7,-3244,-4382,7640
9,-2664,-4834,6496
10,-1960,-5838,7114
11,-1414,-6400,6056
13,210,-5256,4958
14,462,-6522,6792
15,402,-3214,6700
17,540,-3410,6098
18,-240,-1436,8288
20,-1464,-2070,8598
21,-2356,-1706,8140
22,-3380,-3778,8990
24,-3442,-4572,8048
25,-2936,-7004,7600
27,-2626,-7160,6758
28,-2016,-8810,7338
29,-718,-7840,6256
31,222,-6182,6168
32,542,-6066,6796
33,602,-3734,5912
35,618,-3092,6512
36,-740,-1780,7824
38,-1332,-3176,7732
39,-2726,-1260,7434
41,-3108,-4130,9086
42,-3708,-4216,6894
43,-2828,-6396,7356
45,-2778,-7640,6740
46,-856,-7898,6008
47,-544,-7920,6472
49,250,-5838,5742
50,900,-5076,6532
51,658,-3372,6260
53,-64,-1858,7200
54,-680,-1028,8542
56,-1540,-930,7730
57,-3006,-938,8534
58,-3200,-3370,8516
60,-3580,-4126,7218
61,-2734,-5654,7714
63,-2918,-6182,6836
64,-1260,-6782,6368
65,-470,-7412,5874
67,280,-5430,6894
68,540,-5014,5584
69,250,-3348,6200
71,-372,-2862,7630
72,-1268,-1736,8038
74,-2076,-1820,7492
75,-2860,-2350,8370
76,-3410,-4920,8362
78,-2874,-4772,6740
79,-2810,-7992,7942
81,-1960,-7706,6728
82,-1026,-7768,6174
83,52,-7228,6000
85,564,-5356,5754
86,552,-5022,6466
88,332,-2790,6318
89,-382,-2852,8258
90,-1844,-2070,7868
92,-2174,-2676,8284
93,-2876,-3418,8312
94,-3244,-4838,8346
96,-3066,-5482,7384
97,-2086,-7114,7370
98,-1666,-7034,6738
100,-822,-6784,6128
101,232,-6208,5950
103,570,-4880,5890
104,410,-3282,6080
105,-80,-2416,8084
107,-1218,-1356,7556
108,-1898,-788,8112
110,-2502,-1792,8910
111,-3218,-2684,8496
112,-3146,-4164,7586
114,-2806,-5294,7702
115,-2140,-6690,7592
117,-1726,-6342,5672
118,-336,-7076,6572
119,-104,-5920,5830
121,502,-5366,6310
122,216,-3730,6140
123,-96,-3170,8262
125,-1420,-2098,7434
126,-1912,-1854,9216
128,-3082,-3400,8606
129,-3214,-3670,8054
130,-3178,-5082,7770
132,-2682,-6466,7982
133,-2076,-6934,6168
135,-502,-7904,6042
136,-126,-7518,6104
137,774,-6542,5984
139,616,-5566,5538
140,428,-3764,7906
141,-614,-3216,7474
143,-1000,-1744,8460
144,-2458,-3034,9052
146,-2922,-2608,8388
147,-2920,-4422,7954
148,-2812,-4682,8014
150,-2496,-6192,6982
151,-1352,-6424,6406
153,-532,-6630,6916
154,180,-5530,6120
155,418,-5134,5844
157,220,-2602,6964
158,-268,-2652,7682
160,-858,-2464,7336
161,-1274,-1946,8258
162,-2568,-2554,9432
164,-2722,-2286,7632
165,-2766,-3936,8148
167,-2812,-4206,7668
168,-1876,-5780,6640
169,-1268,-5956,6050
171,-830,-6622,6262
172,-144,-6180,6438
174,38,-5906,6058
175,-254,-3808,7216
176,-714,-3984,8016
178,-950,-2326,7716
179,-2020,-2446,8128
180,-2690,-3896,8494
182,-2864,-4168,7578
183,-2522,-5314,7688
184,-2620,-6088,7500
186,-1492,-7412,6992
187,-1042,-6664,5990
189,-12,-7646,6988
190,-160,-6136,5088
192,348,-5756,6636
193,-56,-4644,7002
194,-452,-3924,8252
196,-1492,-2476,7584
197,-1882,-2092,7668
198,-2250,-3096,8644
200,-2710,-2568,7520
201,-2358,-4862,7944
202,-2288,-4600,7352
204,-1410,-6190,6090
205,-466,-4932,6318
207,-70,-6546,6868
208,-234,-3354,5496
210,184,-4936,7078
211,-340,-3884,7128
212,-926,-3334,7712
214,-1800,-2608,8338
215,-2356,-3692,8542
216,-2804,-2896,7966
218,-2544,-5168,8350
219,-2658,-5054,8098
221,-2246,-3634,6812
222,-1526,-6062,6572
223,-980,-5090,6602
225,-422,-6118,5884
226,-218,-4282,5466
227,-128,-5678,7506
229,-518,-3082,6658
230,-1194,-3800,7432
232,-1666,-3014,8042
233,-2158,-4414,8162
235,-2290,-4442,7302
236,-2306,-5598,8366
237,-2200,-5980,7914
239,-1840,-6484,6378
240,-1262,-7068,7210
241,-786,-5836,6260
243,-432,-6526,6334
244,-272,-4174,6050
245,-342,-5498,7880
247,-1110,-2740,6844
248,-1182,-3240,8984
250,-1990,-2794,7550
251,-1962,-3662,8360
253,-2454,-2786,7530
254,-1978,-3672,7778
255,-1580,-3446,6442
257,-1282,-4304,6860
258,-866,-5544,6562
259,-432,-4718,5856
261,-312,-5788,6324
262,-886,-4480,7816
264,-710,-5676,7402
265,-1266,-2002,7964
266,-1964,-5452,9644
268,-2450,-2844,7812
269,-1968,-4648,8026
270,-2694,-3302,8546
272,-2250,-3874,7146
273,-1654,-4020,6512
275,-1452,-4534,6802
276,-1020,-5082,6554
