timestamp,accX,accY,accZ
0,-2018,-5482,8080
2,-1762,-7514,8338
3,-1416,-6424,6146
4,-1240,-6360,7598
6,-734,-4980,7486
7,-634,-4232,7354
9,-166,-3238,6906
10,-356,-2588,6406
11,-620,-2296,8104
13,-1144,-1558,6822
14,-1380,-2714,8336
15,-2308,-2562,7918
17,-2306,-4542,7780
18,-2290,-3950,7386
19,-1690,-6922,8400
21,-1922,-6238,5786
22,-776,-5944,7472
24,-952,-5790,7718
25,-770,-3798,6848
26,-384,-4006,6572
28,-680,-1982,7178
29,-1256,-2414,7562
30,-1624,-2548,7050
32,-1670,-3622,8114
33,-2438,-3794,7858
35,-2382,-6070,7244
36,-2410,-5416,7656
37,-1736,-8528,8090
39,-2160,-5332,6196
40,-808,-7158,7476
41,-894,-7144,5936
43,16,-5030,6568
44,-198,-4280,7066
46,-312,-3746,7176
47,-876,-3316,6950
48,-1554,-2790,8256
50,-2030,-4028,7800
51,-2128,-3718,7218
52,-2532,-5650,7706
54,-2244,-5342,7806
55,-1816,-7554,6420
57,-1018,-5424,6252
58,-588,-6540,7156
59,-594,-4198,5918
61,360,-3412,6278
62,-28,-3552,7934
63,-714,-1798,7288
65,-660,-1770,6750
66,-1956,-2206,8708
68,-2288,-2878,8168
69,-2668,-3188,7704
70,-2966,-4988,8210
72,-2312,-5878,7756
73,-2114,-6742,7252
74,-1078,-5770,6570
76,-598,-5400,7242
77,-100,-4032,6666
79,166,-3594,5806
80,204,-3132,7884
81,-992,-2668,7858
83,-998,-2360,7102
84,-2186,-3368,9100
85,-2850,-4296,8874
87,-3082,-4560,7792
88,-2698,-7354,9094
90,-2678,-7228,6098
91,-1388,-8368,7186
92,-1316,-7750,7126
94,-312,-6720,6436
95,212,-5448,6568
97,520,-4448,7056
98,-288,-3312,7446
99,-540,-2434,7190
101,-814,-2248,7874
102,-2266,-2750,9236
103,-2524,-4294,6886
105,-2810,-4254,7794
106,-2842,-6874,9588
108,-2494,-5376,5584
109,-1356,-7462,7522
110,-1038,-6772,5860
112,496,-5514,5810
113,318,-4264,6744
115,396,-2738,6736
116,92,-1870,7146
117,-704,-1162,7320
119,-1762,-1348,8436
120,-2230,-1844,7792
122,-3378,-3056,7600
123,-3252,-4130,9060
124,-2948,-6258,6404
126,-2186,-5682,6666
127,-1468,-7582,6984
128,-706,-5596,5646
130,310,-5602,6208
131,186,-4030,5948
133,-144,-3538,6586
134,-294,-2718,6742
135,-1250,-2168,7610
137,-1970,-3130,8346
138,-2674,-4078,7830
139,-3292,-5210,8186
141,-3290,-5086,7754
142,-2432,-7452,7158
144,-2120,-6998,6556
145,-1092,-8128,6956
146,-204,-6426,5626
148,616,-6052,6206
149,426,-4810,6454
150,416,-3670,6816
152,216,-1570,6784
153,-1408,-2102,8680
155,-1832,-3150,7834
156,-2808,-2694,7652
157,-3350,-4220,9188
159,-2798,-5934,7028
160,-2460,-6588,7144
162,-1814,-6700,6876
163,-592,-7550,6734
164,-54,-5294,5934
166,676,-4458,6234
167,342,-2726,7018
168,292,-1646,6060
170,-660,-870,6542
171,-1468,-1808,9002
173,-2764,-1018,6808
174,-3194,-2748,8638
175,-3676,-4532,7960
177,-3196,-5448,7100
178,-2590,-6810,7116
180,-1174,-7496,6522
181,-910,-7390,6412
182,-116,-5830,5668
184,500,-5112,6106
185,462,-3828,6954
186,-224,-2628,6266
188,-954,-1988,7516
189,-1794,-2838,8080
191,-3016,-3144,8018
192,-3446,-4052,8914
193,-3404,-6330,7900
195,-2948,-6928,7072
196,-2464,-7756,6954
197,-1160,-7882,6220
199,-560,-7536,6016
200,518,-5980,5918
202,840,-5302,6062
203,876,-3274,6558
204,184,-2102,6448
206,-822,-2014,8314
207,-2266,-1400,7874
209,-2644,-2424,8340
210,-3436,-4474,8796
211,-3102,-5418,7106
213,-3024,-5190,7628
214,-1580,-6930,7002
215,-1280,-6338,6240
217,-26,-5742,5918
218,390,-4794,5692
220,822,-3054,7170
221,396,-1566,5882
222,-546,-1908,8598
224,-1964,-694,8384
225,-2478,-1298,8402
227,-2992,-2780,8418
228,-3442,-5346,8878
229,-3590,-5862,7158
231,-2152,-7206,7230
232,-1764,-7824,6020
234,-260,-6560,5876
235,294,-6974,6062
236,278,-4706,6288
238,500,-4586,5796
239,70,-3336,7560
240,-608,-3088,8536
242,-1838,-2120,7666
243,-2406,-3702,8944
245,-3648,-4686,9410
246,-3422,-5548,6992
247,-3394,-6432,7616
249,-2454,-8180,7828
250,-1602,-7398,6008
251,122,-7398,5912
253,592,-6942,5806
254,576,-5028,6754
256,782,-3406,5830
257,586,-2332,7868
258,-1020,-1706,8572
260,-1704,-1470,7938
261,-2544,-2284,8482
263,-3162,-3662,8902
264,-3516,-4460,7424
265,-2640,-5288,7616
267,-2126,-6704,7236
268,-1666,-6232,6348
269,158,-6190,5764
271,82,-5530,6230
272,622,-3684,6586
273,604,-2856,5918
275,98,-1612,8000
