timestamp,accX,accY,accZ
0,-600,-3540,7396
2,-1220,-3744,6692
3,-1374,-2870,7004
4,-1710,-4420,7994
6,-2020,-4254,7338
7,-2334,-5230,7782
9,-2124,-6262,7400
10,-1794,-7054,7388
11,-1588,-6158,6188
13,-758,-6230,6864
14,-800,-5810,6536
15,-74,-3868,6044
17,-90,-3854,6890
18,-440,-2564,7244
20,-800,-2002,6942
21,-1372,-2040,7890
22,-1968,-3130,8114
24,-2426,-3118,7914
25,-2414,-4860,7484
26,-2684,-5032,7866
28,-1978,-6182,6602
29,-1220,-5538,6242
31,-998,-5420,7290
32,-528,-4188,6272
33,-250,-3692,6202
35,84,-3360,7040
36,-520,-2542,6958
37,-1264,-2582,7406
39,-1780,-1810,7840
40,-2508,-4230,8586
42,-2740,-3506,7358
43,-2700,-6956,8632
44,-2580,-5966,7074
46,-2192,-8718,7638
47,-1540,-6172,6512
48,-754,-6486,7374
50,-656,-4974,6306
51,146,-4376,6014
53,142,-4378,7326
54,-518,-2512,6830
55,-864,-3204,6532
57,-1996,-3424,8892
58,-2408,-4360,7972
59,-2250,-3370,7862
61,-2710,-6956,8730
62,-2750,-5696,7338
64,-1502,-7780,6770
65,-1230,-6282,6864
66,-378,-5914,6532
68,282,-5186,6038
69,100,-3748,6452
70,178,-2406,7412
72,-692,-2242,7370
73,-1074,-1890,8224
75,-2284,-2124,9094
76,-2638,-3326,8306
77,-2832,-4142,8260
79,-2978,-5988,9164
80,-2562,-5822,6232
81,-1502,-7146,7586
83,-1120,-6228,7106
84,-484,-5694,6536
86,62,-4406,6808
87,340,-3354,6820
88,-492,-3334,7022
90,-1150,-1632,7136
91,-978,-2898,7786
93,-2498,-2244,8578
94,-3114,-3484,8216
95,-3228,-4452,7958
97,-2902,-6676,7896
98,-2242,-6864,6464
99,-1214,-8130,6624
101,-1380,-6492,5686
102,256,-6174,5726
104,376,-6196,6658
105,542,-3582,6258
107,108,-3254,7490
108,-898,-2912,8170
109,-1786,-2628,7560
111,-2256,-4150,8896
112,-3002,-4868,8188
113,-3204,-3976,8416
115,-2628,-7492,7790
116,-2030,-5616,5982
118,-1120,-7516,7510
119,-276,-5900,5818
120,586,-5520,6474
122,350,-3154,6680
123,496,-3222,6832
124,-12,-664,7420
126,-1278,-1544,8124
127,-1910,-1956,7908
129,-2722,-2838,8826
130,-3470,-4372,8732
131,-3352,-5762,8332
133,-2606,-7474,8334
134,-2034,-5480,6632
135,-1176,-8448,8042
137,-510,-5292,6158
138,600,-5008,6718
140,68,-3566,7028
141,160,-3302,6552
142,-144,-1350,7318
144,-1700,-1960,8240
145,-2038,-2588,7800
146,-2992,-3880,8578
148,-3462,-5576,7998
149,-2976,-6622,7888
151,-2348,-8288,7308
152,-2092,-6840,7030
153,-396,-8588,6746
155,-192,-6598,5790
156,520,-6068,6158
157,626,-4976,6740
159,232,-3884,6238
160,-846,-1542,7374
162,-1396,-2682,8866
163,-2228,-1454,7362
164,-3076,-2728,8162
166,-3566,-5414,7920
167,-2846,-5682,6516
168,-2206,-7408,7496
170,-1890,-6704,6192
171,-248,-7594,6808
173,256,-5820,5370
174,1124,-4780,6840
175,246,-3166,7198
177,204,-2080,6674
178,-864,-1412,7290
179,-2024,-1182,9094
181,-2972,-1752,7322
182,-3264,-2006,9656
184,-3748,-4730,8398
185,-2866,-4504,6720
186,-2096,-7340,8058
188,-1072,-6142,5908
189,-50,-7466,6792
191,358,-4756,6092
192,1274,-4752,5442
193,518,-2350,7624
195,-376,-2676,7136
196,-1050,-1534,8284
197,-2464,-3456,9196
199,-3374,-2872,7636
200,-3528,-6598,9592
202,-3412,-6222,7330
203,-2846,-5680,8430
204,-1800,-8146,7266
206,-882,-6610,5368
207,-140,-6996,6400
208,554,-5150,6036
210,1254,-5740,6096
211,150,-2534,6828
213,-240,-2768,7286
214,-826,-1376,7988
215,-2220,-2128,8410
217,-2992,-3044,8752
218,-3372,-5386,9062
219,-2836,-5956,7650
221,-2776,-6890,7530
222,-1670,-8034,8306
224,-848,-5800,4948
225,406,-6640,6868
226,400,-4480,6446
228,724,-3338,6896
229,14,-1418,6620
230,-514,-1424,8330
232,-2440,-370,8796
233,-2664,-1110,8268
235,-2904,-3242,8666
236,-3714,-4916,8690
237,-3144,-6644,6996
239,-3032,-6638,7666
240,-1122,-8278,6864
241,-1084,-6202,6136
243,608,-6998,6808
244,440,-4706,5676
246,764,-4724,6638
247,-348,-2732,7008
248,-812,-2844,8376
250,-2290,-1242,7628
251,-2696,-2084,8510
252,-3450,-4104,8340
254,-3330,-4486,7746
255,-3044,-7454,6952
257,-1918,-6986,6756
258,-1202,-9526,7678
259,-666,-6118,4872
261,806,-7494,6608
262,620,-5294,5844
263,630,-3780,6424
265,-20,-2288,6662
266,-702,-2368,8566
268,-1964,-1538,7294
269,-2750,-1960,9230
270,-3362,-3540,8468
272,-3216,-4170,7770
273,-2844,-5834,7694
274,-1908,-5712,7248
