timestamp,accX,accY,accZ
0,-1124,-4602,6874
2,-1398,-4586,8548
3,-1000,-4202,6592
4,-944,-3542,6944
6,-904,-2666,7668
7,-1328,-3094,7124
9,-1358,-3152,6894
10,-1606,-3584,8056
11,-1748,-4386,7812
13,-1650,-4924,6894
14,-1986,-5304,8088
16,-1482,-5362,7724
17,-1506,-4596,6864
18,-1336,-4360,8026
20,-904,-4804,6524
21,-1064,-3416,6788
23,-826,-3292,7060
24,-906,-3410,7076
25,-1620,-3070,6962
27,-1618,-3724,8114
28,-2108,-4772,7772
30,-1916,-5004,6968
31,-2234,-6370,7736
32,-1854,-6922,7742
34,-1878,-6384,6388
35,-1230,-6186,7436
36,-946,-5738,7482
38,-888,-4436,6818
39,-410,-4454,6518
40,-860,-4278,7146
42,-1232,-2774,6718
43,-932,-3922,7316
45,-1732,-3610,7662
46,-1804,-4706,7524
47,-2052,-5192,6860
49,-2210,-5368,8036
50,-1910,-6820,6348
52,-1306,-5908,6372
53,-1008,-5830,7220
54,-610,-4676,6782
56,-112,-3884,6530
57,-482,-2970,7138
59,-790,-2498,7492
60,-1006,-2422,7466
61,-1310,-2710,7700
63,-1662,-3266,8452
64,-2606,-3896,7142
66,-2444,-4910,7978
67,-2402,-5578,8396
68,-1964,-5970,6704
70,-1420,-5850,7266
71,-1026,-5640,6998
72,-722,-4470,6558
74,-386,-3880,6698
75,-622,-2690,7494
77,-1072,-2576,7412
78,-802,-3020,6958
79,-2002,-3470,8048
81,-2298,-4168,7378
82,-2112,-4900,6438
84,-2832,-6278,8330
85,-2462,-6498,6732
86,-1214,-7406,6046
88,-1274,-7118,7538
89,-230,-6992,6312
91,-492,-5666,6648
92,-8,-4186,6672
93,-350,-3236,7092
95,-764,-2980,7588
96,-1494,-1916,6564
97,-1824,-2602,8886
99,-2438,-4406,7036
100,-2482,-4228,7182
102,-2528,-6642,8006
103,-1982,-6446,6330
104,-1314,-6672,7492
106,-428,-5882,6874
107,-476,-4988,6448
109,60,-3352,6526
110,10,-3232,6750
111,-144,-2736,7436
113,-906,-1586,6976
114,-1680,-1848,7656
115,-2120,-2544,8164
117,-2836,-3152,8006
118,-2816,-4348,8318
120,-2592,-6294,8056
121,-2056,-6714,6676
122,-1702,-6910,7240
124,-846,-6362,7074
125,-258,-5448,6118
127,-82,-4196,7050
128,72,-3360,6902
129,-232,-2966,6976
131,-1294,-2304,7304
132,-1828,-2876,8400
133,-3012,-3632,8000
135,-2878,-4974,7580
136,-3000,-6248,8112
138,-2508,-7700,7432
139,-2530,-6814,6616
140,-818,-7622,7160
142,-504,-7670,5600
143,-62,-5362,6182
144,528,-4978,6492
146,358,-3622,6742
147,-232,-1940,6372
149,-1180,-1806,8774
150,-2250,-2120,7862
151,-2502,-2606,7380
153,-2796,-4732,8552
154,-2580,-5162,7318
156,-2522,-6622,6854
157,-1404,-6000,6814
158,-964,-7326,7120
160,-422,-4576,5618
161,576,-4538,6364
162,348,-3520,7270
164,164,-2096,6736
165,-680,-1102,6850
167,-1404,-1670,8788
168,-2590,-2280,8018
169,-2614,-2404,8598
171,-3368,-5090,9084
172,-3062,-5134,7506
173,-2432,-7316,7266
175,-1846,-6330,7426
176,-724,-7032,6306
178,254,-5702,5864
179,476,-5134,6094
180,226,-4036,6860
182,-340,-2940,6882
183,-632,-2466,7942
184,-2396,-3138,9194
186,-2518,-3390,8186
187,-3116,-4330,8516
189,-3302,-6730,8922
190,-3314,-6968,6554
191,-1800,-8238,7212
193,-1276,-8034,6880
194,-756,-7462,6264
196,476,-5968,6020
197,702,-4614,6594
198,352,-3046,6830
200,240,-2286,6564
201,-388,-1866,7742
202,-1892,-1618,8614
204,-2512,-2946,7346
205,-3420,-3018,8242
207,-3334,-6220,9932
208,-3134,-4604,6172
209,-1864,-7594,7942
211,-1504,-6944,5486
212,452,-6504,5844
213,38,-5430,6660
215,866,-3382,6202
216,376,-2644,6992
218,-88,-1534,7324
219,-1104,-1236,7936
220,-2626,-1246,8800
222,-2560,-2878,7896
223,-3552,-3608,8788
224,-3480,-6018,7276
226,-2436,-5790,6474
227,-1926,-7504,7558
229,-1798,-6016,5364
230,62,-6240,5550
231,426,-7116,6582
233,540,-4564,6016
234,642,-3774,7060
236,-700,-3054,7800
237,-1456,-2488,8074
238,-2202,-3220,8666
240,-3550,-4048,8430
241,-3056,-4598,8654
243,-2954,-7174,7484
244,-2576,-6594,6650
245,-1882,-8456,6974
247,-622,-6592,5582
248,442,-6772,6518
250,902,-4972,6056
251,906,-3754,5938
252,532,-1978,6980
254,-732,-1362,7784
255,-1228,-2434,8048
256,-2872,-1244,8252
258,-3150,-3538,8432
259,-3286,-4620,7004
261,-2780,-6408,7762
262,-2802,-6190,6812
263,-924,-7658,6782
265,-400,-5818,5874
266,510,-5726,7302
268,778,-3956,5750
269,700,-3242,6014
270,-764,-1780,7460
272,-1278,-2330,7934
273,-2370,-654,7118
275,-2900,-2044,9724
276,-3910,-4332,8366
