timestamp,accX,accY,accZ
0,-2004,-3746,8222
2,-2038,-3738,7610
3,-1588,-4458,6908
4,-1564,-4030,7046
6,-1244,-4834,6764
7,-940,-4416,6710
9,-760,-4840,6734
10,-630,-4398,7048
11,-768,-4280,7364
13,-1164,-3644,7396
14,-1774,-3376,8144
15,-1766,-4204,7840
17,-2252,-3664,7224
18,-1884,-4216,8050
20,-2492,-4046,7228
21,-1626,-4868,6726
22,-1458,-5608,7324
24,-1060,-5758,7068
25,-732,-5328,6092
26,-736,-6318,7164
28,-734,-5408,6960
29,-1112,-4294,7334
31,-1386,-4844,7310
32,-1624,-4224,6902
33,-1636,-5284,7866
35,-1792,-3972,6492
36,-1656,-4844,8408
37,-1926,-4144,7376
39,-1206,-5538,6600
40,-1406,-3916,7428
42,-824,-5936,7730
43,-1008,-5184,5888
44,-414,-5526,8046
46,-952,-5320,7328
47,-910,-4674,7330
48,-1538,-4776,8350
50,-1184,-3266,7296
51,-1524,-3846,7614
53,-1742,-2646,7430
54,-1474,-4146,7720
55,-1786,-2710,7082
57,-1118,-4004,7234
58,-1296,-3740,7588
59,-1318,-4684,7488
61,-1282,-3674,6574
62,-1372,-4916,8552
64,-1422,-5090,6590
65,-1470,-4748,7586
66,-1550,-5388,7890
68,-1816,-4728,7132
69,-1408,-4552,7064
71,-1676,-4040,8002
72,-1710,-4490,7592
73,-1368,-4190,6334
75,-1450,-5296,7474
76,-1256,-4398,7274
78,-1438,-4888,6500
79,-1402,-4874,7154
80,-1308,-5524,7584
82,-1442,-5340,6724
83,-1424,-4756,6954
84,-1456,-6294,7472
86,-1318,-4524,6376
87,-1324,-5658,7250
88,-1360,-4036,7252
90,-850,-5090,7120
91,-992,-4134,6712
93,-576,-4476,7628
94,-1288,-4050,7134
95,-1106,-4630,7180
97,-1390,-4448,7444
98,-1318,-3996,7848
99,-1482,-4704,6982
101,-1630,-3718,7282
102,-1388,-5974,7658
104,-1206,-3650,6646
105,-1144,-4482,7058
106,-1646,-3404,7482
108,-758,-3358,6514
109,-990,-3190,7540
110,-1058,-3018,7818
112,-1274,-3140,6536
113,-1264,-4812,7526
114,-1446,-3952,7354
116,-1800,-4054,7362
117,-1994,-4932,6932
119,-1830,-4632,7508
120,-1728,-5524,7144
121,-1030,-4408,5506
123,-1566,-5240,8462
124,-1212,-4564,6904
125,-902,-4898,6178
127,-872,-3330,7590
128,-1286,-4940,7534
130,-1346,-4484,6628
131,-1620,-4310,7672
132,-1718,-5334,8194
134,-1932,-5384,6904
135,-2090,-6556,7724
136,-1572,-6252,6988
138,-1316,-6544,6888
139,-1048,-5370,7112
141,-892,-5422,7494
142,-804,-3808,6706
143,-194,-3342,7358
145,-606,-3704,7488
146,-832,-2908,6702
147,-998,-3338,7266
149,-1776,-3358,8202
150,-1806,-4476,7280
152,-2136,-4126,7418
153,-1932,-5240,8062
154,-2096,-5064,6906
156,-1034,-5698,6880
157,-1380,-4990,7262
159,-662,-4464,7258
160,-548,-3660,6448
161,-404,-3276,7528
163,-752,-2602,7370
164,-1284,-2270,6950
165,-1894,-2946,7604
167,-2002,-3508,8386
168,-2226,-4538,7048
169,-2422,-4740,7480
171,-2368,-6606,7200
172,-1714,-5334,6424
174,-1566,-6820,7150
175,-1308,-5058,6754
176,-644,-6014,7044
178,-332,-5072,5858
179,-320,-3948,7054
180,-790,-4236,7812
182,-900,-3096,6522
183,-1518,-4164,7514
185,-1998,-4514,7344
186,-2230,-5368,7084
187,-2394,-5800,8090
189,-2370,-6770,7328
190,-1628,-6284,6754
191,-1174,-6248,7740
193,-1048,-5944,7112
194,-76,-4218,5902
196,48,-4154,7464
197,-104,-2688,7234
198,-340,-2734,6664
200,-1498,-1662,7116
201,-1688,-2500,8732
203,-1980,-3652,6880
204,-2396,-4408,7262
205,-2738,-5030,8516
207,-2480,-6118,7118
208,-1410,-5860,6096
209,-1280,-4734,7852
211,-612,-4602,6798
212,-388,-3702,6100
213,224,-3114,7408
215,-454,-3518,7424
216,-726,-2906,6444
218,-1458,-2010,7832
219,-2040,-3758,8916
220,-2674,-3186,7574
222,-2786,-5216,8278
223,-2810,-6084,7376
225,-2292,-7748,7384
226,-1892,-7402,7002
227,-974,-6914,6912
229,-580,-6406,7000
230,190,-4966,6748
231,180,-4206,6906
233,14,-3186,6822
234,-532,-3028,7094
236,-1570,-3214,7936
237,-1864,-3738,8072
238,-2770,-4814,8168
240,-2840,-4990,7828
241,-2776,-6940,7878
242,-2144,-6326,7154
244,-1432,-6866,7396
245,-514,-6160,6790
246,86,-5712,6098
248,436,-3706,6472
249,614,-3348,6990
251,-28,-2486,6758
252,-902,-1376,7534
253,-1650,-1852,8138
255,-2206,-2938,8166
256,-2784,-3770,7918
258,-3118,-4048,8256
259,-2856,-5952,7922
260,-2094,-5680,6618
262,-1278,-6474,7504
263,-1076,-5480,7080
264,4,-4716,5826
266,146,-3514,6724
267,172,-3320,6592
269,-348,-1634,6876
270,-1218,-2362,7482
271,-1620,-2560,8302
273,-2724,-3912,8142
274,-3398,-4330,7768
