timestamp,accX,accY,accZ
0,-282,-2614,7092
2,-734,-2612,7386
3,-2050,-3630,8990
4,-3170,-4596,9576
6,-3340,-5646,8240
7,-3036,-5842,8556
9,-2578,-6448,7158
10,-1994,-6160,6216
11,-434,-5376,5720
13,440,-6234,5452
14,654,-4434,6122
15,424,-4284,6086
17,166,-4124,7732
18,-1712,-3860,9310
19,-2000,-3664,8268
21,-2486,-3568,8372
22,-2532,-4428,8326
24,-2520,-3424,6998
25,-1418,-3472,6546
26,-790,-3926,5674
28,-654,-4824,6436
29,-886,-5310,6570
30,-784,-5756,6942
32,-1546,-6140,8100
33,-1390,-5854,8150
34,-1472,-5150,8078
36,-1738,-3636,7504
37,-1740,-3134,7982
39,-1496,-2204,6936
40,-1122,-2040,5660
41,-1422,-3854,7574
43,-1896,-4096,7324
44,-2316,-5402,7568
45,-2118,-6886,8280
47,-2240,-7578,8028
48,-2286,-7726,7590
50,-852,-6288,6906
51,-412,-5374,7002
52,98,-3478,6436
54,512,-2342,4872
55,620,-2958,7498
56,-1150,-2022,7586
58,-1218,-2076,7930
59,-2716,-4952,9710
60,-3530,-5482,8986
62,-3296,-6222,7846
63,-2422,-6736,8164
65,-1592,-6598,6158
66,-1250,-5168,5858
67,566,-4562,5610
69,632,-3850,5944
70,124,-2854,6782
71,-2,-2392,6718
73,-1294,-3246,8850
74,-2930,-3296,9152
76,-3076,-4006,8896
77,-3510,-4602,8872
78,-2984,-5000,7710
80,-2484,-5108,6588
81,-1258,-4946,5834
82,-604,-5324,5670
84,-74,-5524,6292
85,-50,-5396,6210
87,-538,-5626,7618
88,-1092,-4942,8808
89,-1760,-4864,7860
91,-2086,-4308,8144
92,-1878,-3900,8426
93,-2036,-3280,6774
95,-1394,-2396,5954
96,-954,-4126,7238
97,-1126,-4602,6728
99,-1318,-5228,5782
100,-1040,-5908,8370
102,-1826,-7132,8150
103,-1346,-6748,7224
104,-1210,-5506,8260
106,-1184,-4382,7648
107,-876,-2832,6696
108,-552,-1776,6542
110,-232,-1308,6692
111,-1296,-2488,7134
113,-1738,-2632,6736
114,-2440,-5114,9290
115,-3366,-6190,8424
117,-2552,-6060,8134
118,-2518,-7420,8966
119,-1712,-6114,6862
121,-870,-4838,6188
122,184,-4304,6532
124,296,-4078,5296
125,-8,-2878,6464
126,-208,-2598,7236
128,-1370,-2506,8682
129,-2708,-4398,9330
131,-2974,-4300,8942
132,-3394,-6136,8922
133,-2860,-6352,7698
135,-1870,-6204,6480
136,-626,-5938,6380
137,152,-5640,5096
139,608,-5262,6132
140,294,-3662,6366
141,288,-3812,7058
143,-1178,-3520,8670
144,-2026,-4000,8824
146,-2674,-3598,8132
147,-2678,-3688,8386
148,-2764,-4384,7742
150,-2258,-3952,6488
151,-1134,-3868,5526
152,-1194,-5442,6998
154,-1094,-4930,6200
155,-616,-5566,7552
157,-1766,-6638,8680
158,-1290,-5290,7766
159,-1544,-4902,8042
161,-1922,-4012,8426
162,-1682,-3418,7614
163,-1462,-2862,7176
165,-766,-2074,6264
166,-1398,-3816,7294
168,-1456,-3668,7218
169,-1726,-5182,7598
170,-2180,-7062,8402
172,-1970,-6576,7810
173,-1654,-7132,7984
174,-1074,-6122,7410
176,-648,-5278,6932
177,58,-3814,6864
179,214,-2308,5606
180,600,-2740,6856
181,-688,-2488,8044
183,-1598,-1874,6940
184,-1916,-4744,9302
185,-3350,-5636,9652
187,-3098,-5584,7672
188,-2546,-7020,8040
189,-1786,-6446,6236
191,-1390,-5664,5902
192,32,-4940,5968
194,518,-4142,6446
195,-476,-3432,7112
196,-264,-2318,6666
198,-904,-3678,9090
199,-3100,-3682,10100
200,-3672,-3852,7968
202,-3214,-5326,8700
203,-2976,-6180,8554
205,-2884,-5356,6438
206,-718,-5690,6380
207,-72,-5656,5512
209,42,-4892,6064
210,122,-4878,6272
212,294,-5104,7590
213,-1008,-4854,8358
214,-1830,-4682,8372
216,-2162,-4356,8842
217,-1844,-3582,7944
218,-2104,-3738,7940
220,-1548,-3104,6922
221,-1234,-3122,5840
222,-588,-4592,6846
224,-1248,-5838,6806
225,-1040,-5736,7352
227,-1440,-6510,8062
228,-1228,-6088,7752
229,-1464,-5478,7918
231,-1194,-4050,7344
232,-1022,-3424,7768
233,-748,-1862,6598
235,-372,-1692,6324
236,-1638,-3152,7972
237,-2064,-2746,7608
239,-2494,-5078,8064
240,-3336,-6512,9404
242,-3010,-6762,7538
243,-2682,-7604,7552
244,-1430,-7154,7674
246,-1272,-6410,6208
247,250,-4218,6138
248,726,-4076,5386
250,708,-3068,6858
251,-486,-2594,7366
253,-778,-2340,7946
254,-2698,-4528,9740
255,-3374,-5168,8956
257,-2904,-6334,8332
258,-2960,-6574,8660
259,-2044,-6064,6004
261,-284,-5570,6440
262,88,-5618,5906
264,502,-3742,5444
265,386,-3964,6626
266,582,-3914,6768
268,-1160,-3510,8484
269,-2222,-3532,9108
270,-2520,-3672,8146
272,-3074,-3476,8646
273,-2810,-4002,7706
