timestamp,accX,accY,accZ
0,-1238,-3344,7386
2,-1704,-3874,7482
3,-1706,-4952,6418
4,-2070,-5752,8372
6,-2810,-6778,7278
7,-2360,-6990,6884
9,-1596,-6894,8210
10,-1412,-4670,6148
11,162,-3790,5950
13,-432,-4182,6628
14,-200,-1290,6314
15,-868,-2176,6850
17,-1202,-2642,7666
18,-2582,-3226,8438
20,-3252,-4740,8518
21,-3268,-6066,7578
22,-2858,-7428,8236
24,-2368,-6996,6510
25,-528,-6254,5628
26,-112,-5986,5884
28,790,-4152,5468
29,716,-3986,5728
31,-14,-2712,7242
32,-1146,-2946,7898
33,-1642,-3470,9174
35,-2810,-3818,8864
36,-2772,-3896,8196
37,-2662,-5906,8386
39,-1960,-4840,7218
40,-1246,-4562,5376
42,-476,-5262,5832
43,114,-5380,6370
44,-106,-4710,5762
46,-490,-4966,7606
47,-1438,-4160,8506
49,-1934,-4218,8018
50,-1688,-3706,8410
51,-2488,-3052,8402
53,-2218,-2850,7924
54,-1756,-3036,5912
55,-1532,-3622,6478
57,-1598,-4724,6644
58,-1214,-5710,6338
60,-1710,-6660,7094
61,-1914,-7028,7838
62,-1810,-7148,7556
64,-1332,-7164,7654
65,-1274,-4592,7318
66,-616,-3342,6690
68,-504,-2348,6342
69,10,-2004,6296
71,-662,-2496,7606
72,-1406,-3432,7726
73,-2036,-4016,7524
75,-2252,-5414,8972
76,-2754,-7046,8178
77,-2296,-6990,7116
79,-1740,-6844,7162
80,-400,-5524,6556
82,424,-4908,5560
83,810,-2974,5762
84,354,-2348,6222
86,-288,-2010,7328
87,-1516,-1772,7254
88,-2130,-2512,10000
90,-3834,-4784,9318
91,-3100,-4562,7800
93,-3172,-6464,7968
94,-2672,-5902,7670
95,-1322,-6130,5700
97,-2,-5754,4928
98,252,-4818,6924
100,-14,-4034,6460
101,168,-4138,6338
102,-978,-3966,9238
104,-2492,-4382,9202
105,-2226,-3578,7904
106,-2462,-4752,8580
108,-2498,-3888,8220
109,-1970,-4526,6382
111,-724,-4718,5446
112,-828,-4826,6468
113,-730,-6376,5972
115,-340,-6356,7518
116,-684,-5850,7976
118,-1458,-5880,7888
119,-1418,-5646,8176
120,-1432,-3074,7434
122,-1372,-2632,8266
123,-1766,-2030,7110
124,-670,-1808,5320
126,-848,-2354,7534
127,-2040,-3916,8016
129,-1684,-4426,6150
130,-1944,-6592,8626
131,-2748,-6736,8434
133,-2152,-6752,7204
134,-1118,-6172,7052
136,-1144,-5010,7398
137,-498,-3468,6416
138,294,-2020,5392
140,-22,-2252,7556
141,-1400,-1422,7842
142,-1742,-2422,7120
144,-2014,-4712,8994
145,-3320,-6174,9316
146,-3286,-6402,7544
148,-2160,-7562,8002
149,-1626,-7088,6982
151,-934,-5846,5692
152,352,-5330,5724
153,922,-4248,5246
155,238,-3380,6706
156,86,-2966,7266
157,-978,-2892,8028
159,-2828,-3280,9010
160,-2918,-4228,8802
162,-3026,-4568,7928
163,-2586,-4604,7666
164,-2576,-5328,6940
166,-952,-5336,5796
167,-274,-5468,5502
169,-240,-5410,6608
170,-68,-5302,6400
171,-578,-4634,7266
173,-1610,-4604,8966
174,-2066,-3574,8082
175,-2202,-3166,7844
177,-2370,-3262,8772
178,-2144,-3022,7734
180,-1688,-2584,5756
181,-1080,-4848,6702
182,-1618,-5334,7716
184,-1472,-5740,6250
185,-1408,-6668,7640
186,-1632,-7146,8640
188,-1826,-6546,7120
189,-1060,-5492,7902
191,-732,-4576,7276
192,-364,-3312,6876
193,-306,-2150,6618
195,6,-1978,6650
196,-1270,-2516,7542
197,-1432,-2652,7472
199,-1878,-5354,8416
200,-2830,-5850,8536
202,-2446,-7466,7736
203,-2002,-7782,8388
204,-1472,-7054,5736
206,144,-4906,6302
207,-152,-4474,6564
209,668,-2556,5900
210,-202,-2694,7134
211,-820,-1458,7478
213,-2196,-2940,8656
214,-3398,-3798,9834
215,-3374,-4418,8328
217,-3198,-6188,8920
218,-3064,-6496,6938
220,-1506,-6382,6478
221,-946,-6462,6508
222,-60,-4934,5046
224,236,-5332,6176
225,254,-3924,5972
226,-704,-4194,7436
228,-1510,-3732,8930
229,-2270,-3922,8348
231,-2420,-3590,8102
232,-2632,-4174,8254
233,-2362,-3460,7140
235,-1446,-4446,5864
236,-860,-4834,6054
238,-240,-5486,6158
239,-378,-5496,6038
240,-538,-5750,7384
242,-880,-6038,8298
243,-1148,-5148,7698
244,-1140,-4788,8374
246,-1742,-3790,7438
247,-1580,-2148,7508
249,-1654,-2316,7306
250,-796,-2454,5952
251,-1386,-2794,6434
253,-1998,-3912,7326
254,-2040,-5164,7082
255,-2242,-6692,7874
257,-2406,-7452,7996
258,-1780,-7588,7640
260,-1704,-6534,6704
261,-662,-4560,6802
262,-276,-4276,6754
264,-22,-2564,5634
265,-306,-2268,6424
266,-1136,-2662,7598
268,-2076,-3162,7316
269,-2156,-5052,8568
271,-3416,-6452,8446
272,-2722,-6684,7776
273,-2274,-6992,7124
275,-968,-5956,6628
