timestamp,accX,accY,accZ
0,-906,-3348,7190
2,-814,-2528,6948
3,-490,-2248,6116
5,-858,-2740,7212
6,-1624,-3666,7126
7,-1956,-5342,7572
9,-2106,-6538,8402
10,-2694,-6892,8146
11,-2230,-7050,7432
13,-1070,-6494,6974
14,-640,-5058,6734
16,-138,-2824,6074
17,892,-2654,5598
18,140,-2376,7152
20,-1226,-1448,7530
21,-1556,-2284,7538
22,-2276,-3946,9394
24,-3652,-4416,9136
25,-3498,-5374,8074
27,-2698,-6742,7562
28,-2146,-6412,7036
29,-1414,-5726,5784
31,610,-5238,5020
32,372,-4832,6266
33,-8,-4124,6942
35,-414,-3726,7072
36,-708,-3736,9166
37,-2314,-3604,9086
39,-2804,-3622,9154
40,-2794,-4630,8210
42,-2448,-4322,7176
43,-2020,-5344,6932
44,-708,-5086,5320
46,-136,-5456,5832
47,-118,-5444,6734
48,-120,-5560,6058
50,-312,-5606,8018
51,-1284,-6070,8076
53,-1664,-4374,7994
54,-2002,-3970,8402
55,-1728,-2948,7738
57,-1826,-2568,7942
58,-1356,-2008,6058
59,-1398,-2414,7276
61,-2130,-4326,7466
62,-1522,-4704,6392
64,-1854,-6874,8032
65,-2264,-7066,8272
66,-2284,-7346,7336
68,-1378,-5622,7328
69,-974,-5336,7556
70,-836,-2664,6982
72,0,-2006,5956
73,-242,-1948,6048
75,-504,-2306,7700
76,-1544,-2586,6782
77,-2250,-3938,8954
79,-3010,-5622,8840
80,-2918,-6612,7624
82,-2166,-7524,7754
83,-1142,-6884,6814
84,-810,-5768,5838
86,648,-4006,5202
87,1118,-4244,6126
88,558,-2434,6666
90,-234,-2314,6872
91,-902,-2530,8816
93,-2764,-3394,9272
94,-3260,-4036,8738
95,-3150,-5198,8578
97,-2730,-5578,7478
98,-2604,-5794,6284
99,-1058,-4726,5530
101,124,-5340,5374
102,174,-5018,6004
104,-246,-4056,6388
105,-584,-4332,8098
106,-1842,-4390,8886
108,-1968,-4102,8442
109,-2708,-4444,8954
110,-2692,-3394,8606
112,-2522,-3512,7208
113,-1800,-3536,6590
115,-1176,-3970,5974
116,-824,-5742,6620
117,-482,-5498,6254
119,-1084,-6850,7452
120,-1196,-7400,8292
121,-1240,-6692,7088
123,-1446,-5582,8374
124,-1186,-4716,8780
126,-1298,-1976,6678
127,-830,-1930,7316
128,-748,-2252,6604
130,-804,-2992,6974
131,-1658,-2854,7004
132,-1628,-5560,8048
134,-2264,-6314,8462
135,-2482,-6992,7552
137,-1796,-6864,8088
138,-1496,-6702,7312
139,-750,-4470,6168
141,-14,-3968,6556
142,376,-2984,5590
144,-66,-2144,6870
145,-1130,-1888,7362
146,-1640,-3158,8666
148,-3194,-4154,9030
149,-3418,-5926,8510
151,-3426,-7008,8504
152,-2842,-6714,6662
153,-1872,-6936,6986
155,-744,-5938,5768
156,454,-5246,5604
157,806,-4466,6304
159,526,-3750,6488
160,-112,-3398,7672
161,-1622,-3980,8936
163,-2128,-3450,8522
164,-2868,-4290,9074
166,-2804,-4330,7878
167,-2196,-4632,7858
169,-1886,-4830,6764
170,-888,-5368,5414
171,-444,-6190,6242
173,184,-5072,5766
174,-152,-4964,6394
175,-760,-5374,8058
177,-1116,-3958,7662
178,-1686,-3258,7838
180,-1928,-4012,8272
181,-2078,-2304,7642
182,-1586,-2964,7416
184,-1814,-2742,6194
185,-1330,-3752,6728
186,-1986,-4110,7058
188,-2038,-6102,6686
189,-1508,-6554,7390
190,-2112,-7348,8048
192,-1608,-6608,7194
193,-1414,-6384,7584
195,-756,-3914,6852
196,-544,-3050,6778
197,-268,-2810,6200
199,-294,-2072,6220
200,-1146,-2476,7900
202,-1814,-3676,7370
203,-2226,-4920,7624
204,-2826,-6748,8412
206,-2508,-6752,7624
207,-1906,-7188,7366
208,-932,-6792,6890
210,-360,-5616,5792
211,344,-4222,5458
213,468,-2964,5818
214,598,-2952,7174
215,-790,-2332,7354
217,-1846,-2136,8626
218,-3350,-3450,8970
220,-3372,-4318,8640
221,-3252,-5240,7778
222,-2584,-5668,7380
224,-1888,-6100,5980
225,-1156,-5154,4956
226,-202,-5256,5552
228,208,-4868,6416
229,-6,-3824,5996
230,-580,-4186,7728
232,-1514,-3640,8242
233,-2528,-3696,8758
235,-2430,-4666,8090
236,-2232,-3356,7606
237,-2286,-4124,8200
239,-2002,-3560,5450
240,-712,-4918,5916
242,-984,-5890,6380
243,-658,-6158,5788
244,-720,-6384,6932
246,-730,-6644,7714
247,-1140,-5844,7760
249,-1198,-4686,8146
250,-1224,-3606,7334
251,-1086,-3044,7116
253,-978,-1842,6350
254,-662,-2378,6600
256,-1834,-3180,7082
257,-1692,-3850,7180
258,-2490,-6010,7960
260,-2866,-6478,8230
261,-2500,-7156,8146
262,-1796,-6944,7232
264,-948,-5928,7122
265,-662,-5022,6178
267,150,-2842,5782
268,-82,-2490,6810
269,-74,-1734,7272
271,-1176,-2040,7466
272,-2120,-3020,8710
273,-3372,-5062,9564
275,-3470,-5824,8790
