timestamp,accX,accY,accZ
0,-1270,-5864,7328
2,-808,-5098,7042
3,-302,-3466,6752
4,-12,-2664,6030
6,-158,-2558,6560
7,-1142,-2702,7474
9,-1350,-2754,7698
10,-2254,-5732,8554
11,-2866,-6152,8502
13,-3184,-7194,8052
14,-2414,-7050,7952
15,-1248,-6530,6780
17,-194,-4958,6282
18,324,-3694,6092
19,716,-2956,5658
21,318,-2024,6806
22,-434,-2552,7568
24,-1970,-2526,8140
25,-2802,-3800,9230
26,-3124,-4550,8572
28,-3276,-5454,8866
29,-3064,-5570,7248
30,-1546,-6064,7024
32,-1346,-5172,6168
33,-30,-4784,5528
35,250,-5048,6546
36,120,-4208,6534
37,-554,-3686,7168
39,-1828,-4600,9116
40,-1838,-3546,7878
42,-2202,-4624,7938
43,-2558,-4220,8148
44,-1838,-4320,7298
46,-1574,-3868,6234
47,-1054,-5328,6450
48,-740,-5798,6676
50,-594,-5206,5812
51,-816,-5966,7206
53,-1112,-6568,8848
54,-1402,-5072,7038
55,-1360,-5010,7798
57,-1312,-3846,7528
58,-958,-2706,6834
60,-926,-2290,6294
61,-756,-2694,6318
62,-1344,-3136,6962
64,-2000,-3712,6812
65,-2010,-4782,7660
66,-2282,-6504,7982
68,-2864,-7004,7468
69,-1932,-6824,8076
71,-1744,-6530,6770
72,-534,-3832,5962
73,-94,-3252,6594
75,214,-2076,6072
76,60,-1608,5916
77,-1092,-2138,7374
79,-2280,-3598,8234
80,-2826,-5262,8744
81,-3146,-6104,8430
83,-2912,-7004,8664
84,-2734,-6870,7040
86,-1218,-6170,6818
87,-742,-5906,6416
88,448,-5008,5110
90,790,-4098,6018
91,680,-3248,6720
92,-460,-3002,7358
94,-1626,-3990,8730
95,-1996,-3320,8288
97,-2658,-4474,8476
98,-2824,-4730,7580
99,-2254,-5132,7278
101,-1716,-5132,6844
102,-1214,-4864,5540
103,-388,-5460,5928
105,-438,-5202,6302
106,-342,-4880,7050
108,-554,-5200,8090
109,-1636,-4262,7960
110,-2076,-4058,8410
112,-2316,-4622,8032
113,-2028,-2626,6838
114,-1668,-3352,7646
116,-1796,-2888,5790
117,-1230,-4050,6316
118,-1580,-4812,6918
120,-1508,-6386,6696
121,-1380,-6202,7248
123,-1636,-6866,8140
124,-1316,-6114,7346
125,-1316,-5548,7650
127,-734,-3832,7146
128,-332,-3044,7006
130,-82,-2288,6324
131,-324,-2118,5866
132,-678,-2646,7836
134,-1834,-3632,7356
135,-2096,-4726,7324
137,-2440,-6956,8654
138,-2692,-5910,7868
139,-2264,-6964,7334
141,-898,-6014,7132
142,-326,-5378,5934
143,80,-3836,5644
145,342,-2730,6292
146,220,-2290,6908
148,-1048,-2808,7098
149,-1932,-3246,8500
150,-2828,-3918,8770
152,-3668,-4838,8588
153,-3520,-6380,8162
154,-2488,-5884,7376
156,-1900,-5984,6850
157,-1584,-5906,5086
159,-98,-5412,5736
160,348,-4948,6382
161,68,-4440,6074
163,-126,-3620,7244
164,-1560,-4048,8946
165,-1950,-3134,7782
167,-2196,-4408,8448
168,-2484,-4300,7776
170,-2068,-4674,7612
171,-1572,-3982,5516
172,-542,-4582,5946
174,-1072,-5800,7036
175,-586,-5520,6016
176,-654,-4730,6760
178,-770,-6222,8628
179,-1110,-5004,7790
181,-1206,-4348,8180
182,-1352,-3466,7956
183,-1612,-2866,7528
185,-758,-1806,6280
186,-834,-2358,6264
187,-1298,-3006,7278
189,-1560,-4424,6776
190,-2192,-4950,6850
192,-2126,-7072,9120
193,-2406,-7156,7248
194,-2092,-6596,8004
196,-1614,-6112,7806
197,-864,-4064,6704
198,-76,-3482,6658
200,-102,-3200,6308
201,6,-2082,6786
202,-768,-2968,7168
204,-1666,-3688,7900
205,-2520,-4508,9116
207,-3262,-6250,8466
208,-2722,-6574,8162
209,-2526,-7152,7484
211,-1326,-7116,6902
212,-626,-5648,5872
214,908,-4810,5312
215,534,-3296,5484
216,802,-2982,6822
218,-432,-2396,7286
219,-1420,-2910,9120
220,-2642,-3238,8914
222,-2910,-4346,8146
223,-2762,-4442,7836
225,-2514,-5276,7614
226,-2008,-5262,5936
227,-216,-4878,5066
229,-556,-5322,6030
230,152,-4802,6184
231,-662,-4414,6424
233,-700,-4754,9062
234,-1394,-4048,8228
236,-2202,-3464,8806
237,-2074,-3932,8484
238,-1986,-3556,7232
240,-1956,-3360,6944
241,-1264,-3032,5690
242,-802,-4518,5728
244,-1280,-4754,7240
245,-1470,-5474,6360
247,-1194,-6418,8312
248,-1712,-7794,7954
249,-1322,-6674,7422
251,-1368,-5366,8048
252,-660,-3984,6978
253,-446,-2984,7220
255,-222,-1810,6100
256,-58,-2042,5964
258,-696,-2956,7402
259,-1630,-3906,7132
260,-2330,-5120,8380
262,-3050,-6540,8222
263,-2956,-6832,8104
264,-2492,-6812,7432
266,-986,-5854,7222
267,-744,-4820,5988
269,198,-3774,6200
270,-4,-3224,5946
271,470,-1908,6812
273,-846,-2058,7004
274,-2052,-2494,9566
