timestamp,accX,accY,accZ
0,-900,-3258,6576
2,-2328,-2990,5784
3,-2734,-5858,6100
4,-2566,-6970,7614
6,-2510,-8652,7528
7,-394,-8158,8514
9,792,-6896,7376
10,1432,-1776,5200
11,908,-1182,6332
13,156,-776,6082
14,-1894,-134,5278
15,-3084,-2904,9274
17,-3806,-6698,8844
18,-3130,-6736,8586
20,-1614,-6820,8522
21,-378,-6500,7496
22,-282,-4554,6216
24,-156,-3556,5498
25,62,-2476,4062
26,-1268,-4770,7362
28,-3190,-4546,8230
29,-3054,-5226,9040
31,-1760,-5358,10292
32,-1262,-4338,9222
33,-990,-2926,7324
35,-752,-2848,7064
36,-1864,-3204,5188
38,-2350,-3888,5354
39,-2746,-6276,7504
40,-3010,-8908,7330
42,132,-8892,7556
43,508,-7314,7600
44,1220,-3212,5986
46,932,-2116,6268
47,1262,-1070,6372
49,-1404,94,4954
50,-3032,-644,9330
51,-4138,-5556,9184
53,-3494,-5700,8222
54,-2086,-6264,9210
55,-1206,-6024,8346
57,-706,-5558,6586
58,372,-3690,5366
59,-250,-3370,4808
61,-986,-3864,6400
62,-2584,-5464,7866
64,-2338,-6426,7710
65,-1398,-5460,9274
66,-1344,-5410,9812
68,-1162,-3464,7200
69,-674,-2352,7134
71,-1434,-2360,6306
72,-3110,-3672,6230
73,-3418,-5044,6650
75,-3056,-9666,7288
76,-982,-8128,7378
78,-66,-7758,8690
79,1378,-4994,6710
80,1758,-3062,5830
82,-68,-814,6446
83,-752,-438,5744
85,-3306,-2814,7830
86,-3562,-4452,8730
87,-4000,-5592,8002
89,-2252,-6040,9492
90,-1562,-6918,9466
91,-1180,-4372,6332
93,226,-3864,6160
94,-934,-3298,4060
96,-1876,-3404,5412
97,-2358,-6178,8412
98,-2258,-6038,7068
100,-1238,-4854,8092
101,-1376,-4806,9766
103,-510,-2026,6712
104,-422,-1670,6676
105,-380,-2376,6652
107,-2510,-2540,5606
108,-3628,-6956,7790
109,-2664,-8284,7626
111,-1786,-8786,8274
112,-408,-8530,8860
114,1070,-6354,7540
115,1406,-2786,6398
116,1026,-2030,6008
118,-200,-596,5076
119,-2714,-1992,7272
121,-3476,-4146,8252
122,-3138,-4970,7582
123,-2402,-5836,9576
125,-2388,-5114,7874
126,-666,-4440,6152
128,-156,-4144,6212
129,-618,-3058,4640
130,-1916,-3716,4930
132,-1972,-6590,7596
133,-1976,-7038,6970
134,-1716,-6004,9996
136,-822,-5420,9944
137,20,-2946,6948
139,-76,-2826,7292
140,-1534,-650,6934
141,-2530,-828,5986
143,-3216,-6624,8324
144,-3004,-7296,7704
145,-2452,-7894,7374
147,-748,-8150,9368
148,258,-8456,6244
150,1422,-2352,5432
151,1934,-1892,5444
152,48,-1410,5364
154,-2118,-1470,5748
155,-2426,-3348,7964
157,-3388,-4676,8778
158,-3474,-5368,9282
159,-2766,-6118,9048
161,-654,-4590,7402
162,-750,-3470,6176
163,-1838,-4172,5566
165,-1820,-4428,5674
166,-2182,-6122,6984
168,-2270,-7248,7014
169,-1588,-6338,9014
170,-594,-6358,9784
172,312,-4856,8350
173,474,-1924,6686
174,-716,-1418,7324
176,-1702,-1434,5670
177,-2912,-4840,6748
179,-3578,-5874,7626
180,-2468,-7548,7362
181,-1124,-8136,8830
183,-442,-6144,7180
184,1134,-3506,5578
186,1576,-2886,5660
187,378,-1108,4756
188,-1866,-1264,5432
190,-2110,-4090,7590
191,-3012,-3854,8312
192,-3268,-4794,10214
194,-1992,-5186,9256
195,-1084,-4158,8026
197,-1182,-3172,7084
198,-1916,-3508,5702
199,-1540,-3960,5714
201,-2380,-6104,6948
202,-2524,-7324,6798
203,-1694,-7730,8262
205,-472,-6024,9226
206,412,-5622,7016
208,750,-2296,6752
209,374,-938,6740
210,-1544,-1386,5918
212,-3102,-3592,6572
213,-3642,-5222,7958
215,-2794,-7230,7760
216,-2166,-8224,8340
217,-862,-6926,8048
219,724,-4924,6174
220,1244,-3892,5492
221,2,-2110,4976
223,-626,-2344,5194
224,-2744,-3572,7452
226,-3182,-5064,8200
227,-3056,-5106,9748
228,-2084,-6180,9946
230,-1412,-4554,7002
231,-1004,-2218,7034
233,-1702,-3764,6732
234,-1812,-4562,5272
235,-2318,-5902,6180
237,-2708,-6816,7858
238,-1162,-7942,7402
240,-766,-7268,9444
241,1202,-4104,7430
242,892,-1740,6170
244,1186,-1752,6838
245,-1122,-1354,6050
246,-2376,-1470,7112
248,-3374,-5012,7994
249,-3724,-6992,8652
251,-2536,-7056,8990
252,-430,-7168,9104
253,196,-5876,6484
255,250,-4414,5810
256,192,-2690,5804
257,2,-2386,4902
259,-2302,-3240,6998
260,-3066,-4670,8484
262,-3166,-4740,8602
263,-2132,-5296,9914
264,-1486,-5100,7704
266,-1402,-2680,7388
267,-1240,-4044,5756
269,-1674,-3246,4950
270,-2928,-5304,6428
271,-2966,-7254,7166
273,-1560,-8816,6970
274,-908,-8254,9470
275,1050,-5438,7684
