timestamp,accX,accY,accZ
0,-4036,-3814,7936
2,-4070,-6580,8026
3,-3254,-8218,8990
4,-1762,-8392,8046
6,122,-6146,6858
7,994,-4872,6356
8,742,-3256,4814
10,126,-3044,4562
11,-466,-3598,6830
13,-2098,-4386,7490
14,-2348,-5754,8518
15,-2070,-5558,8996
17,-918,-4236,8814
18,-874,-2972,7998
19,-766,-2902,6544
21,-1408,-2798,5468
22,-2236,-3050,5612
23,-3586,-5806,7112
25,-2440,-7806,7806
26,-2368,-7494,8374
28,-224,-6552,9006
29,86,-4984,6208
30,254,-2240,6496
32,60,-2186,6722
33,-1484,-1338,5468
34,-3312,-1790,6738
36,-4792,-5544,9496
37,-3310,-6976,8074
39,-1958,-6062,8390
40,-1436,-7382,8448
41,342,-5364,5914
43,976,-4542,5614
44,384,-3044,4612
45,-390,-3384,4376
47,-1478,-5484,8064
48,-1492,-4840,7640
50,-1382,-4588,9478
51,-1100,-5002,9660
52,-602,-3420,7884
54,-514,-2354,6994
55,-900,-1556,6192
56,-2726,-2158,5566
58,-2672,-5290,7432
59,-3294,-7094,7990
61,-2486,-7284,7856
62,-1086,-7586,9500
63,-408,-6946,8750
65,1020,-2632,6130
66,396,-2576,6486
67,-412,-1142,6014
69,-2404,-2356,6282
70,-3708,-3466,8744
72,-3620,-6914,8464
73,-2990,-6962,9016
74,-1688,-7846,8698
76,308,-6054,6930
77,144,-4370,6592
78,682,-2964,4354
80,-572,-3256,4812
81,-912,-4264,7524
83,-1558,-5288,6952
84,-1452,-5498,7250
85,-1116,-5002,9670
87,-726,-3688,8390
88,552,-2250,7246
89,-788,-1830,6888
91,-2338,-1138,6058
92,-2638,-4450,6454
94,-3428,-6276,7610
95,-3514,-7130,8316
96,-1352,-7408,8398
98,-270,-6640,8862
99,42,-3612,6362
100,90,-3078,6158
102,438,-1602,5304
103,-1926,-1390,5936
105,-2976,-3102,6636
106,-3676,-5790,8762
107,-3314,-6022,8908
109,-1740,-7064,9224
110,-806,-6942,8114
111,324,-4860,6366
113,290,-3968,5084
114,-170,-3838,4766
115,-810,-3440,6484
117,-1450,-5724,7530
118,-1464,-5558,7146
120,-964,-5604,9634
121,-726,-4734,9012
122,-344,-3008,6776
124,-824,-1294,7130
125,-1632,-1096,6190
126,-2976,-3384,6652
128,-4716,-5280,7654
129,-3384,-7320,7442
131,-2294,-8276,8344
132,-738,-8572,9084
133,-528,-5056,6588
135,764,-3910,6420
136,846,-2320,5762
137,-906,-2038,5482
139,-2070,-2452,6092
140,-3086,-4986,8148
142,-3298,-5282,8246
143,-2588,-6624,9842
144,-794,-6340,8598
146,20,-4420,6844
147,24,-3388,5692
149,-880,-3668,5798
150,-778,-4000,5358
151,-1994,-5590,7050
153,-1556,-6136,7572
154,-1500,-5236,8814
155,-406,-5140,9356
157,216,-3760,6850
158,-304,-1326,6854
160,-1072,-858,6810
161,-2830,-2662,6168
162,-4430,-4530,7440
164,-4326,-6284,7802
165,-3054,-9170,8282
166,-1672,-8384,9120
168,-358,-6246,7192
169,692,-4438,6148
171,596,-3302,6026
172,-872,-1468,5124
173,-846,-2638,5370
175,-2746,-4874,8964
176,-2798,-5490,8372
177,-2474,-5542,8758
179,-1104,-5972,10106
180,-712,-4984,7684
182,-150,-4158,6176
183,-232,-3538,5836
184,-1386,-3590,5134
186,-2454,-5252,6510
187,-1746,-6446,7972
188,-1732,-5514,8176
190,-748,-6264,9062
191,-32,-4354,7034
193,-326,-884,6754
194,-254,-1278,6712
195,-1990,-1030,6032
197,-3606,-2302,6474
198,-4340,-5388,8448
199,-4150,-8492,7616
201,-1854,-8186,8420
202,-1468,-7506,8044
204,740,-5170,5868
205,900,-3864,6058
206,32,-1866,5668
208,-582,-1980,4656
209,-1834,-4452,7690
210,-2920,-4894,8310
212,-2678,-5932,8998
213,-1472,-6342,9832
215,-470,-4654,8098
216,-426,-4292,6720
217,-622,-2856,6208
219,-1208,-3402,5044
220,-2484,-5586,5790
221,-2144,-7148,7870
223,-2324,-6908,7500
224,-440,-6290,8348
226,-532,-5580,8198
227,330,-1192,6012
228,-70,-842,6026
230,-926,-1420,6628
231,-3024,-1180,5876
233,-4290,-4290,8976
234,-4122,-7938,8268
235,-2848,-7406,8482
237,-1658,-7792,8650
238,178,-6348,7160
239,570,-4632,6368
241,514,-2794,5514
242,-166,-2484,4668
244,-906,-3898,7092
245,-2088,-5062,8218
246,-2608,-5348,8666
248,-1136,-5236,9500
249,-1032,-4966,9402
250,-504,-3596,6824
252,-160,-3458,6374
253,-1400,-2508,5408
255,-2554,-4554,5294
256,-2546,-5952,7108
257,-2110,-7632,7466
259,-706,-5996,7556
260,-558,-6268,8774
261,416,-1750,6398
263,438,-1622,5924
264,-136,-1538,6658
266,-2452,-986,6168
267,-4050,-2618,8718
268,-3940,-7138,8704
270,-3708,-7284,8040
271,-2210,-7718,9630
272,-140,-7886,8286
274,96,-5426,5932
