timestamp,accX,accY,accZ
0,-1250,-774,6252
2,-2130,-2402,6464
3,-4226,-4372,8000
5,-4166,-5774,7890
6,-2386,-8282,8302
7,-1604,-8148,8960
9,-744,-5630,6918
10,540,-4020,6110
11,636,-2930,5292
13,-978,-1684,6000
14,-2168,-2842,5808
15,-2386,-5066,7734
17,-3132,-5438,8558
18,-2244,-6702,10132
20,-1954,-5794,8262
21,-466,-4026,6886
22,-444,-3876,6748
24,-1200,-3724,5946
25,-1318,-3720,5910
27,-2008,-6862,7448
28,-2090,-7610,7732
29,-886,-6332,8068
31,328,-6140,9600
32,676,-3974,6428
33,772,-686,6256
35,-682,-648,6686
36,-1356,-562,6294
37,-4236,-3570,7454
39,-4274,-5050,7932
40,-3788,-7680,8504
42,-2248,-8094,9506
43,-1146,-7242,7380
44,-110,-5498,7218
46,728,-3644,4940
47,12,-2274,5676
48,-1044,-3472,6058
50,-2424,-3592,7304
51,-2726,-5734,9038
53,-2402,-6018,9404
54,-1560,-4978,8974
55,-874,-4516,8372
57,-234,-4032,6872
58,-1196,-3562,6258
59,-1426,-3334,5132
61,-1810,-5830,7050
62,-2402,-8018,8162
64,-1550,-7480,7084
65,-406,-6954,9382
66,812,-5436,9168
68,354,-970,5724
69,120,-1112,6716
70,-1234,-1192,5406
72,-3404,-1786,6700
73,-4382,-4622,8036
75,-4236,-7224,7808
76,-2820,-7066,8644
77,-2376,-7944,8524
79,-492,-5110,6556
80,570,-4524,6022
82,168,-2796,5506
83,-896,-2806,5094
84,-1658,-3756,7054
86,-2396,-5910,8588
87,-1498,-5870,8376
88,-1710,-5440,9458
90,-424,-3898,8528
91,-748,-3542,6776
92,-1044,-2540,6472
94,-1438,-1686,5830
95,-2294,-5910,6646
97,-2896,-7264,7388
98,-2338,-7748,7224
99,-562,-6826,8434
101,168,-6452,9260
102,1116,-1736,6380
104,1016,-890,6368
105,-198,-1000,5286
106,-2850,-686,5734
108,-3758,-4366,8184
109,-4506,-5830,7548
110,-2800,-6446,8502
112,-2854,-8366,9922
113,-624,-6382,6702
114,-164,-4654,6320
116,60,-3768,5730
117,-1016,-3364,4516
119,-1304,-4386,6980
120,-2122,-5308,7468
121,-1858,-5632,7910
123,-1336,-5748,9328
124,182,-4302,8538
125,-340,-3180,7422
127,-710,-2578,5864
128,-870,-1866,5884
130,-2272,-4550,6364
131,-2800,-5676,6346
132,-2940,-7204,7816
134,-732,-7280,8046
135,-754,-6814,9056
136,844,-3492,6814
138,1218,-1706,5874
139,-18,-912,6280
141,-2230,-140,5576
142,-2924,-1886,6730
143,-4190,-5670,9066
145,-3600,-5340,8258
146,-2600,-7032,10240
148,-1074,-6468,7728
149,-644,-5188,6436
150,-308,-4638,6212
152,-194,-3536,4692
153,-1260,-5260,6580
155,-2070,-6414,8196
156,-1510,-5832,7552
157,-1458,-5582,9434
159,-534,-5412,9642
160,-34,-3492,7116
161,-18,-1908,6516
163,-1080,-1776,6106
164,-3312,-4090,6244
165,-3068,-5694,6884
167,-3010,-6730,7626
168,-1844,-7850,8372
170,-888,-8094,8304
171,222,-4606,7566
172,1394,-3446,6144
174,376,-664,5924
175,-1370,-1422,6270
177,-2640,-1848,7562
178,-3424,-4548,8614
179,-4264,-5342,8718
181,-3274,-6284,10130
182,-1236,-7194,9116
183,-840,-4866,6104
185,66,-4312,6244
186,-796,-4686,6222
187,-750,-4288,5524
189,-1548,-5734,7264
190,-1590,-6210,7398
192,-1158,-5508,8482
193,-170,-5482,10124
194,662,-3708,6550
196,610,-1676,6832
197,-872,-1794,6986
199,-1546,-2672,5260
200,-3154,-4184,7074
201,-4162,-5590,7804
203,-2694,-8866,8364
204,-1696,-7674,7948
205,-418,-5716,8214
207,274,-4214,7052
208,1108,-2788,5036
209,-794,-712,6440
211,-2006,-2274,6354
212,-2754,-3798,7896
214,-3944,-5586,9542
215,-3330,-6250,8980
216,-1628,-7056,9550
218,-1200,-6126,8234
219,-564,-4368,6274
220,-484,-5182,6378
222,-896,-3922,4372
223,-1820,-5632,6586
225,-2132,-7350,8378
226,-1152,-5584,7728
227,-432,-5884,9520
229,360,-4984,6976
230,806,-1076,6700
231,-92,-1456,6870
233,-916,-710,5122
234,-3122,-2700,6628
236,-3844,-5206,7958
237,-2730,-7440,7090
238,-2332,-8028,8736
240,-1516,-6624,8236
241,272,-5048,6774
242,832,-3294,5588
244,-118,-802,5402
245,-1158,-1562,5742
247,-2602,-3290,7102
248,-3588,-4232,8150
249,-3258,-5748,9382
251,-1770,-6050,9246
252,-1102,-5904,8812
254,-650,-3778,6292
255,-600,-4478,6332
256,-844,-4470,4792
258,-1582,-5670,5800
259,-1802,-6688,7362
260,-2076,-7064,7484
262,-432,-6722,8662
263,348,-5364,7852
264,996,-1860,6310
266,78,-720,6928
267,-632,-780,5500
269,-3036,-1370,5762
270,-3698,-3510,8482
271,-3782,-7370,7882
273,-2884,-6984,8002
274,-2092,-7128,9042
