timestamp,accX,accY,accZ
0,-380,-4106,6458
2,688,-2762,6854
3,238,-1302,4494
5,-2204,-2124,6140
6,-3334,-3904,8688
7,-3366,-5298,7142
9,-2336,-5738,8348
10,-2422,-7076,10818
11,-1376,-4768,7374
13,450,-4658,6368
14,150,-3822,5038
15,-712,-3292,4558
17,-1646,-4826,6090
18,-1756,-5840,6948
20,-1318,-5766,6954
21,-830,-5632,9900
22,566,-4342,8410
24,222,-1968,6856
25,536,-494,6748
26,-1926,-946,6840
28,-2976,-1824,6608
29,-4040,-4556,7488
31,-4140,-6700,8650
32,-3516,-8058,8134
33,-1100,-8770,8600
35,-162,-7058,6514
36,790,-3392,5848
38,756,-2854,5738
39,-268,-2160,5204
40,-2168,-2008,6200
42,-2582,-4536,8142
43,-2856,-5472,8116
44,-2654,-5624,9388
46,-1860,-5946,7714
47,98,-4158,6224
48,-236,-4420,6234
50,-1144,-2844,5014
51,-1204,-4398,4734
53,-2160,-5730,7438
54,-1868,-6548,6990
55,-804,-6218,7914
57,-674,-4826,9448
58,216,-3450,7720
59,920,-2044,6236
61,-952,440,5996
62,-2408,-282,6522
64,-3434,-4184,7446
65,-4078,-5984,7806
66,-3582,-7100,8788
68,-1944,-8602,9158
69,-748,-7832,9004
70,144,-4026,6048
72,620,-3514,6438
73,-210,-2260,4810
75,-1734,-2566,5420
76,-1804,-4012,7450
77,-2650,-5090,7982
79,-2320,-4550,8602
80,-1814,-6890,8798
81,-206,-3912,6772
83,-262,-3404,6722
84,-654,-3436,5818
86,-1388,-4160,4642
87,-1710,-5128,7370
88,-1976,-7112,6848
90,-1438,-6870,7304
91,-1476,-6222,9260
92,732,-4676,7578
94,1186,-2040,6890
95,-796,-542,6502
96,-2034,-208,6046
98,-2662,-3928,7140
99,-4162,-4586,7752
101,-4082,-5838,9114
102,-2536,-8906,9078
103,-1268,-7154,8834
105,-460,-4732,6424
106,362,-4124,5998
107,500,-3812,5274
109,-1024,-2734,5252
110,-1600,-3598,6228
112,-2318,-5564,8366
113,-2222,-5012,8374
114,-1548,-5900,9908
116,-764,-3992,7862
117,10,-3156,6194
118,-752,-3010,6940
120,-1234,-3020,5016
121,-1930,-3584,6508
123,-2986,-7710,7882
124,-2060,-7610,7280
125,-1420,-7472,9226
127,708,-5424,8000
128,628,-2272,6908
130,182,-1288,7070
131,-712,-436,5506
132,-1476,-2132,6912
134,-4274,-4082,8118
135,-4468,-5676,8536
136,-3338,-7832,9154
138,-1908,-7318,9130
139,-1094,-6732,8114
140,176,-4972,6100
142,294,-3416,5484
143,-672,-3734,6080
145,-1142,-4542,5146
146,-1950,-4108,8316
147,-2324,-5782,9224
149,-1446,-5854,8740
150,-368,-4760,8928
151,-294,-3232,7250
153,-432,-2208,6502
154,-1472,-3100,6152
155,-1748,-3634,4316
157,-2656,-6662,8026
158,-2980,-7778,7868
160,-1428,-7428,8284
161,-56,-6418,9716
162,90,-4390,7824
164,928,-1072,6296
165,-60,-1802,6962
166,-1262,-410,5670
168,-3566,-2152,7366
169,-4348,-5298,8522
171,-4258,-6544,8896
172,-2784,-7804,9780
173,-1168,-7406,7442
175,-216,-5786,6844
176,-18,-5072,6606
178,362,-3230,4154
179,-634,-3714,5084
180,-1736,-4474,8250
182,-2020,-5834,8200
183,-1242,-5456,7790
184,-726,-4560,9330
186,-390,-3160,8108
187,-188,-2984,6316
189,-784,-1966,6336
190,-2000,-2224,5202
191,-3294,-5228,6964
193,-3426,-7778,8026
194,-1714,-9152,6878
195,-876,-6620,8962
197,-510,-6468,9316
198,578,-1878,5722
199,812,-1754,6682
201,-888,-464,5312
202,-2998,-2340,6240
204,-4192,-4942,8954
205,-4152,-5408,8032
206,-2854,-6662,8884
208,-2034,-8102,9982
209,-1624,-5332,7076
210,-74,-4622,7076
212,398,-4218,4208
213,-1020,-4380,4952
215,-1512,-5052,6968
216,-1346,-5798,6382
217,-974,-5000,7664
219,-1064,-5860,10000
220,-94,-2596,7822
221,782,-2238,7068
223,-220,-888,6558
224,-2222,-1864,6100
225,-3254,-3334,5898
227,-3456,-6250,7516
228,-3496,-8266,8018
230,-2536,-8062,8570
231,-340,-6678,8970
232,314,-5510,6330
234,246,-2186,6576
235,-374,-1712,7180
237,-498,-960,5172
238,-2902,-3636,7838
239,-4112,-4812,8684
241,-2714,-5510,7702
242,-2126,-7280,9676
243,-1998,-5608,7456
245,-238,-4922,6158
246,260,-5120,5276
247,-434,-4000,4408
249,-1560,-4096,5456
250,-1418,-6814,6822
252,-1218,-5900,7514
253,-1136,-5814,10050
254,-272,-4000,7934
256,550,-2010,7328
257,-218,-1858,6972
258,-1370,-382,5898
260,-2226,-1052,5586
261,-3674,-5562,8032
263,-3586,-7448,8042
264,-2854,-8044,7404
265,-790,-7248,8582
267,-698,-7144,8822
268,542,-3186,6000
269,722,-1614,5470
271,-212,-946,5718
272,-2750,-2548,6734
273,-3330,-3442,8496
