timestamp,accX,accY,accZ
0,-1678,-8302,8588
2,694,-6926,9322
3,1370,-4848,5578
5,488,-1468,6746
6,304,-1370,7550
7,-734,122,4780
9,-2686,-1614,6628
10,-3790,-5176,8712
11,-2558,-5682,7996
13,-1636,-7650,8694
14,-1168,-5612,7070
15,-132,-5116,6656
17,318,-4958,4934
18,402,-3304,4240
20,-1754,-2904,5846
21,-2788,-4716,8172
22,-2404,-5250,7732
24,-1786,-4548,8780
25,-1802,-4228,9750
26,-1164,-3190,8126
28,-966,-2758,5886
29,-1740,-2286,6702
31,-2702,-4106,6138
32,-2968,-6714,6764
33,-2560,-8842,7886
35,-2148,-7838,7000
36,-172,-7480,8720
37,854,-7222,6290
39,1508,-2128,5758
40,1268,-1560,6820
42,-318,-696,5128
43,-2426,-1384,6562
44,-3666,-3658,9448
46,-3310,-4574,7744
47,-2488,-6504,8940
48,-1944,-7280,7738
50,-30,-4346,6052
51,206,-4764,6222
53,222,-3302,4922
54,-1208,-2682,4870
55,-1850,-4316,7864
57,-2200,-5958,7822
58,-2364,-5148,8550
59,-1770,-4780,9604
61,-816,-3360,8472
62,-960,-2308,7030
64,-1186,-1872,6608
65,-2022,-2576,5964
66,-2734,-5182,6618
68,-3490,-8240,7952
69,-2562,-9754,7286
70,-164,-7806,8034
72,390,-7810,8340
73,978,-4030,5802
75,1566,-1986,6076
76,980,-800,5410
77,-1908,-1434,5838
79,-3268,-2188,9122
80,-3624,-4926,8214
82,-2508,-5152,7858
83,-2420,-6338,9886
84,-1302,-4908,6942
86,-392,-4358,5968
87,-114,-3792,6060
88,-1384,-3884,4544
90,-1610,-3316,7358
91,-2292,-7094,8926
93,-2000,-6294,7676
94,-1118,-5508,9354
95,-766,-4910,10208
97,-390,-2518,6950
98,-234,-1730,6176
99,-1314,-1078,6512
101,-2546,-3802,6566
102,-3826,-6590,7518
104,-2732,-8086,7644
105,-1084,-8484,8174
106,-262,-8132,8154
108,566,-5464,6490
109,1460,-2894,6252
110,1272,-1628,5378
112,-1178,-856,5624
113,-2446,-1962,6728
115,-2886,-4396,8514
116,-2802,-5074,7642
117,-2490,-4668,10832
119,-1670,-5876,8824
120,-516,-3872,6030
121,-366,-4340,6914
123,-1516,-3624,4788
124,-1880,-4094,6928
126,-2160,-7202,7998
127,-2192,-6434,6434
128,-1470,-6352,9998
130,-832,-5724,10212
131,94,-3616,6636
132,-158,-2116,7540
134,-1518,-746,7092
135,-2226,-2934,6498
136,-3558,-6046,7680
138,-3042,-6722,7012
139,-1928,-8594,8346
141,-784,-8986,8864
142,288,-6090,6496
143,1480,-3670,6146
145,1548,-2570,5462
146,540,-1910,5668
147,-1608,-1650,6354
149,-2402,-3940,8616
150,-3358,-4222,8640
152,-3000,-4628,9932
153,-1810,-4900,9690
154,-828,-4162,7228
156,-450,-3286,6612
157,-1776,-4010,6612
158,-1842,-4386,4832
160,-2396,-6490,7440
161,-2438,-7970,7992
163,-1968,-6560,8082
164,-392,-6852,10264
165,468,-4972,6158
167,526,-1144,6124
168,-906,-1288,8018
169,-1626,-1312,5458
171,-3248,-3798,6582
172,-3870,-5976,8220
174,-2452,-7918,7476
175,-1418,-9104,8740
176,-530,-6102,7354
178,1022,-5278,6202
179,1260,-3916,5356
180,-122,-1970,5214
182,-816,-1582,5858
183,-1914,-4124,7532
185,-3176,-4920,8552
186,-3142,-4150,9582
187,-1488,-4842,9458
189,-1034,-3722,7990
190,-1368,-2666,6904
191,-1724,-2956,6444
193,-1864,-3872,4520
194,-2696,-5930,7002
196,-2866,-8204,7994
197,-1960,-6898,7004
198,-714,-6996,9260
200,68,-7358,6866
201,584,-464,5944
203,706,-782,7006
204,-984,-1220,5748
205,-2768,-2988,6828
207,-3640,-4328,7362
208,-3000,-7304,8392
209,-2262,-8482,9154
211,-1332,-7130,7416
212,596,-5530,6894
214,928,-4694,5376
215,70,-2632,4696
216,-332,-2380,5056
218,-962,-3040,6590
219,-3092,-3952,8428
221,-3114,-5118,9268
222,-2002,-5056,9394
223,-1186,-4384,7974
225,-1332,-2294,6290
226,-1216,-3290,6522
227,-2178,-4160,5240
229,-2736,-5638,5694
230,-2796,-6896,7894
232,-1786,-8676,7158
233,-810,-8030,8472
234,102,-5148,7606
236,1162,-2436,5510
237,778,-1200,7472
239,-1058,-1346,6104
240,-1924,-842,5510
241,-2922,-5096,8508
243,-3862,-6330,8322
244,-2904,-6644,9188
245,-678,-7158,8370
247,246,-5520,6712
248,352,-4510,6928
249,608,-3242,4818
251,-90,-2044,4912
252,-2280,-3970,7692
254,-2504,-5020,7936
255,-2584,-4320,8632
256,-1542,-5058,9890
258,-1552,-4056,7794
259,-1360,-2342,7448
261,-1020,-2998,7044
262,-1798,-3164,5398
263,-3418,-4864,5728
265,-3524,-7004,7726
266,-2062,-9112,7446
267,-824,-7992,7830
269,24,-6252,8616
270,1256,-4592,6382
272,1072,-2456,6702
273,1010,-1456,6090
274,-1122,-618,5148
