timestamp,accX,accY,accZ
0,-606,-5138,9356
2,-760,-3220,5952
3,-962,-2912,6394
4,-1880,-2672,6438
6,-2082,-5362,5530
7,-2748,-4392,6092
9,-2450,-8244,8142
10,-1428,-6308,8502
11,-368,-6200,8448
13,934,-1846,6434
14,54,-4,6884
16,-778,-1128,7258
17,-2722,-1234,5664
18,-3424,-2458,8312
20,-4184,-5948,9170
21,-3344,-8270,8830
23,-1366,-7628,9064
24,-146,-7718,7904
25,502,-6276,5566
27,438,-4490,6200
28,-170,-3514,5256
29,-616,-4062,6478
31,-2132,-5722,7762
32,-1962,-4708,8304
33,-1016,-4936,9630
35,-604,-4620,9382
36,-634,-1862,6910
38,-1256,-2510,7372
39,-648,-3014,5022
40,-2456,-3932,4730
42,-3258,-5460,7220
43,-3570,-7610,6918
44,-1274,-7400,7466
46,-436,-5288,8870
47,204,-4004,6908
49,786,-2042,6708
50,-360,-766,6180
51,-2244,-506,5724
53,-3280,-3804,8534
54,-3966,-5468,8546
56,-3298,-6462,9470
57,-2044,-8154,9796
58,-526,-7046,6444
60,-262,-5388,5820
61,410,-4964,6104
63,1040,-3918,4262
64,-876,-3934,5804
65,-1708,-4952,7036
67,-1980,-5326,7832
68,-1564,-4282,8744
70,-774,-3686,9144
71,-594,-1748,7014
72,-652,-1824,6726
74,-1744,-2110,6318
75,-2588,-3024,5642
76,-3422,-6004,6958
78,-3736,-8906,8312
79,-2264,-9870,8418
80,-810,-6346,8556
82,266,-5022,6734
83,868,-3098,6900
85,174,-1752,7160
86,-740,-648,5170
87,-2062,-2618,7350
89,-4580,-5426,10214
90,-4232,-5738,8172
92,-1312,-7968,8852
93,-1120,-6580,7416
94,-1080,-5528,6778
96,98,-4150,6254
97,1042,-3906,4454
98,-728,-3044,4572
100,-1678,-3502,6688
101,-2134,-6170,7468
102,-1288,-4230,7312
104,-402,-6012,9682
105,-438,-1314,7236
107,90,-1754,7474
108,-974,-978,6928
109,-2610,-1462,5562
111,-2792,-2734,6800
112,-4202,-8034,8322
113,-3068,-9842,7648
115,-552,-8174,8944
116,104,-6818,7280
118,302,-3476,6712
119,240,-3598,7818
120,-36,-1542,4454
122,-2162,-2280,6582
123,-4314,-4754,9710
125,-3916,-5698,7746
126,-1632,-6650,8730
127,-1880,-6268,8598
129,-826,-5218,7442
130,162,-4798,6396
131,708,-3924,4326
133,-1074,-3798,4650
134,-1454,-4930,6736
136,-922,-6430,6696
137,-1230,-6094,7654
138,-708,-4220,9566
140,-94,-3342,8234
141,126,-572,6814
143,-900,-948,6758
144,-2314,-212,5894
145,-4058,-4252,6978
147,-4232,-7318,7922
148,-2944,-8328,7900
150,-1398,-7754,8756
151,-388,-7448,7554
152,1356,-4382,6106
154,278,-2484,6730
155,624,-1322,5344
156,-1756,-2526,5746
158,-2872,-3142,9120
159,-3170,-5472,8244
161,-2462,-4974,9402
162,-1390,-6430,9480
163,-1306,-4972,8268
165,574,-3402,5660
166,-134,-4166,5216
168,-1196,-4640,5214
169,-1244,-5220,5886
170,-1522,-8204,8132
172,-1452,-4722,8194
173,-768,-5846,9920
174,278,-4696,5974
176,74,-640,6002
177,-668,-1510,7438
179,-1966,-1224,4962
180,-3702,-2630,5966
181,-4492,-6392,9760
183,-3472,-8436,7144
184,-1762,-7734,7724
186,-1542,-7588,8790
187,698,-5214,5670
188,776,-3456,6446
190,42,-1650,5888
191,-1152,-1358,4580
192,-2004,-5424,8574
194,-2516,-4744,8116
195,-2668,-4594,9696
197,-1762,-6080,10116
198,-646,-5126,7956
199,348,-3536,6352
201,138,-3488,5516
202,-778,-2902,4872
203,-1950,-5704,6164
205,-2054,-7616,7412
206,-1470,-6086,8086
208,-800,-5970,9060
209,-614,-5372,7918
210,806,-1574,7004
212,-74,-128,7092
213,-1030,-178,5412
214,-3686,-3716,7618
216,-4354,-5820,7202
217,-3632,-6694,7322
219,-3470,-8898,9350
220,-2060,-7888,8154
221,88,-6554,6816
223,1248,-4802,6116
224,208,-2170,5062
225,-648,-3164,4820
227,-1216,-3504,6418
228,-2246,-4230,7968
230,-2732,-5224,9316
231,-1650,-6062,9980
232,-798,-5774,9026
234,-138,-2990,6150
235,-374,-3322,6338
237,-1200,-3066,5278
238,-1486,-4782,5310
239,-2252,-5740,6414
241,-1764,-7228,8032
242,-1130,-6518,8196
243,-672,-5518,8494
245,1044,-2876,7140
246,338,-76,6708
247,-664,254,6218
249,-2994,-1604,6072
250,-3802,-3672,8798
252,-3692,-5638,7234
253,-3642,-6468,7442
254,-2720,-8358,10264
256,-262,-6048,6606
257,1140,-5240,6724
259,274,-3224,5944
260,-668,-2592,5036
261,-912,-4414,6268
263,-1872,-4908,7668
264,-1990,-5192,8536
265,-1696,-5492,10174
267,-766,-5720,9242
268,-444,-2824,6770
270,-818,-2668,7256
271,-1196,-2978,5296
272,-2292,-4594,5282
274,-2696,-5980,6326
275,-3052,-8212,7756
