timestamp,accX,accY,accZ
0,-1546,-5280,7634
2,-680,-4664,8746
3,-1022,-4872,8424
4,-306,-1658,6508
6,-876,-1306,6992
7,-1492,-2052,6092
9,-3002,-2868,5596
10,-3820,-4578,8314
11,-2534,-8716,7786
13,-2024,-7156,7632
14,-830,-7566,8454
15,142,-4902,6788
17,1110,-3482,7306
18,130,-1404,5606
19,-1168,-592,4928
21,-2330,-3412,8736
22,-3714,-4806,8834
24,-2966,-5742,8598
25,-1766,-7004,9728
26,-1176,-7188,8822
28,-504,-4876,6148
29,732,-4716,5994
30,286,-2724,4528
32,-386,-4488,5548
33,-2042,-5250,7006
35,-1364,-5964,7380
36,-1116,-6066,8188
37,-982,-4692,9932
39,-644,-1736,6900
40,-580,-1810,6660
41,-590,-2030,6750
43,-3686,-1384,5614
44,-3940,-3940,8316
46,-4588,-8200,8238
47,-2808,-7748,7110
48,-1786,-8436,9250
50,-128,-7500,8300
51,1320,-4644,6064
52,1068,-2122,6158
54,-382,-1448,5462
55,-1690,-1942,7120
57,-3204,-4164,8168
58,-2832,-5058,7804
59,-2918,-6572,10110
61,-1818,-6800,9674
62,-796,-5452,6258
63,90,-3772,6890
65,142,-3384,5432
66,-692,-4544,4948
68,-1570,-5490,6866
69,-1634,-6136,6772
70,-1448,-5524,7692
72,-754,-5558,9876
73,-460,-2180,7780
74,290,-1678,6222
76,-814,-984,6900
77,-3054,-836,6022
79,-3876,-3022,6508
80,-4230,-7238,8526
81,-3402,-7876,7784
83,-2538,-8200,9282
84,-292,-7944,8740
86,460,-5668,6786
87,1330,-3034,6344
88,252,-2454,5746
90,-916,-2964,6358
91,-2650,-4480,7642
93,-2494,-5044,7572
94,-2270,-5876,9476
95,-1596,-6558,10122
97,-988,-4416,6712
98,-88,-4092,7002
99,-242,-3660,5092
101,-1338,-4276,4492
102,-1952,-4770,6566
103,-2100,-6204,7024
105,-1476,-6584,7178
106,-962,-6296,9496
108,-260,-3110,8050
109,546,-2482,6992
110,-400,-564,6968
112,-2546,14,6490
113,-3376,-1760,6590
115,-4244,-5952,7830
116,-3818,-7470,8684
117,-3056,-8272,8552
119,-420,-8274,8742
120,58,-6364,6112
122,754,-3220,6164
123,928,-2562,5742
124,24,-2392,5168
126,-1900,-4028,7138
127,-2478,-4900,7606
128,-2318,-4568,8872
130,-2034,-6284,9394
131,-1064,-4394,7206
133,-408,-3436,7366
134,-598,-2498,5598
135,-1720,-4036,4908
137,-1612,-4898,6906
138,-1972,-6236,6476
139,-1912,-7068,7238
141,-1606,-6946,9676
142,436,-5466,8308
144,712,-2218,6684
145,64,-1450,6826
146,-1646,-518,6358
148,-2774,-3204,6434
149,-4626,-3982,7428
150,-4128,-6108,9012
152,-2484,-8566,8240
153,-1274,-7928,8542
155,-210,-5644,6914
156,388,-4212,5462
157,1088,-3822,6140
159,-396,-3054,5138
160,-688,-2544,4908
161,-2160,-5186,8726
163,-2514,-5486,8944
164,-1592,-4978,9834
166,-464,-4708,8796
167,-608,-2494,7012
168,-840,-3144,6916
170,-1472,-3190,5336
171,-1602,-3258,5736
173,-3060,-5922,7602
174,-2618,-7252,7478
175,-1744,-6842,8650
177,-112,-6196,8846
178,508,-3746,6450
179,-152,-1182,6772
181,-460,-1170,6224
182,-2066,-1996,6418
184,-4090,-3554,7312
185,-4300,-5566,8322
186,-3314,-8138,9048
188,-1660,-7770,8988
189,-716,-6752,7562
190,482,-5556,6028
192,652,-4438,5524
193,42,-3198,4830
195,-712,-3834,4900
196,-1798,-5138,8650
197,-2454,-5364,8554
199,-1578,-5128,9352
200,-888,-5266,9802
202,-644,-3214,7976
203,-300,-1986,6248
204,-1328,-2874,6476
206,-2474,-3760,5678
207,-3330,-5504,7000
208,-2406,-7520,7806
210,-2614,-7512,8242
211,-672,-6606,9306
213,386,-4844,5800
214,474,-892,6206
215,-226,-1708,6482
217,-1200,-1740,5730
218,-3170,-1878,6246
219,-4372,-4342,8918
221,-3944,-8028,9038
222,-2350,-7368,9624
224,-1146,-6022,7788
225,-44,-5472,6612
226,430,-5282,5834
228,702,-2784,3992
229,-74,-3546,4380
230,-1398,-4956,8050
232,-2010,-5582,7856
233,-1624,-5592,8886
235,-576,-4666,9292
236,-770,-3098,8334
237,-394,-2520,6260
239,-1278,-2296,6204
240,-2332,-2676,5424
241,-3996,-4566,6388
243,-3418,-6968,7988
244,-3266,-8616,8374
246,-508,-6844,8276
247,-234,-6242,6880
248,514,-2550,6258
250,490,-2772,6922
251,-370,-692,4862
252,-2348,-1306,6216
254,-4200,-4228,9252
255,-3542,-5866,7946
257,-2952,-7250,9174
258,-1614,-6488,8338
259,-426,-6190,7052
261,88,-5138,6134
262,544,-3012,4074
263,-340,-2996,4184
265,-960,-5034,7330
266,-1426,-5816,7548
268,-1282,-5190,8932
269,-684,-4892,9250
270,-412,-3408,8948
272,-112,-1914,6398
273,-428,-1216,5990
275,-1914,-1018,6502
