timestamp,accX,accY,accZ
0,-1182,-3346,7850
2,-188,-2762,6208
3,-590,-2730,5754
4,-1658,-2232,5104
6,-2340,-4332,5796
7,-3218,-6736,6808
9,-2478,-7912,7456
10,-1382,-7878,8748
11,6,-5636,8430
13,504,-3640,7888
14,688,-320,5516
15,-946,-194,6378
17,-2186,-1064,6386
18,-3762,-3024,6832
20,-4156,-5608,8550
21,-4072,-7242,8396
22,-1840,-7650,8864
24,-926,-7990,6744
25,312,-4814,5340
26,980,-4348,5968
28,-72,-3370,4134
29,-698,-3126,4264
31,-1624,-4824,8932
32,-1626,-5344,7602
33,-934,-3788,8046
35,-906,-4466,9132
36,-490,-1882,6338
37,-402,-2258,7258
39,-2026,-1698,5816
40,-2106,-2126,4728
42,-3640,-6884,7764
43,-3092,-7230,7252
44,-2068,-7890,8754
46,-406,-7470,8416
47,396,-5448,7620
48,592,-2300,6860
50,34,-804,5598
51,-1156,-296,6618
52,-3558,-2332,6700
54,-3570,-3916,8146
55,-3962,-7068,8464
57,-2054,-6842,7934
58,-1850,-7906,8588
59,154,-5890,5978
61,784,-4280,5314
62,130,-4466,5550
64,-1026,-4304,4524
65,-1580,-4298,8470
66,-1748,-5772,7468
68,-948,-4352,7016
69,-1032,-5112,10664
70,98,-2312,6758
72,-2,-442,7596
73,-1816,-2182,7452
74,-1726,-1924,4898
76,-3288,-6118,7946
77,-3530,-7016,7872
79,-2694,-7578,8138
80,-788,-8336,8930
81,-174,-6402,8142
83,726,-3090,6878
84,392,-2220,6302
86,-742,-412,6246
87,-2878,-2134,6938
88,-3228,-3354,7660
90,-3802,-6330,9288
91,-2658,-6656,8806
92,-1426,-6910,8582
94,-306,-5914,7574
95,-52,-4876,5818
97,256,-4604,5518
98,-724,-4250,5104
99,-1634,-4864,7874
101,-1776,-7086,8012
102,-1118,-5602,7262
103,-680,-4970,10238
105,-300,-3860,8956
106,298,-1414,6612
108,-1300,-1438,7814
109,-2152,-1262,5974
110,-3108,-5252,7180
112,-3934,-6580,8342
113,-3466,-7540,7682
114,-1592,-9208,9454
116,-290,-7820,8548
117,624,-3858,6398
119,836,-3468,7124
120,-200,-1534,4726
121,-1980,-1956,6586
123,-2948,-3284,8024
124,-3196,-4926,8872
125,-2808,-6356,9162
127,-2184,-6424,8266
128,-850,-5544,8424
130,-356,-5234,7408
131,256,-3782,5352
132,-434,-4460,5178
134,-1786,-4256,6426
135,-1572,-6444,7576
136,-1384,-7234,7944
138,-350,-4928,9176
139,6,-5016,9920
141,112,-2210,5166
142,594,-16,6596
143,-2114,-1128,7708
145,-2726,-628,5604
146,-3978,-5130,8144
147,-4328,-7744,7338
149,-3230,-8462,8462
150,-1358,-9056,9786
152,28,-7426,5702
153,390,-4460,6700
154,406,-3346,6932
156,-714,-1532,5104
157,-2500,-3468,7346
158,-2724,-4272,7672
160,-2710,-5356,9088
161,-2462,-6330,8886
163,-642,-4940,8086
164,-438,-4840,7712
165,-532,-3674,4990
167,-524,-3400,5112
168,-1250,-4522,5558
170,-1856,-6146,6634
171,-1976,-7536,8014
172,-530,-5690,7772
174,178,-4910,9322
175,230,-3934,6318
176,292,692,5874
178,-1056,-728,7466
179,-2502,-1360,5234
181,-3938,-3482,7954
182,-4570,-6440,7576
183,-2566,-7688,7780
185,-2096,-8536,9376
186,344,-6030,5870
188,288,-4324,5862
189,786,-3390,6256
190,-320,-1790,4076
192,-1400,-2368,8162
193,-2744,-4702,8002
194,-2304,-5308,7816
196,-2094,-5972,10004
197,-618,-4684,8452
199,-510,-3792,7642
200,-336,-3818,5852
201,-788,-2810,4936
203,-1250,-5906,5994
204,-2156,-6336,6436
206,-2416,-7558,7758
207,-750,-6684,7604
208,18,-5830,8678
210,-6,-3026,7244
211,484,-612,5630
212,-256,-510,7442
214,-2946,-736,6428
215,-4024,-2308,6384
217,-4092,-6820,8640
218,-3306,-7090,7624
219,-2516,-7336,10632
221,-644,-7636,7446
222,782,-5020,5296
223,600,-3596,7396
225,-194,-2958,4784
226,-722,-2162,6510
228,-1994,-5006,8164
229,-2376,-5076,7628
230,-1802,-6084,10028
232,-664,-4706,8984
233,-356,-3238,7914
234,-418,-3314,7144
236,-1078,-2508,5530
237,-746,-4250,5588
238,-2668,-6930,7248
240,-2744,-7544,7146
241,-1280,-7424,7752
243,-444,-7272,8670
244,58,-3706,7902
245,782,-1594,6466
247,460,-244,6890
248,-1970,-1342,7044
250,-3784,-1656,6550
251,-3832,-5242,8268
252,-4120,-7742,9056
254,-3116,-7358,9672
255,-986,-7812,8584
256,-110,-6034,6136
258,462,-4500,6634
259,-82,-4040,5456
261,-358,-3034,4900
262,-2088,-5002,8528
263,-2100,-6032,8074
265,-1436,-5196,8888
266,-1014,-5444,10654
267,-410,-4152,6934
269,-32,-2806,6962
270,-1218,-2894,7252
272,-1288,-2340,4984
273,-2704,-5642,6756
274,-3218,-6728,7092
