timestamp,accX,accY,accZ
0,380,-6648,8848
2,856,-1872,6506
3,672,-2312,6904
4,-262,-450,4732
6,-2932,-812,7076
7,-3850,-3600,8268
9,-4090,-5438,8058
10,-3766,-6380,9058
11,-2518,-8112,8684
13,-748,-5998,7782
14,246,-5938,6154
15,14,-3218,5704
17,-920,-4276,6430
18,-1410,-3626,5348
20,-2078,-5976,8304
21,-2344,-5962,9420
22,-1816,-4906,9132
24,-876,-4866,9728
25,-344,-3350,5994
26,-744,-2528,6662
28,-1476,-2454,6742
29,-2184,-4130,5698
31,-3346,-6332,7428
32,-2314,-8140,7344
33,-826,-7986,7828
35,434,-7336,9036
36,696,-3074,5972
37,1124,-1906,6740
39,400,-1844,4934
40,-1444,66,5642
42,-2994,-2472,7504
43,-4374,-4704,8030
44,-4048,-5728,8616
46,-3032,-7414,9436
47,-1488,-6268,8224
48,-686,-5478,6848
50,-500,-4502,5404
51,-702,-3394,5264
53,-1396,-4270,5900
54,-2104,-6038,7108
55,-1846,-5882,8332
57,-1864,-5212,8144
58,-462,-5346,9118
59,-352,-4572,6628
61,48,-962,5868
62,-620,-2066,6730
64,-1996,-2878,5268
65,-3354,-4092,5934
66,-2998,-7478,7684
68,-2526,-7326,6560
69,-612,-7900,8726
70,192,-5266,6390
72,1590,-2734,5752
73,868,-2382,6972
75,50,-102,4712
76,-1972,-1740,6772
77,-3950,-2400,8318
79,-3656,-4338,7310
80,-3568,-6180,10116
81,-2676,-5670,8448
83,-648,-4538,6592
84,-916,-5332,6214
86,-296,-3022,4602
87,-1360,-4182,4838
88,-1334,-5800,6296
90,-1794,-5936,7144
91,-1626,-7052,8092
92,-432,-5452,8458
94,-14,-4362,9422
95,112,-1486,5864
97,-288,-1348,6010
98,-1430,-1784,6614
99,-2910,-3370,5502
101,-3376,-6040,7558
102,-3470,-8328,7386
103,-1182,-7608,7582
105,-378,-7754,7772
106,1674,-4078,5378
107,808,-2346,5984
109,584,-786,5102
110,-1404,-582,4832
112,-2738,-2750,9024
113,-3954,-4018,7754
114,-3274,-5442,8804
116,-3040,-5852,9816
117,-1380,-4990,7502
119,-730,-4250,7010
120,-558,-3446,5640
121,-1340,-3626,4336
123,-1592,-6760,6524
124,-1862,-6426,6432
125,-1618,-6858,8522
127,20,-6764,8626
128,240,-4452,8452
130,660,-1648,7020
131,222,-890,5544
132,-730,-676,7240
134,-3118,-2308,6036
135,-3396,-3986,6568
136,-3634,-7682,8264
138,-2038,-7972,7490
139,-580,-7512,9080
141,674,-5530,6346
142,972,-3028,4914
143,756,-2618,6584
145,-864,-948,4376
146,-2110,-988,9030
147,-3580,-5092,8758
149,-3432,-4442,7772
150,-2946,-6398,11022
152,-1826,-5240,8332
153,-666,-4266,7312
154,-768,-3682,6622
156,-1110,-3580,4760
157,-1408,-5740,6212
159,-2118,-7296,7184
160,-1404,-7776,7962
161,-232,-7714,8298
163,94,-6162,8590
164,464,-2488,7664
165,798,-1750,5886
167,8,102,7066
168,-2928,-1716,7082
169,-3506,-3180,6460
171,-3532,-6924,8786
172,-3016,-7470,7746
174,-1610,-7272,9524
175,76,-6784,8236
176,850,-3680,4612
178,808,-3044,7200
179,-610,-2256,6046
180,-1138,-1238,6114
182,-3408,-5348,9408
183,-3100,-5188,8760
185,-3188,-5598,10394
186,-1882,-5884,9956
187,-1038,-3694,6778
189,-1012,-4120,8178
190,-1284,-3882,5684
192,-1412,-5354,5434
193,-2670,-7014,7704
194,-2050,-8070,6678
196,-742,-7518,7994
197,154,-7420,9072
198,644,-2806,7242
200,672,-2124,6752
201,804,-1372,5770
203,-2006,-900,6490
204,-3362,-2320,6822
205,-3952,-5880,8178
207,-3200,-7194,8288
208,-2614,-7154,9198
210,-830,-7274,9154
211,496,-5560,4942
212,644,-3252,5616
214,-822,-3180,6914
215,-760,-2404,5024
216,-2286,-4810,7680
218,-3084,-5216,8218
219,-2144,-4240,8774
221,-1874,-5636,10638
222,-1104,-2470,6430
223,-1046,-3334,6976
225,-1058,-3622,5208
226,-1776,-3624,4780
227,-2704,-5916,6534
229,-2706,-8452,6880
230,-696,-7652,6960
232,-44,-7258,9028
233,1098,-4430,7326
234,1470,-2238,6356
236,952,-200,5758
237,-1312,548,5940
238,-2470,-1250,7404
240,-3472,-4560,8010
241,-3906,-5492,8338
243,-3424,-7212,8628
244,-1708,-6572,9048
245,-210,-6652,5988
247,462,-3498,4962
248,-96,-3264,6078
249,-842,-3068,4528
251,-2068,-5026,6500
252,-2610,-6140,8694
254,-2558,-4480,7422
255,-1768,-5644,9932
256,-1820,-3684,7190
258,-602,-1334,5472
259,-996,-2736,7406
261,-1972,-3572,5206
262,-2574,-4432,4672
263,-2494,-8626,7812
265,-1684,-7978,6970
266,-786,-8112,9194
267,572,-6082,7118
269,1900,-2440,5938
270,1088,-2296,6604
271,-386,-250,4488
273,-1322,-370,5686
274,-3102,-3582,8384
