timestamp,accX,accY,accZ
0,-1116,-6442,9456
2,-18,-4134,8312
3,322,-2458,7272
4,-132,-1612,5980
6,-2026,-642,6286
7,-2830,-2568,6960
8,-3876,-5968,7456
10,-3726,-7188,8648
11,-2778,-8422,8128
13,-724,-7926,9290
14,254,-7742,5516
15,946,-4138,5326
17,1242,-2752,6440
18,-252,-2078,4538
20,-1524,-3120,5824
21,-2140,-4794,8370
22,-2226,-3854,8284
24,-1680,-4836,9304
25,-1540,-4930,7456
26,-630,-2204,6910
28,-1410,-2744,7512
29,-1336,-2960,4510
30,-2394,-4544,5478
32,-3582,-6492,7732
33,-2316,-7090,6482
35,-1256,-7466,7774
36,-262,-5360,8674
37,936,-2574,6888
39,690,-1706,6520
40,-618,-608,5808
42,-2082,-1670,6028
43,-2992,-4538,7376
44,-3604,-5762,7630
46,-3490,-7528,9066
47,-1192,-8230,8968
48,-500,-7076,6864
50,510,-4794,5966
51,806,-3458,5754
53,696,-3266,4940
54,-832,-2752,4878
55,-2212,-3722,9084
57,-2418,-5140,8518
58,-1136,-4366,8078
60,-1190,-4390,8994
61,-746,-2254,7454
62,-1224,-2586,6516
64,-2414,-2872,5648
65,-2512,-3116,5234
66,-3652,-7266,8266
68,-2958,-7998,7102
69,-2196,-8052,9172
71,-682,-6696,9496
72,562,-5358,6194
73,376,-3068,7392
75,34,-1442,6606
76,-906,-1336,5618
78,-3100,-3848,7988
79,-3666,-5254,8038
80,-2968,-6568,8380
82,-1598,-7942,9234
83,-1018,-5766,7918
85,670,-5280,6362
86,642,-2576,4404
87,-238,-2536,5194
89,-1276,-3748,6496
90,-2016,-4542,7656
92,-1704,-5366,7944
93,-1850,-4884,9080
94,-1140,-4648,9858
96,-698,-2890,6000
97,-860,-1616,6406
98,-2550,-2534,7146
100,-2886,-4326,5676
101,-3848,-6180,7160
103,-3206,-7742,7788
104,-1664,-7950,8418
105,-308,-8108,8100
107,1100,-3292,6038
108,684,-2932,6922
110,814,-958,4966
111,-834,-1914,4902
112,-2522,-2894,8752
114,-3484,-4838,7734
115,-3230,-6552,8334
117,-2136,-7306,9342
118,-604,-6080,7774
119,-4,-5476,6914
121,878,-4082,4794
122,-554,-2278,5500
124,-1400,-4336,6492
125,-1892,-4716,6454
126,-1652,-5742,8810
128,-1032,-4584,9062
129,-1082,-3844,8448
131,-592,-1708,7004
132,-1114,-1888,6546
133,-3048,-2534,7010
135,-2956,-3014,5272
136,-3852,-8186,8924
138,-3466,-8338,8448
139,-1992,-8088,8284
140,-330,-7494,9124
142,620,-5936,5794
143,1030,-2906,6512
145,516,-1646,6108
146,-708,-2016,6150
147,-2764,-4010,8008
149,-3252,-4384,7538
150,-2658,-6152,9096
152,-1742,-7044,10014
153,-272,-5128,7090
154,-76,-4686,6628
156,220,-3156,4474
157,-878,-3112,4866
159,-1646,-4928,6896
160,-2200,-5110,7400
161,-1776,-5706,7746
163,-1388,-5282,8978
164,-826,-3828,9168
166,-122,-2754,6584
167,-502,-1162,6040
168,-2282,-1236,6840
170,-3874,-3670,5680
171,-3832,-6104,7682
173,-3718,-8818,8134
174,-1586,-8714,7900
175,-626,-7880,8356
177,1532,-4522,5438
178,872,-2822,7110
180,-754,-1310,5704
181,-582,-1044,4770
182,-1936,-4618,8940
184,-3012,-4792,8122
185,-2806,-4950,9610
187,-1256,-6074,9928
188,-524,-5188,6810
189,-260,-4398,6988
191,-222,-3550,5476
192,-738,-3788,5558
194,-2082,-5542,6460
195,-2106,-5408,7208
196,-1446,-5856,8802
198,-1104,-6018,9298
199,-540,-2948,8818
201,-510,-2572,7670
202,-424,-998,6020
203,-2640,-1814,6936
205,-3886,-2876,7040
206,-4084,-6844,7876
208,-3586,-8184,8570
209,-2096,-8234,8724
210,-146,-8490,8118
212,562,-4822,5648
213,1426,-2288,5984
215,442,-2788,4848
216,-1194,-1432,5430
217,-2444,-3334,7798
219,-2430,-3964,7736
220,-2128,-5180,8570
222,-1764,-6146,8260
223,-162,-4012,6420
224,-534,-4498,6182
226,-1480,-2694,5134
227,-1382,-3786,4360
229,-2434,-6440,7644
230,-2102,-6068,6670
231,-1908,-6092,9374
233,-1130,-6098,9856
234,334,-3502,8244
236,140,-1908,7384
237,-598,-1080,6592
238,-2246,-2142,6366
240,-3906,-3692,7162
241,-3766,-5338,8526
243,-2984,-8564,8352
244,-1404,-8634,8588
245,-656,-7200,8172
247,788,-5462,5950
248,1138,-3788,5626
250,-86,-2738,6112
251,-780,-2272,5810
252,-2336,-4160,8066
254,-2792,-5728,9230
255,-2114,-4642,9020
257,-1238,-5932,9596
258,-530,-3600,6520
259,-422,-3126,6856
261,-1284,-3208,5138
262,-2312,-4126,5082
264,-2890,-6468,7464
265,-2904,-7420,7020
266,-1216,-6728,8110
268,-1056,-7074,8852
269,532,-2688,7010
271,-332,-1874,7654
272,382,-66,6064
273,-2236,-1386,5840
275,-3704,-2914,7938
276,-3566,-5830,7586
277,-3516,-8010,8248
