timestamp,accX,accY,accZ
0,-1330,-5548,8796
2,918,-4616,7732
3,942,-3772,6274
4,-826,-124,6256
6,-1498,-1066,6380
7,-2730,-3422,7088
8,-3340,-5252,7300
10,-3074,-6816,8448
11,-1536,-8300,8192
13,-460,-8182,8778
14,698,-4906,5954
15,1340,-4678,4976
17,534,-2488,5428
18,-1476,-2510,5438
20,-2422,-3076,6996
21,-2676,-4812,8638
22,-2484,-3834,8666
24,-1980,-4998,9842
25,-1426,-2906,7582
26,-990,-2936,6566
28,-1412,-3356,6814
29,-2376,-4116,5524
30,-2782,-4814,7130
32,-3350,-8954,8578
33,-1640,-8410,7628
35,-954,-6906,8858
36,606,-5964,8142
37,750,-3266,5818
39,202,-1750,7134
40,-510,-950,5798
42,-2052,-3054,7140
43,-3870,-4348,9028
44,-3576,-6386,7542
46,-2202,-7422,8972
47,-1340,-7510,7408
49,690,-5012,6230
50,1018,-4756,5610
51,584,-2756,4318
53,-674,-2344,5234
54,-1424,-3890,7286
56,-2926,-4910,8292
57,-2324,-4606,9812
58,-1664,-4354,9204
60,-1232,-3318,8354
61,-1266,-2806,6798
63,-1626,-2468,6450
64,-1958,-4002,6096
65,-3284,-5732,7246
67,-3688,-6466,7648
68,-1390,-10570,8554
70,-50,-8220,8368
71,604,-5158,7416
72,1090,-2866,6488
74,946,-1270,6306
75,374,-1236,5768
76,-2300,-1142,6002
78,-3338,-5700,8432
79,-3814,-6248,9052
81,-2678,-6890,9108
82,-232,-6414,8356
83,-698,-5308,6682
85,304,-3922,6558
86,338,-3254,5500
88,4,-3640,5092
89,-2298,-3004,6446
90,-2964,-5670,8616
92,-2226,-4404,8030
93,-1220,-5526,9370
95,-1056,-1874,8322
96,-608,-1176,5770
97,-1392,-2392,7330
99,-3072,-2408,6048
100,-2842,-3394,5366
102,-3522,-8470,8862
103,-2312,-9354,7520
104,-920,-8704,8754
106,836,-5816,7710
107,1016,-4494,5824
108,1552,-2216,7002
110,94,-2300,6256
111,-1620,-986,6256
113,-3414,-4458,9060
114,-4174,-6246,9464
115,-3054,-6828,9358
117,-1056,-7020,9624
118,-776,-4946,6202
119,-182,-5466,7780
121,140,-4104,6200
122,-40,-3214,3692
124,-2136,-4526,7408
125,-2652,-6368,6588
126,-1584,-4844,7194
128,-1248,-5778,9566
129,-1174,-2802,7554
130,-474,-1908,7100
132,-1208,-2280,6894
133,-2818,-1958,6048
135,-3464,-3388,6612
136,-3744,-7706,7830
137,-2404,-9322,7752
139,-1418,-8264,8128
140,840,-6938,7862
142,760,-5844,6124
143,1024,-2120,5870
144,1156,-1142,5580
146,-976,-2366,6614
147,-2882,-2826,7316
149,-3300,-4198,8500
150,-2460,-4742,8936
151,-1786,-6222,9162
153,-966,-4350,7250
154,50,-3728,6370
156,-186,-2636,5124
157,-1690,-4006,4910
158,-2022,-5198,6780
160,-2378,-6234,7528
161,-2090,-6938,8894
163,-1370,-5480,9980
164,-554,-4496,8224
165,-130,-1166,6510
167,-1410,-1432,7242
168,-1794,-2102,6230
170,-3536,-4052,6624
171,-4090,-7074,8234
172,-2542,-8470,7770
174,-812,-9134,8234
175,-178,-6814,6666
177,1606,-4174,6024
178,1122,-3626,6078
179,428,-1276,4598
181,-1308,-926,4942
182,-2068,-4504,9144
184,-2930,-4788,8010
185,-2850,-5408,9654
186,-2048,-5656,9868
188,-1386,-4794,6180
189,-498,-3054,6490
191,-542,-3240,5786
192,-2072,-3904,5154
193,-2066,-5330,6454
195,-2688,-7280,7266
196,-1686,-6396,8212
198,-1260,-6000,8906
199,-138,-3622,7774
200,376,-2458,6592
202,-744,-550,6894
203,-2958,-34,5474
205,-3398,-3498,8260
206,-3612,-7298,8394
207,-2590,-6704,7102
209,-1824,-8876,9208
210,322,-7564,7998
211,1054,-5576,5686
213,1294,-2698,5222
214,754,-1898,4858
216,-772,-3194,6904
217,-2332,-3606,7224
218,-2284,-4372,8606
220,-2658,-4864,9850
221,-2228,-5940,8762
223,-782,-3420,7150
224,-484,-2932,6596
225,-968,-3198,5714
227,-2368,-4724,4930
228,-2198,-5108,7038
230,-1918,-7110,7362
231,-2270,-7056,9082
232,-802,-6048,10066
234,-30,-4758,7802
235,1052,-1840,7272
237,-868,-90,7364
238,-2628,38,5278
239,-3678,-4116,7958
241,-3450,-7294,8926
242,-2894,-6544,6716
244,-1766,-8368,9282
245,-466,-5692,6962
246,1984,-3622,4474
248,1550,-3518,5860
249,-358,-1724,4894
251,-1448,-2422,5422
252,-2314,-4522,8440
253,-2136,-4098,7400
255,-2470,-4884,10258
256,-1376,-4626,9442
258,-1128,-3468,6942
259,-1320,-2844,6852
260,-1784,-3000,6256
262,-2474,-4720,6350
263,-3130,-6900,6658
265,-2980,-7462,7028
266,-1580,-7198,9344
267,-546,-7164,7618
269,716,-3454,6722
270,450,-1634,6520
272,-330,-932,6018
273,-2400,-1404,5096
274,-2828,-3584,8906
276,-3842,-6178,8074
277,-2668,-7398,7462
