timestamp,accX,accY,accZ
0,-1874,-2568,7696
2,-2624,-5248,8948
3,-2854,-5672,8420
4,-1778,-5686,9588
6,-696,-5042,8472
7,-64,-4006,6342
9,-530,-3328,6052
10,-1336,-2842,5898
11,-1512,-4652,6154
13,-2078,-7304,7284
14,-1926,-6992,7588
16,-782,-5374,8678
17,56,-5638,9492
18,246,-318,6464
20,-418,-170,6856
21,-794,-650,6630
22,-2328,-2226,6382
24,-4346,-4272,7518
25,-4566,-6310,8100
26,-3206,-8266,8620
28,-1884,-8642,8910
29,-276,-6760,7712
31,1060,-4720,5576
32,480,-2858,5570
33,-340,-2946,5580
35,-1052,-3366,6280
36,-2572,-4776,8306
38,-2328,-5408,8822
39,-2346,-6170,9130
40,-538,-4876,8852
42,-484,-3730,6680
43,-548,-3282,6680
44,-1028,-2868,5626
46,-1758,-4692,5616
47,-2816,-5890,6840
49,-2774,-7308,7110
50,-1480,-6796,8176
51,-260,-6654,9924
53,370,-1264,6472
54,94,-1056,6446
55,-262,-1954,6354
57,-1592,-1040,5502
58,-3408,-2096,7004
60,-4474,-6672,8814
61,-3224,-7692,8250
62,-2582,-7626,9486
64,-500,-7648,7578
65,306,-5292,6534
66,502,-3706,6248
68,358,-2602,4718
69,-432,-2610,6190
71,-1262,-4426,8116
72,-2194,-5444,8408
73,-1598,-4758,9110
75,-672,-4500,9358
76,-750,-3844,8112
77,-260,-3382,7138
79,-616,-2546,6178
80,-1992,-2658,5664
81,-2932,-5688,6794
83,-3554,-7370,7290
84,-1324,-7226,7214
86,-612,-6890,9244
87,-506,-5728,7676
88,778,-2024,5738
90,8,-1062,6816
91,-414,-150,6568
92,-3064,-1756,5600
94,-3736,-6698,9230
95,-3688,-5784,7700
97,-2760,-7062,10272
98,-2206,-7972,8642
99,-100,-5900,6392
101,446,-4558,6882
102,454,-4202,5188
104,-482,-3156,5576
105,-874,-5528,8250
106,-1570,-5496,7688
108,-1616,-5304,8820
109,-746,-4586,10238
110,-546,-3626,7044
112,106,-2100,6986
113,-652,-1898,6236
115,-1668,-2276,5748
116,-3192,-4602,6616
117,-3252,-6180,6664
119,-2982,-8738,8538
120,-1150,-7866,8926
121,-340,-6086,7298
123,1032,-3108,6792
124,-126,-1974,6794
126,152,-652,5738
127,-2190,-958,5328
128,-3374,-2654,9416
130,-4120,-5798,8680
131,-2938,-6338,7732
132,-2164,-7586,9740
134,-1138,-6352,7746
135,502,-5654,6072
137,786,-4570,5574
138,-196,-4006,4030
139,-974,-5078,7070
141,-1666,-6416,7778
142,-1520,-5298,8886
143,-828,-5784,10238
145,-564,-3882,8802
146,-494,-2524,7102
148,-1200,-1660,7300
149,-1002,-1394,5148
150,-2872,-3134,6420
152,-4110,-5304,6600
153,-3324,-8486,7716
154,-1896,-7344,8012
156,-352,-8334,8570
157,426,-4400,7110
159,970,-3138,6728
160,246,150,5546
161,-1802,-1210,5654
163,-2808,-2338,8434
164,-3484,-5350,8526
165,-3292,-6060,8078
167,-1834,-7554,10214
168,-1124,-7262,9114
170,16,-4622,5984
171,456,-5086,6060
172,-532,-3662,4200
174,-1078,-4346,5486
175,-1548,-6264,7466
177,-1516,-5762,7548
178,-940,-4736,8846
179,-244,-5030,7996
181,368,-1108,6926
182,-580,-1496,7130
183,-842,-1406,5530
185,-2960,-2684,6182
186,-4108,-4414,8030
188,-3238,-7642,7072
189,-2932,-8062,8292
190,-1784,-7212,9244
192,-74,-6314,7418
193,996,-3378,5626
195,254,-1668,6544
196,-1100,-1834,5844
197,-2526,-2858,6578
199,-3148,-3968,8530
200,-3394,-5060,8932
202,-2086,-6302,9188
203,-1062,-6828,7480
204,-124,-4852,6136
206,-68,-5036,6582
207,-74,-3918,4228
208,-956,-4702,4900
210,-1992,-5988,7900
211,-1380,-6108,6852
213,-632,-5074,7842
214,-746,-4862,9072
215,674,-1578,6896
217,-150,-458,6952
218,-1750,-472,6358
219,-2920,-1646,5990
221,-3450,-5786,7750
222,-3522,-6190,7234
224,-3418,-7722,9020
225,-1272,-7666,9034
226,-180,-7484,7398
228,748,-3992,6570
229,326,-3104,6308
230,-266,-1876,5474
232,-1946,-3238,6460
233,-3024,-3684,8264
235,-3100,-5336,8794
236,-2094,-5932,9286
237,-1604,-6012,8306
239,106,-4308,6400
240,-580,-4002,6284
241,-84,-3962,5032
243,-1264,-4326,4734
244,-1400,-5260,7788
246,-1398,-7058,7166
247,-1410,-6692,7288
248,-554,-5100,9840
250,604,-3490,8054
251,612,-1198,6894
252,-1418,-748,7622
254,-2686,-252,6496
255,-3118,-4366,7314
257,-4520,-6432,8960
258,-3810,-6898,8068
259,-2982,-8790,9482
261,-526,-8040,8382
262,64,-4410,5736
263,304,-3820,6992
265,580,-3008,4306
266,-994,-2664,5878
268,-2474,-3694,7560
269,-2492,-4180,8372
270,-2328,-5748,9354
272,-1324,-5868,8986
273,-474,-4336,7224
275,-582,-3980,7218
