timestamp,accX,accY,accZ
0,-256,-4228,5460
2,-2,-3220,5556
3,-1462,-4228,4988
4,-2330,-4918,8092
6,-2318,-6048,7884
7,-1744,-5950,8758
9,-1156,-5334,9922
10,-192,-4094,8196
11,-484,-2162,6792
13,-960,-2182,6122
14,-2620,-2342,5994
15,-3632,-5202,6952
17,-3132,-7996,7706
18,-2564,-8672,7880
20,-360,-8042,8468
21,214,-7520,6398
22,1476,-3050,6172
24,1530,-2066,5776
25,406,-484,5380
27,-1876,-1562,6254
28,-2678,-3164,8726
29,-3308,-5848,8182
31,-2988,-5420,8796
32,-2362,-6400,9424
33,-818,-4382,7030
35,-694,-3656,6774
36,-552,-3328,5716
37,-1702,-3426,4982
39,-2170,-6512,7552
40,-2408,-6046,7510
42,-1722,-6668,9004
43,-1126,-5702,9530
44,182,-4252,8454
46,430,-2576,6622
47,-510,-1224,6536
48,-1886,-2038,6120
50,-3390,-4594,6022
51,-3152,-6782,7774
53,-3332,-8374,8004
54,-826,-8718,8344
55,-390,-7844,7368
57,864,-4068,5846
58,1002,-2910,6328
59,694,-2078,4902
61,-1048,-1586,5454
62,-2614,-2530,7064
64,-2860,-4632,8084
65,-3318,-4626,9168
66,-2178,-6430,9464
68,-1172,-4326,7540
69,-1030,-3804,7222
70,-956,-3220,5646
72,-1318,-3996,4778
73,-2290,-5914,6786
75,-2272,-6494,7186
76,-2066,-7402,8472
77,-508,-6376,9410
79,-102,-5018,8738
80,562,-2236,6478
82,304,-1616,6964
83,-1548,-1148,6008
84,-3200,-3162,6156
86,-3480,-5632,7606
87,-3322,-7910,8040
88,-1880,-7922,8008
90,-500,-7902,8096
91,1104,-4750,6314
93,1298,-3644,5818
94,1372,-2014,5304
95,-288,-1046,5420
97,-1978,-3762,8102
98,-3116,-5080,8344
100,-3070,-3796,9140
101,-2224,-5710,10068
102,-1446,-5146,8670
104,-1122,-3448,6996
105,-1162,-2642,6056
107,-2250,-3614,5542
108,-2580,-5660,5682
109,-2724,-6594,7606
111,-1716,-7424,8080
112,-806,-7018,8622
114,-34,-4562,8288
115,626,-1730,6294
116,690,-1098,6204
118,-1676,-1370,6344
119,-2112,-2978,7438
121,-3322,-5874,7588
122,-3302,-7060,8130
123,-2376,-8268,9406
125,-558,-7804,8904
126,552,-5540,5766
128,952,-2708,5882
129,112,-2684,5806
130,-214,-1968,5134
132,-2002,-2644,6582
133,-3050,-3772,8982
135,-2220,-4506,8860
136,-2252,-4770,9648
137,-1010,-2650,8124
139,-1426,-3446,6932
140,-978,-3378,5646
141,-1802,-3252,4928
143,-2742,-5580,6086
144,-2964,-6886,7512
145,-2176,-8796,7556
147,-802,-7612,9112
148,882,-5186,8464
150,1088,-3164,6762
151,560,-2114,6344
152,-756,-1320,6292
154,-1638,-1148,5942
155,-2950,-4548,7558
156,-3740,-6514,9008
158,-2928,-7438,8250
159,-1448,-7476,9158
161,-320,-7176,6156
162,238,-3864,6058
163,852,-2984,5656
165,70,-2182,4462
166,-2068,-2566,5636
168,-2740,-4444,8866
169,-2314,-4236,8158
170,-1752,-4842,8438
172,-1976,-4364,8944
173,-988,-3064,7290
175,-978,-3036,6588
176,-1932,-3254,5922
177,-2848,-4406,5448
179,-3150,-7272,7628
180,-2666,-8962,7488
181,-718,-7722,8366
183,232,-6396,9298
184,1052,-4490,6140
186,1206,-1506,6062
187,-184,-1070,6878
188,-820,-868,5562
190,-3010,-4034,7578
191,-3494,-4928,8332
193,-2420,-6196,7780
194,-1808,-7522,9154
195,-1196,-4964,6568
197,338,-4344,6120
198,644,-3976,5474
199,-190,-3146,4260
201,-1820,-2732,5670
202,-2130,-5434,8054
204,-2376,-4996,7700
205,-1804,-4106,10560
206,-1196,-4044,9118
208,-894,-2564,7432
209,-852,-2878,6672
210,-2594,-3378,6496
212,-2204,-4010,5510
213,-3178,-6784,7512
215,-3124,-9432,7744
216,-2042,-7900,7886
217,14,-7288,8726
219,822,-6244,6546
220,1294,-2642,6332
221,1070,-1332,6082
223,-1230,-1168,5618
224,-2874,-2434,6978
226,-3536,-5284,8232
227,-3022,-5548,8318
228,-2004,-7082,9208
230,-1538,-6044,7820
231,-414,-4912,6810
233,642,-2846,5104
234,-486,-3358,5176
235,-1552,-3068,5120
237,-2226,-5308,7864
238,-2002,-5856,8194
239,-2062,-4558,9530
241,-1200,-5546,9928
242,-772,-2912,6690
244,-722,-2062,6492
245,-1978,-2158,6808
246,-1980,-2694,5628
248,-3338,-5588,6792
249,-3408,-7916,7854
250,-2530,-8090,7226
252,-500,-8074,8486
253,524,-7942,6904
254,1434,-3448,6146
256,1756,-1978,6226
257,166,-400,5396
259,-2212,-1834,6372
260,-3234,-3358,8192
261,-3098,-5352,7944
263,-2640,-6456,8614
264,-2212,-6594,8718
265,-688,-4730,6776
267,-266,-4306,5606
268,-846,-3258,5400
270,-1264,-3680,5102
271,-1808,-5178,6950
272,-2576,-6186,8020
274,-1936,-6220,8862
275,-1408,-4840,9774
