timestamp,accX,accY,accZ
0,-2192,-11732,6398
2,680,-10798,9692
3,1470,-8520,6596
4,1664,2588,5812
6,-910,-2040,8724
7,-3454,-290,7732
9,-5506,-9940,10168
10,-4006,-12766,9056
11,-2340,-9484,8084
13,980,-7982,10190
14,1872,2950,3614
15,-674,674,8190
17,-4812,1684,8338
18,-7214,-10390,8534
20,-4424,-11224,6432
21,-510,-13652,5966
22,3124,-3996,1958
24,4026,-1528,3832
25,3098,-104,6932
26,-2506,4326,4998
28,-3438,-2130,11240
29,-3210,-6786,7844
31,-2150,-7918,5040
32,-112,-5814,9132
33,2830,-1988,5390
35,270,1784,7398
36,-5154,1076,9910
37,-6296,-3724,9918
39,-7174,-10978,9406
40,-2334,-15478,6290
42,1772,-11218,5592
43,3956,-6412,7140
44,1998,774,4876
46,-416,1190,7852
47,-4090,-2660,11642
48,-5070,-3528,6260
50,-2298,-11986,7218
51,-274,-9908,8518
53,1362,-4226,4926
54,1190,-120,7056
55,1896,1916,7352
57,-850,2106,5534
58,-5502,-6568,10498
59,-4852,-13604,4014
61,1708,-10066,3840
62,2242,-12042,10166
63,3364,4670,3320
65,366,2366,7316
66,-3426,2054,10990
68,-6192,-3368,8526
69,-6660,-6092,8468
70,-4392,-11932,6954
72,-236,-7792,5910
73,1306,-5328,7540
75,1212,-2026,5628
76,-656,1608,7828
77,-5190,-6128,9272
79,-4934,-7516,8360
80,-1918,-13752,6762
81,2084,-6732,4572
83,4502,-3574,7438
84,4006,2852,7206
85,-1618,6728,6162
87,-4424,1676,9790
88,-6600,-5868,10890
90,-3236,-11792,8516
91,-672,-7308,5332
92,1068,-9198,8850
94,1726,-6358,4370
95,-1196,3518,5552
96,-3502,-2296,8906
98,-4878,-4758,9522
99,-3962,-10574,7554
101,-1822,-8296,7038
102,3210,-8856,8700
104,1820,-2444,4454
105,310,3858,5710
106,-3224,-226,8582
108,-5680,-7008,10052
109,-4142,-12480,6044
110,-466,-12056,8522
112,3496,-10102,6682
113,2956,778,2362
115,3944,-2186,8240
116,-2274,1190,8670
117,-4866,1434,9656
119,-4066,-10022,9496
120,-2478,-7566,6270
121,-1372,-7994,8980
123,1000,-1774,8560
124,840,594,6138
126,-4680,2866,7620
127,-6914,-3278,11320
128,-6924,-9528,7014
130,-2240,-12862,5690
131,964,-15236,5286
132,4770,-3278,4874
134,4278,-2866,5712
135,356,5208,6086
137,-3358,-1726,10830
138,-5390,-4608,6076
139,-1438,-10684,4824
141,-1298,-11506,8304
142,690,-4842,5456
143,1276,-2454,5172
145,1608,1902,8638
146,-4280,-440,7438
148,-7240,-2166,8458
149,-4716,-13764,7182
150,-876,-8690,3198
152,2292,-9796,9918
153,2572,1716,5732
154,1338,7050,3758
156,-2506,956,10194
157,-7308,-3366,12924
159,-5516,-8844,4446
160,-2182,-9768,7596
161,368,-12506,5812
163,2088,-412,4262
164,2560,-1396,5400
166,56,808,6392
167,-4386,-2506,8178
168,-5184,-10056,6932
170,198,-10876,6042
171,2134,-10022,7192
173,2528,-124,3956
174,2042,-2,7490
175,-1914,4640,8940
177,-6822,-2720,8654
178,-7134,-5346,9454
179,-4568,-13972,7872
181,458,-8662,3182
182,1634,-5078,9588
184,1572,-3754,6394
185,-1110,4922,4178
186,-3208,-4770,10644
188,-5260,-5902,11102
189,-4184,-7820,6116
190,-274,-10848,7606
192,2284,-7428,7738
193,3482,2542,5550
195,-618,5488,5904
196,-2248,122,8624
197,-6150,-3718,9224
199,-5168,-11968,8244
200,-1302,-11700,5012
201,3604,-10544,8096
203,3484,-4198,3188
204,434,2910,6490
206,-1656,-572,10142
207,-4404,-2216,8262
208,-4400,-9464,8730
210,-3382,-9806,6602
211,-352,-7030,6952
212,152,-4458,8596
214,790,690,5722
215,-3044,2934,5600
217,-5816,-324,13594
218,-5596,-11918,8354
219,-3038,-9392,3740
221,1616,-12166,7042
222,4704,-1808,3350
223,5332,-44,7176
225,-1456,3676,7016
226,-2932,2028,8232
228,-5256,-5590,8364
229,-2484,-8456,6058
230,-880,-11704,8538
232,824,-5048,8254
233,1472,-3540,4220
234,774,1516,7422
236,-4458,-384,9928
237,-6662,-2222,9332
239,-2704,-15258,9744
240,-1154,-11382,4502
241,1020,-9356,8644
243,2430,-4106,8130
244,1242,5830,5852
245,-5004,644,9150
247,-6882,-1980,12476
248,-5052,-11296,5584
250,-1806,-9612,4416
251,410,-10716,8014
252,2744,-2368,4278
254,2166,2242,6454
255,-1904,-858,7786
257,-3260,230,7756
258,-4636,-11340,7818
259,-762,-8288,5644
261,1994,-10116,8806
262,2374,1528,3330
263,2502,3774,5360
265,-442,3422,9022
266,-7524,-850,10606
268,-7382,-7340,8752
269,-2116,-13170,9346
270,744,-12018,5970
272,934,-4048,5882
273,1802,-5586,9374
274,596,-418,4656
