timestamp,accX,accY,accZ
0,-1656,-9230,6862
2,854,-4284,4922
3,422,874,6378
4,442,-878,6420
6,-5966,88,4808
7,-5344,-7706,10686
9,-4240,-10634,3210
10,2516,-8290,2772
11,4108,-3138,7412
13,3610,6034,3518
14,-84,4818,8504
16,-5294,250,10000
17,-5170,-7350,8762
18,-5162,-8382,7536
20,-692,-10566,7568
21,1578,-9610,5718
22,996,-974,7566
24,-2,-2716,6946
25,-1840,580,7148
26,-6568,-8516,12266
28,-6778,-10722,9634
29,-2416,-12764,6988
31,1894,-8590,8696
32,2104,208,5396
33,1254,1414,7812
35,-2608,5290,7200
36,-7452,-6664,9878
38,-6352,-9946,11806
39,-1282,-11752,2896
40,3200,-7468,2730
42,2806,-5840,8820
43,2528,1788,4302
44,-1320,5444,4330
46,-1842,-4758,11690
47,-4630,-4432,8426
48,-2958,-8068,7160
50,-1444,-8332,7832
51,2724,-5664,8410
53,660,5282,6000
54,-1718,3196,7922
55,-5608,342,10058
57,-6442,-11600,11398
58,-4170,-14748,5334
59,-906,-14092,9920
61,2336,-10256,8762
62,2914,1812,2660
64,3540,-3610,9444
65,-3142,-222,11004
66,-4224,348,6960
68,-2944,-11264,9496
69,-1116,-8436,7656
70,222,-6328,6788
72,1884,-1048,7538
73,3714,50,5344
75,-3950,3700,5956
76,-6876,-5004,11972
77,-5664,-7134,5586
79,-1408,-12744,6730
80,1032,-15514,4376
81,4370,1064,3474
83,2034,-416,8054
84,-3382,4368,7704
85,-5182,-1420,8716
87,-6050,-5634,8678
88,-2594,-10158,6000
90,-974,-10674,6694
91,888,-6010,6278
92,1800,-1518,4172
94,644,2436,7678
95,-4054,-1572,6928
97,-5700,-4148,7302
98,-4004,-14186,7834
99,1608,-7770,1590
101,3838,-7428,9902
102,2852,3122,6632
103,-230,7452,4440
105,-1658,1386,10514
106,-7258,-3666,11330
107,-4800,-10890,5766
109,-1608,-9194,6604
110,366,-11174,8710
112,1074,880,4538
113,138,-260,7190
114,-1178,-2786,8366
116,-4262,-3338,8414
117,-5274,-12716,11126
118,-4752,-11644,4144
120,1672,-11572,8374
121,2518,-5288,8046
123,2656,1540,6158
124,-1102,1500,7938
125,-5014,4254,8850
127,-5912,-10686,8618
128,-3472,-11740,9098
129,1406,-9374,2326
131,3120,-3378,2790
132,3358,-3716,9440
133,-1372,3746,3718
135,-2494,4836,5526
136,-3914,-7156,12344
138,-4196,-5398,6332
139,-2014,-8860,9640
140,1834,-6344,7820
142,2656,-2722,6672
143,-1232,4642,6614
145,-4370,20,9878
146,-7056,-2414,9628
147,-5070,-15530,10708
149,-542,-15414,2936
150,3402,-11142,9316
151,2884,-6640,8180
153,1976,5548,3080
154,50,-2890,9768
155,-4424,-1688,11690
157,-4930,-7524,5790
158,-1642,-11154,8442
160,160,-8878,5748
161,744,-3202,6914
162,756,1524,7854
164,1902,2046,5226
165,-6194,204,7804
166,-7080,-10694,9506
168,-2720,-8214,2466
169,914,-14068,7334
171,1502,414,4300
172,2812,5176,3738
173,-496,606,9228
175,-5212,426,9106
176,-6402,-5470,10044
178,-5032,-9420,6402
179,128,-10692,4504
180,952,-5246,8290
182,2146,-2742,5436
183,2318,-118,5588
185,-2990,-1436,8436
186,-5722,-4576,9378
187,-5842,-13592,6822
189,1098,-11126,6336
190,2100,-6184,6532
191,2530,-1846,8764
193,626,5504,7086
194,-2146,1976,8356
196,-8638,-2028,12610
197,-6950,-8248,5796
198,-322,-10346,3074
200,-358,-8866,7334
201,754,-3228,6082
202,1174,3016,3288
204,-466,294,9672
205,-4980,-1526,9272
207,-5318,-6984,8998
208,-2466,-9880,5094
209,1306,-8974,7056
211,3332,-8702,6160
212,2524,5614,2866
213,226,1942,7388
215,-3856,-568,10248
216,-6434,-9424,9164
218,-3858,-12628,7330
219,-524,-12940,7726
220,2212,-5550,3076
222,3188,-2082,7786
223,-1492,-1886,9122
224,-3082,4078,7130
226,-5498,-8008,11476
227,-4492,-8714,9948
228,-3790,-9748,6858
230,378,-6976,9266
231,2504,-3436,6484
233,2132,4648,5824
234,-4908,1790,8086
235,-5756,-4776,8046
237,-4780,-10052,8690
238,-524,-17536,1936
240,1942,-5502,3742
241,4230,-8100,9732
242,2024,8152,2130
244,-212,4592,5216
245,-2920,-4240,11430
246,-3708,-5324,5172
248,-2288,-9286,5288
249,-1164,-8056,8474
250,796,-4542,4874
252,294,726,5908
253,302,-516,7604
255,-5884,1102,5752
256,-7408,-5122,12564
257,-3334,-10920,4036
259,128,-8380,10528
260,1724,-6834,8596
262,3358,6052,2372
263,1204,6222,8520
264,-5624,-582,11260
266,-5818,-4150,8104
267,-5368,-10108,7174
268,-42,-11252,6118
270,2112,-10022,6588
271,2346,-3130,7358
272,2418,-1522,4954
274,-30,1304,5404
