timestamp,accX,accY,accZ
0,-992,-15054,5940
2,2768,-9198,6952
3,3738,-5882,5610
4,2334,4302,5282
6,372,-2160,9434
7,-4364,-1138,10120
9,-4798,-9574,6320
10,-2368,-11542,8894
11,-134,-9184,8366
13,1118,-3024,5556
14,1418,1734,7784
15,-170,1226,6678
17,-5800,-1500,8898
18,-6134,-9602,7040
20,-2470,-8434,4186
21,168,-13838,9012
22,2190,-10506,3238
24,3558,2568,3818
25,-834,1658,8254
26,-3766,884,8854
28,-6242,-5532,9250
29,-5554,-8064,7682
30,-258,-12300,5914
32,1364,-8028,6482
33,1826,-3868,5494
35,1198,940,5564
36,-876,2452,8220
37,-5126,-5762,9528
39,-4404,-6018,6962
40,-2008,-14548,7778
41,2510,-5314,5184
43,3140,-2440,7930
44,-324,3932,8260
46,-2594,7594,6484
47,-5644,-3422,10940
48,-6224,-6142,10008
50,-3168,-13028,5050
51,430,-7594,5668
53,1146,-8538,8446
54,2042,2986,4336
55,-1266,2284,5756
57,-3238,-2000,10364
58,-4762,-7186,9150
59,-3732,-11064,6824
61,-1010,-9102,8316
62,3000,-7102,8164
64,1852,416,4934
65,-142,1398,7450
66,-4216,1480,9980
68,-6108,-8828,7582
69,-3474,-11960,6726
70,-518,-12006,6932
72,2236,-5766,3624
73,3390,-1306,4174
74,2408,382,8242
76,-3132,4082,6054
77,-5356,-80,12016
79,-4986,-7898,9262
80,-2942,-8230,5534
81,-1142,-6450,9958
83,2336,-4404,6592
84,1174,4234,4938
86,-4642,3444,7184
87,-5764,-6502,9350
88,-5076,-7762,6690
90,-78,-15794,6276
91,2252,-4828,3676
93,5676,-6208,6376
94,1940,-2054,3492
95,-598,3928,6798
97,-3714,-4088,11062
98,-5196,-1598,5462
99,-2382,-12334,6346
101,-822,-10828,8316
102,868,-5130,4480
104,406,166,6336
105,362,388,8302
106,-6610,-2576,8500
108,-6116,-6040,8662
109,-5074,-11514,4594
110,-8,-11342,6966
112,1322,-4474,5416
113,3402,2556,2896
115,1678,3156,8624
116,-5512,1104,9972
117,-5822,-5684,9300
119,-4912,-8430,6486
120,-334,-11604,6766
121,940,-9438,4772
123,2424,-2668,5162
124,2110,-1166,6150
126,-356,206,7472
127,-4584,-5396,9408
128,-4540,-8180,5108
130,-260,-10470,6782
131,1506,-11174,10368
132,2368,1814,3632
134,1630,556,7666
135,-3688,4742,9838
137,-7294,-4000,9732
138,-7500,-6308,8854
139,-4026,-14856,6908
141,-98,-9150,3734
142,2506,-5774,8468
144,2132,-1644,5734
145,-676,5072,3716
146,-2638,-5956,10300
148,-4818,-5174,10258
149,-2628,-8352,5118
150,932,-10000,7364
152,4398,-6402,7436
153,2196,3880,4600
154,-702,2956,7224
156,-3452,280,9392
157,-6146,-7106,9636
159,-4324,-12806,6558
160,-1176,-11490,8092
161,2210,-9454,6788
163,2146,-1090,4256
164,66,-986,9158
165,-3316,1008,9558
167,-5216,-5418,9496
168,-5382,-10084,10400
170,-3234,-9072,5900
171,494,-7284,6876
172,954,-3728,8462
174,2808,918,5230
175,-3240,4908,5264
177,-5522,-3758,12000
178,-4928,-8330,6658
179,-998,-11108,5776
181,1944,-5904,3524
182,5618,-772,3824
183,3478,-3662,6524
185,-1624,7994,4964
186,-3308,-1290,8724
187,-5894,-3694,8862
189,-3328,-9988,5622
190,-1066,-11828,9202
192,420,-4960,7022
193,96,-2562,5258
194,178,1548,9062
196,-5512,-2708,7838
197,-6832,-4448,10526
198,-2506,-12560,5474
200,-336,-9942,4520
201,2258,-6720,8288
203,3380,472,3580
204,2584,5230,7868
205,-4720,700,10180
207,-6234,-2746,9824
208,-4800,-11200,6780
210,-634,-11160,6386
211,1196,-10040,5616
212,2460,-2074,6014
214,2006,-1176,5582
215,-512,1560,6630
216,-4964,-3098,9618
218,-4844,-9276,6390
219,-3200,-8004,4944
221,1202,-11634,9228
222,1848,1946,4186
223,1688,3664,4308
225,-1498,1392,9444
226,-7530,-2994,11968
227,-7238,-9396,9202
229,-5096,-12556,7908
230,1216,-13694,6972
232,2112,-5902,5118
233,3106,-4134,7630
234,400,1634,4998
236,-2144,-2832,8232
237,-4938,-7382,11426
239,-2992,-8402,4176
240,466,-10036,5840
241,2386,-7000,7160
243,3298,2948,5224
244,-1792,4692,5536
245,-3134,-2204,10336
247,-6986,-3706,10528
248,-4904,-11758,5372
250,1632,-11102,5464
251,2104,-9514,8936
252,2220,2680,3384
254,200,3892,4756
255,-2110,-932,11496
257,-6454,-2526,8792
258,-4714,-8520,6948
259,-1056,-10514,8340
261,296,-8264,6596
262,830,-1194,6974
264,2660,-638,6274
265,-1176,1376,6012
266,-5968,-8412,11994
268,-4326,-14096,10040
269,-2428,-11856,5698
270,2656,-11694,8876
272,4196,-644,3584
273,1554,-32,7946
275,-2814,3610,8626
