timestamp,accX,accY,accZ
0,-2648,-10994,5976
2,-44,-9518,9382
3,1698,-2834,6912
4,1408,1474,6876
6,-3302,2056,9164
7,-7496,2328,9300
9,-7398,-10730,9064
10,-3758,-12312,8640
11,-58,-9630,3514
13,2844,-3404,2956
14,3468,-4792,7866
15,1792,3182,4098
17,-2296,2534,5480
18,-3632,-6948,10634
20,-2420,-6172,5092
21,-1010,-9260,9414
22,3020,-5010,6904
24,3418,-1830,5334
25,938,5768,6434
26,-4410,-1060,9988
28,-6472,-4334,8444
29,-4636,-13898,8906
31,-506,-15688,4150
32,2368,-8192,7116
34,1848,-4822,8386
35,118,5774,4994
36,-3016,-890,9306
38,-5444,-2604,8716
39,-3898,-9340,7058
40,-2832,-10526,7216
42,-824,-8730,6350
43,1088,-3122,6460
45,1646,778,6480
46,-3038,1210,4826
47,-4280,666,6476
49,-5508,-13946,9584
50,-1346,-8688,1828
51,3116,-11830,8394
53,4806,1250,2856
54,3416,3754,4392
56,118,3338,9916
57,-4896,82,8540
58,-6600,-4430,10022
60,-3646,-10244,8460
61,-616,-11058,5452
62,508,-5042,9134
64,744,-4174,6570
65,764,366,5798
67,-4464,-2670,9180
68,-7506,-6698,11728
69,-5584,-12640,6002
71,986,-12930,7108
72,2350,-7050,6232
74,3316,-2472,6680
75,1566,4540,6286
76,-1638,1218,8588
78,-7356,-4416,11874
79,-5336,-8246,4576
80,932,-10432,3140
82,1416,-8652,7354
83,1550,-2696,4718
85,1086,4174,3078
86,-824,1140,10402
87,-5810,-1834,10266
89,-5434,-6118,8542
90,-2972,-9262,6652
91,1180,-8460,8512
93,1320,-5878,5522
94,1102,5246,4304
96,-898,972,8216
97,-6150,-1692,10718
98,-6424,-11016,8206
100,-3532,-12906,7394
101,2060,-13016,7996
102,2734,-5272,2804
104,4076,-2474,7374
105,-368,-1656,8634
107,-2468,3006,6836
108,-3690,-8268,9726
109,-2646,-8246,8510
111,-2500,-9274,6964
112,542,-5140,9272
114,3160,-1656,5218
115,-2034,4624,6452
116,-5836,3146,12110
118,-7380,-7492,8592
119,-5842,-8534,6488
120,-1506,-13694,6206
122,4132,-4852,3050
123,4272,-2148,8116
125,-2058,6254,5916
126,-2304,3728,10318
128,-5768,-5628,11370
129,-3958,-6962,6530
130,-2754,-10062,7786
132,1418,-8326,8540
133,1892,-6166,4844
135,1044,1992,6856
136,-70,-814,5618
137,-5452,-4636,8838
139,-4616,-14362,11762
140,-2304,-7942,2748
141,3166,-11130,8886
143,3060,-4014,3382
144,454,4922,6428
146,-2384,2640,9124
147,-6834,-4984,9572
148,-5830,-7592,7130
150,-4868,-9474,8294
151,174,-8764,4950
152,972,-3756,5172
154,1368,-3604,7654
155,-912,1916,4628
157,-3458,1664,11332
158,-6196,-10320,10614
160,-2134,-7548,5854
161,2684,-10320,8512
162,3412,-1402,3580
164,4338,46,7824
165,-1438,7106,6932
166,-4802,3108,9254
168,-7006,-7446,11254
169,-2948,-11282,3564
171,878,-7924,2952
172,1928,-6644,8700
173,1602,-7324,4340
175,-1408,5298,3668
176,-2704,-1240,8678
178,-5582,-4224,9922
179,-4222,-7912,5962
180,-1916,-11956,8170
182,2460,-6492,7954
183,1322,-2302,6924
184,-478,3720,6240
186,-3598,-1146,8748
187,-6170,-988,10252
189,-3804,-14584,7336
190,-152,-13030,6444
191,2810,-10370,7934
193,3402,-992,3668
194,2578,4934,7208
195,-1472,-722,9564
197,-4888,1146,7576
198,-4406,-9676,9394
200,-2590,-8942,7126
201,-860,-7088,8768
202,726,-2042,8922
204,2570,2394,4878
205,78,3676,6476
206,-7452,-1666,11550
208,-7256,-11684,5482
209,-2024,-10850,4922
211,1060,-17158,5246
212,2898,-220,2252
213,2744,-1710,7022
215,-906,-198,6586
216,-4104,128,8258
217,-5356,-6044,9998
219,-1976,-10246,4494
220,-214,-9766,5558
222,154,-6526,7964
223,2354,-2102,4188
225,674,2926,7852
226,-3678,-1218,8466
227,-6656,-1626,10422
229,-2188,-14792,7560
230,-512,-8474,3556
231,2852,-8052,9428
233,1888,2202,6350
234,1010,6358,7792
236,-6288,2544,11112
237,-7148,-3104,11400
239,-6120,-10650,5014
240,-2042,-9562,8718
241,-492,-6590,4508
243,2032,-12,4182
244,2032,-1906,7928
246,-2738,2560,5580
247,-4638,-2086,11354
248,-3674,-10548,6908
250,-306,-7196,4000
251,2276,-5374,8110
253,3866,3636,2002
254,3286,1688,8072
255,-5082,6130,9322
257,-6048,-3204,9378
258,-7722,-10904,9220
260,-752,-13030,8670
261,1204,-4484,3226
262,2322,-4532,9382
264,608,-5108,4704
265,-3482,4592,4608
267,-4532,-4908,10506
268,-5722,-6062,6806
269,-2524,-9502,4860
271,-386,-11554,7814
272,2756,-3718,6292
273,1062,914,6066
275,-1462,600,8128
276,-4012,-3514,8398
