timestamp,accX,accY,accZ
0,-5790,-4612,8720
2,-2154,-9968,6982
3,-642,-9048,6540
4,852,-3132,7450
6,2486,716,5434
7,2082,956,5496
9,-5106,-2,7506
10,-5998,-10088,12300
11,-4480,-9460,3650
13,2228,-14288,7596
14,3574,-9466,2654
15,3804,-382,6500
17,-680,104,9332
18,-3436,2332,7146
20,-6692,-2930,10180
21,-6254,-6970,7712
22,-1452,-10578,5796
24,-572,-7942,7756
25,476,-3442,5672
26,-86,1374,5276
28,-1184,1072,8974
29,-6438,-3464,7200
31,-4134,-8758,8878
32,-2004,-11278,4112
33,3712,-6614,2934
35,4280,-7536,6992
36,1862,6462,4058
37,-1194,4024,6984
39,-3776,-510,10432
40,-4712,-9030,8278
42,-2878,-10340,7576
43,-1772,-11682,8752
44,1976,-7296,4940
46,1678,-526,7602
47,-1084,-1462,7872
48,-3642,1414,6562
50,-5566,-10554,11842
51,-4328,-11970,8522
52,-2870,-7128,8080
54,1242,-7918,10586
55,2022,2344,4886
57,2696,1116,8206
58,-5006,1670,8996
59,-6638,-2544,9076
61,-4312,-9444,6622
62,-898,-13878,8988
63,2206,-4126,1838
65,3806,-4512,7134
66,2924,-5238,4328
68,-2012,5374,4218
69,-3140,-4066,9118
70,-4974,-4948,7044
72,-1832,-8786,5232
73,306,-10148,8148
74,2328,-2708,6516
76,182,854,7218
77,-2912,1908,7582
79,-6120,-2220,9294
80,-8016,-5096,10382
81,-2208,-15278,5394
83,1858,-10490,2758
84,3222,-8796,9048
85,1816,1346,4284
87,546,6488,7200
88,-3512,-1620,10802
90,-5598,-1522,9058
91,-4848,-12084,7090
92,450,-9136,6160
94,766,-8660,6642
95,1180,-326,7796
96,1402,2436,6598
98,-328,1946,5552
99,-6380,-6238,11176
101,-4316,-14042,3820
102,1224,-10060,2844
103,3002,-12690,10170
105,3358,4142,2758
106,1486,2400,6914
108,-2928,1762,10468
109,-6110,-2058,8630
110,-7094,-6422,9582
112,-1500,-12438,7010
113,-238,-8566,5758
114,772,-4474,7614
116,1158,-1806,5636
117,-48,1838,7074
119,-5764,-5492,10214
120,-4454,-7508,7692
121,-2778,-14902,6530
123,2234,-6874,4630
124,4300,-3782,7134
125,1096,2782,7790
127,-1506,6692,6294
128,-3786,-1412,9686
130,-6164,-4616,11034
131,-2962,-11888,5292
132,-1406,-7554,5662
134,724,-10190,9812
135,2154,3150,4130
136,-658,3004,5720
138,-3380,-1960,9294
139,-5458,-4464,7758
141,-4290,-10578,7758
142,-2698,-13152,7250
143,2432,-9146,7952
145,1998,-3010,6782
146,342,2878,6266
147,-3492,-262,8844
149,-6202,-50,8950
150,-4564,-11798,6702
152,-1774,-11464,8864
153,1546,-10142,5246
154,3674,106,1024
156,4466,-70,9420
157,-2214,3210,7416
158,-4296,2256,8916
160,-4362,-9350,11032
161,-2602,-7164,6658
163,-912,-7732,9300
164,1252,-2348,7880
165,1344,248,5970
167,-4318,3862,8328
168,-6688,-2448,10746
170,-7222,-8338,8520
171,-2506,-14000,7224
172,624,-15106,3526
174,4910,-4980,5744
175,3186,-4864,4480
177,-1170,6656,4308
178,-2364,-1556,9664
179,-5266,-4078,7542
181,-1948,-9964,4812
182,-356,-11584,8424
183,1676,-5554,5892
185,1236,-1722,5960
186,900,2420,7082
188,-4590,1346,5696
189,-7186,-3032,12728
190,-2572,-13886,6594
192,-858,-8842,2232
193,2356,-9930,10460
195,2190,2152,4610
196,1866,5776,7934
197,-5430,1414,9950
199,-6738,-3166,11640
200,-6248,-9008,6214
201,-2040,-10684,7662
203,-52,-12320,5482
204,1960,-1680,5670
206,1672,-2460,5586
207,1022,646,6760
208,-4266,-3954,9074
210,-4966,-8372,6546
211,520,-11182,6028
212,1688,-10130,7574
214,3072,-534,4336
215,2092,-338,7576
217,-1752,5352,8528
218,-6102,-2236,9094
219,-7534,-4262,9710
221,-4734,-13684,7454
222,-404,-9142,4322
223,2080,-5946,9560
225,1406,-2962,6332
226,-78,4944,3268
228,-3020,-4238,10540
229,-5456,-4424,11042
230,-4308,-7738,5370
232,-522,-10894,8434
233,2090,-8374,5910
235,910,2950,5606
236,-380,4700,5874
237,-1906,-350,8414
239,-6314,-3024,9046
240,-4118,-12540,5008
241,1030,-11418,5342
243,3332,-12412,8074
244,2658,3748,2124
246,1988,2124,5708
247,-1280,-1630,8930
248,-6158,-2030,8620
250,-4724,-10226,8418
251,-2994,-7882,6762
252,-616,-8364,6950
254,194,-4348,7266
255,676,90,5982
257,-2748,2932,5980
258,-6230,-8556,13022
259,-5582,-11464,8594
261,-3412,-9726,7438
262,3216,-12696,6064
263,4062,-1496,3074
265,5772,-1680,8318
266,-1708,4690,6338
268,-2468,3696,10126
269,-4688,-5458,9476
270,-2522,-7872,6802
272,-1100,-11214,7860
273,1506,-4664,8180
274,1320,-4058,5086
