timestamp,accX,accY,accZ
0,5504,-4292,4404
2,4354,3006,5914
3,-624,7520,4472
5,-2894,-908,11718
6,-4602,-3570,7720
7,-2578,-9460,4692
9,-968,-7850,9104
10,1452,-6804,6008
11,1232,-2498,6188
13,-1688,-738,9004
14,-4182,-1656,7380
16,-6124,-9794,10324
17,-3352,-15564,10122
18,-970,-6286,5290
20,2598,-9274,9208
21,2424,-1108,4218
23,-1886,3890,6316
24,-5100,240,9770
25,-5952,-8070,9302
27,-3396,-10510,5268
28,-1612,-10932,7998
29,2546,-7748,5278
31,3352,-2812,4700
32,2098,28,5650
34,-2022,1560,6020
35,-3984,-1774,9990
36,-4296,-8796,7166
38,-2360,-7798,4506
39,1746,-7932,9206
40,2562,3066,2988
42,2116,3472,9864
43,-5618,4576,8426
45,-7190,-1264,9816
46,-7562,-9320,9060
47,-1626,-12712,8088
49,704,-12664,3536
50,3150,-4858,6982
52,1770,-5430,5316
53,850,4558,4484
54,-3616,-3380,8768
56,-4802,-7826,8926
57,-1936,-8882,3864
58,142,-10414,6010
60,1580,-4458,6644
61,1982,998,5616
63,-650,1626,7484
64,-4334,-3560,10066
65,-6282,-3794,8798
67,-5636,-14910,5238
68,1514,-12000,5142
70,3334,-5784,6736
71,1816,1356,4528
72,908,4750,8138
74,-4982,-1204,11120
75,-6300,-1958,9994
76,-5908,-6244,7206
78,-1576,-9654,8544
79,-574,-8240,7580
80,270,-1396,6828
82,2310,-862,6276
83,-1764,1548,6688
85,-6580,-7966,11576
86,-5720,-11414,4362
87,1762,-13658,6090
89,2438,-11506,7262
90,4770,-516,5234
92,1892,-744,7656
93,-2008,5472,7392
94,-5226,-3558,9778
96,-5456,-4776,10178
97,-3000,-10682,6172
98,-164,-8684,7382
100,660,-5916,5274
101,18,316,4764
103,-1062,1644,6864
104,-4810,-4494,9526
105,-6596,-4640,7572
107,-3698,-13358,8410
108,808,-7042,5288
109,2940,-4842,5298
111,2898,2884,6196
112,-1414,6776,5796
114,-4564,1502,10782
115,-5310,-6318,10632
116,-2870,-11654,6042
118,-1332,-10394,7560
119,2908,-9600,7582
121,3164,1520,3720
122,888,1652,5662
123,-1556,-130,7712
125,-3690,-5136,10040
126,-3564,-10782,8124
127,-3406,-7722,7664
129,2004,-10516,10838
130,1060,-1108,2964
132,396,3110,6770
133,-4724,-134,10236
134,-7310,1178,9708
136,-6128,-11852,7406
137,-2068,-12366,8058
138,940,-8840,3908
140,2576,-2080,3274
141,3860,-3788,7962
143,-1814,3644,5118
144,-3068,582,11118
145,-4816,-8078,9170
147,-1974,-7134,4938
148,-626,-9954,8640
149,1980,-2894,7014
151,3298,-1600,6096
152,116,6014,6754
154,-4982,-2832,9396
155,-6794,-7138,7272
156,-2972,-12488,6954
158,86,-15748,5038
159,3622,-4392,6280
161,1828,-2848,6516
162,512,5400,6434
163,-3586,-318,9106
165,-6344,-4108,9006
166,-3700,-9464,6060
167,-2032,-10624,7798
169,522,-6144,6970
170,1294,-2926,5108
172,2138,248,6716
173,-4094,990,5904
174,-6008,-3736,8530
176,-4822,-11312,6358
177,602,-9990,4212
178,2856,-11492,5756
180,4790,326,4044
181,2712,1502,6940
183,-1492,3950,8814
184,-5244,-1958,9700
185,-6030,-6228,8678
187,-2088,-10404,7470
188,-620,-9544,6690
190,1250,-4146,6472
191,652,-2198,5900
192,-1010,1518,7666
194,-5564,-5098,9750
195,-6132,-7360,9612
196,-4348,-13426,7034
198,1452,-12434,8530
199,2734,-1358,3918
201,3366,-74,6554
202,-1670,4302,8710
203,-5554,-2966,9022
205,-5894,-5850,9216
206,-3210,-13296,6472
207,974,-10380,4016
209,1938,-6838,7874
210,2864,-1726,4284
212,-8,4820,4102
213,-1062,-2762,10432
214,-5600,-4130,10204
216,-4534,-7546,6290
217,-1394,-9384,6774
219,132,-7370,9476
220,1836,3390,5432
221,-982,5708,5004
223,-1888,762,11032
224,-7810,-4528,10632
225,-5532,-11778,7538
227,-2818,-13380,5778
228,2774,-12170,8218
230,3082,-4732,2926
231,2702,462,6206
232,256,-548,7806
234,-3680,-2728,9510
235,-3232,-7822,7762
236,-2096,-7792,6214
238,-396,-8372,8896
239,792,-3310,7906
241,2244,-146,6296
242,-2468,2696,6622
243,-6812,3538,12224
245,-6196,-11736,9576
246,-4216,-8630,4348
247,-110,-13110,7494
249,3418,-2610,3868
250,4176,-542,7676
252,-2872,3540,7824
253,-3400,3262,7924
254,-5266,-6384,9672
256,-4670,-8608,8340
257,-1468,-11884,7516
258,1816,-7208,7210
260,2288,-4884,4994
261,1658,1544,6298
263,-3586,428,7226
264,-5298,-2696,10300
265,-2778,-12028,8020
267,-750,-10086,4058
268,2668,-6982,7534
270,3710,-1708,6314
271,2186,5440,6672
272,-4236,4922,8730
274,-6868,-522,9756
275,-4626,-9018,7664
