timestamp,accX,accY,accZ
0,3068,-13480,6526
2,3730,2332,2534
3,2720,830,6140
4,-1916,4168,8736
6,-5410,-362,8714
7,-7158,-5680,10340
9,-2934,-11178,7646
10,-738,-9868,5514
11,232,-4772,8900
13,784,-2814,5072
14,-444,2122,7576
15,-4822,-4942,9580
17,-6156,-5336,8406
18,-2910,-14910,7528
19,1590,-10116,4640
21,4262,-4842,7070
22,4424,-50,6622
24,402,7092,5348
25,-2530,-998,10190
26,-6532,-1460,10116
28,-3852,-9890,6124
29,-472,-8434,6418
31,662,-9376,8354
32,1746,222,3702
33,-142,2868,6284
35,-2170,-1376,8844
36,-4528,-2384,8378
37,-4638,-10104,8970
39,-3322,-8702,6102
40,2290,-9344,7566
41,1180,-6080,5522
43,1134,5272,4988
44,-2130,774,8026
46,-5476,872,11272
47,-5522,-12362,8356
48,-3058,-9670,7300
50,3068,-13222,7640
51,3280,-3202,2112
53,4342,-2854,8330
54,-1046,974,7488
55,-2752,3510,5538
57,-5124,-9472,10788
58,-2914,-7222,6918
59,-1346,-8224,7756
61,310,-3962,9274
62,2282,-1300,5826
64,-210,3650,7396
65,-5382,-70,10018
66,-7220,-5084,8528
68,-3868,-11628,7284
69,-786,-15234,4770
70,2172,-6390,6012
72,3762,-5880,6858
73,1192,6762,4622
75,-2518,-138,8018
76,-4710,-3594,9208
77,-5218,-8474,6014
79,-1646,-11792,6524
80,770,-9352,7064
81,1852,-3948,5520
83,1242,1356,6592
84,300,908,5882
85,-5932,700,6776
87,-5490,-8310,10542
88,-1940,-10488,2224
90,2412,-8846,4164
91,2522,-1606,6406
92,2548,5334,2974
94,68,2928,9244
95,-7024,242,11716
96,-6306,-6386,9208
98,-6306,-9934,8916
99,-368,-12422,7600
101,442,-7912,5678
102,1128,-3356,7290
103,946,-2426,6256
105,-1498,-952,7214
106,-5348,-9520,11386
107,-4174,-9858,4858
109,1888,-13110,6402
110,2806,-6948,6754
112,4024,-1032,6198
113,264,2164,7938
114,-2802,5516,8284
116,-6928,-4024,9238
117,-5830,-7050,10854
118,-2236,-11772,3812
120,686,-5738,5308
121,1474,-8366,7656
122,294,3424,2958
124,-1618,3772,5320
125,-4280,-2802,11358
127,-5228,-5310,7848
128,-3302,-10216,7496
129,-1286,-8148,7288
131,2992,-6620,6722
132,1498,5394,5700
134,-710,2340,6706
135,-3888,-40,9494
136,-6456,-11194,10656
138,-2656,-14122,5228
139,572,-12550,9226
140,3348,-10314,8202
142,3338,3020,3334
143,2670,-2218,8316
144,-3510,976,10202
146,-5712,630,8752
147,-4026,-11478,9450
149,-1378,-7800,6034
150,-1088,-7172,8876
151,422,-352,8636
153,846,994,5508
154,-4728,2230,7254
155,-7534,-5034,12042
157,-6794,-9492,6742
158,-200,-13694,5274
160,1508,-13970,3630
161,4806,-1578,4806
162,3078,-2596,8134
164,-574,5002,5548
165,-3782,-3186,9522
166,-5424,-5340,7326
168,-1142,-10612,4612
169,154,-11054,6612
171,1010,-4844,6350
172,1024,-658,5212
173,594,2978,8354
175,-5406,-1614,8484
176,-7078,-4120,9790
178,-1324,-13120,6078
179,404,-7990,3416
180,2984,-7512,9844
182,1456,3126,5394
183,182,6528,7508
185,-5656,840,10766
186,-7284,-4856,12436
187,-5074,-10038,4402
189,-1010,-9896,7232
190,930,-12280,5826
191,1952,674,4750
193,1648,-368,5622
194,68,602,6608
196,-4908,-4206,9230
197,-4404,-11276,5642
198,1346,-8820,4568
200,2270,-9812,8628
201,2166,2946,4126
202,1828,1512,6380
204,-2852,3546,10188
205,-7146,-4098,9686
207,-6944,-6946,7994
208,-3652,-13986,7540
209,464,-8834,3818
211,2348,-3316,9988
212,1282,-3494,6396
213,-1492,5356,4110
215,-3594,-6640,12724
216,-5164,-7196,10970
218,-3572,-6922,4520
219,376,-10148,9132
220,2612,-6482,5932
222,1362,3018,5542
223,-2102,5196,6298
225,-3438,-2832,8262
226,-6770,-4062,9598
227,-2320,-14608,4378
229,3008,-7976,2964
230,3984,-9178,7798
232,2556,5930,2668
233,-26,6424,4592
234,-1388,314,11126
236,-6284,-2938,9062
237,-4542,-10866,8124
239,-852,-7858,7900
240,152,-8082,6210
241,-308,1836,8296
243,-474,1088,6168
244,-3464,1736,7796
245,-6824,-10114,13364
247,-4450,-12990,7320
248,-1990,-14452,6948
250,3658,-10664,6948
251,4386,-830,4086
252,4742,478,8328
254,-2454,2730,7992
255,-3726,-4722,8996
256,-4856,-6252,8656
258,-2458,-9330,5776
259,882,-7214,6982
261,948,-4334,7470
262,1576,1338,6194
263,-2034,2070,6588
265,-5546,-1818,9454
266,-5186,-7324,8720
267,-2058,-14386,8336
269,-34,-5370,3914
270,3114,-5306,6794
271,2322,-3764,6110
273,-294,5900,5670
274,-4834,-206,8662
