timestamp,accX,accY,accZ
0,-2494,2320,7242
2,-4244,-714,9054
3,-4540,-7630,7618
4,-2492,-10402,6518
6,-126,-8254,7040
7,2590,-4580,4568
9,1986,-1628,6954
10,-1146,1382,6012
11,-3460,-264,9196
13,-3524,-7960,9364
14,-1970,-8940,5510
16,118,-8308,8002
17,1210,-4368,7156
18,878,656,7330
20,-4426,400,8672
21,-6074,-660,10188
22,-6742,-9002,8058
24,-2918,-10998,6568
25,-182,-12240,7570
27,3242,-7032,5796
28,3238,-1570,3618
29,1254,2346,7002
31,-4520,1496,9488
32,-5274,-3506,10134
33,-3456,-8694,6866
35,-742,-10940,6754
36,1002,-7530,5540
38,3488,-2904,4150
39,2232,722,6246
40,-2994,894,7596
42,-4312,-1852,8886
43,-4368,-8696,7378
44,-1238,-8880,5492
46,-180,-8600,8602
47,602,-1914,6384
49,-836,238,6870
50,-1908,602,9266
51,-6364,-2994,10056
53,-5308,-7316,7600
54,-3540,-12136,5988
55,1128,-8430,5982
57,2716,-4450,5610
58,1540,876,4860
60,-126,3802,9226
61,-3372,-1782,9836
62,-5432,-5802,7998
64,-3488,-9536,7744
65,502,-11216,6452
66,2612,-8028,5388
68,2938,-1294,5912
69,1112,2286,5378
70,-2138,3160,10166
72,-5392,-4576,9780
73,-4842,-6726,7668
75,-2572,-9820,9010
76,-194,-7894,8072
77,1094,-3198,7478
79,-1034,-740,7792
80,-2910,1154,8028
81,-4414,-5164,8836
83,-4172,-10390,9320
84,-1572,-11338,5550
86,2540,-8204,6314
87,3016,-3988,5948
88,1578,1984,6464
90,-2622,2016,8350
91,-4516,-1188,8442
92,-5032,-8666,7390
94,-1886,-11992,7254
95,386,-8730,5838
97,3632,-4952,5000
98,2870,-790,5958
99,-1430,2284,6982
101,-4268,966,8958
102,-5870,-5714,8774
103,-3932,-9342,7084
105,-2210,-11160,9326
106,914,-5318,6704
108,694,-1712,5778
109,562,-54,7830
110,-3650,-926,8550
112,-5184,-7868,8544
113,-2164,-11080,7134
115,-340,-9422,6448
116,1190,-5886,6828
117,2060,-2188,6168
119,564,1010,7420
120,-4444,-1484,10090
121,-4932,-4250,9246
123,-4336,-10170,6208
124,-412,-11814,7210
126,2194,-10466,4688
127,3572,-1706,4774
128,1562,1232,5658
130,-974,1330,9496
131,-5886,-808,10932
132,-6456,-4478,7032
134,-3218,-11814,8036
135,-1522,-10222,6898
137,1320,-4206,5586
138,1624,-1364,5038
139,-182,932,8114
141,-4838,-1692,8962
142,-4730,-5916,8766
143,-3480,-9770,5962
145,-46,-9204,8068
146,1254,-7386,5290
148,1610,-564,5710
149,-688,690,7564
150,-3038,-2338,8372
152,-4704,-6572,8632
153,-2398,-9708,5566
154,1302,-10316,6814
156,3280,-7816,6466
157,2932,1282,4072
159,78,3800,7722
160,-4018,1068,9332
161,-6396,-3314,8648
163,-5666,-9926,8592
164,-3874,-11576,7710
165,472,-8754,7550
167,1898,-6156,4826
168,522,2232,5426
170,-1698,1104,7870
171,-4616,-3704,7896
172,-3800,-7594,7448
174,-3240,-11144,7388
175,1416,-7848,6670
176,1562,-5732,6314
178,2078,1338,6268
179,-1756,1612,6894
181,-2662,-1736,8430
182,-3182,-7642,6702
183,-1542,-9540,6208
185,82,-8472,6352
186,3156,-3540,5810
187,1466,226,7434
189,-2822,2388,8090
190,-5610,306,9910
191,-7232,-7912,8524
193,-3950,-11988,7790
194,-2204,-11904,7378
196,1856,-6496,6690
197,2914,-2880,5056
198,1698,3010,6464
200,-3408,1078,8194
201,-5100,-2602,8766
203,-3218,-8170,5882
204,-1888,-10212,7002
205,2098,-7236,6614
207,2472,-3022,4982
208,1894,832,6540
210,-2570,-404,6728
211,-3452,-2176,8828
212,-2554,-9138,7222
214,-930,-9276,5156
215,1152,-6630,8074
216,1592,-2174,6498
218,588,2172,8056
219,-4668,552,9448
221,-6598,-1848,10140
222,-6702,-10870,7812
223,-2222,-11992,6042
225,1026,-10822,8006
226,2592,-4888,5910
227,2332,538,4164
229,372,3272,8258
230,-5430,-572,10260
232,-6036,-5726,9232
233,-4450,-10786,6678
234,540,-11572,6066
236,1170,-8526,6072
237,2650,-1844,5502
238,1922,1762,6246
240,-938,164,8206
241,-4598,-4140,9362
243,-3552,-9474,6152
244,328,-9766,5578
245,688,-6634,7884
247,692,-786,7886
248,-818,1446,7212
249,-3188,430,9706
251,-6440,-4578,10190
252,-4844,-9648,5932
254,576,-10582,5400
255,1750,-8600,7314
256,2444,-732,4786
258,-186,2242,6226
259,-1578,2982,9622
260,-6400,-3946,9770
262,-5082,-8004,7716
263,-3420,-13088,7074
265,1698,-10472,6556
266,2978,-7086,5086
267,3240,1136,5492
269,-194,1870,6344
270,-2534,1488,9874
271,-5122,-6426,9292
273,-3442,-8746,6418
274,-1204,-8844,7986
