timestamp,accX,accY,accZ
0,1604,-4224,5990
2,938,-642,6632
3,480,1048,7232
4,-3466,-2162,7902
6,-3566,-5300,8524
7,-3018,-11154,5718
9,1136,-10112,6562
10,3022,-6990,5792
11,574,848,5928
13,-968,3016,7256
14,-3938,-380,10500
15,-6736,-3636,8052
17,-5810,-9378,8720
18,-3042,-11954,7474
19,1468,-9518,6120
21,2478,-5610,5498
22,972,1348,5860
24,-2486,3106,7698
25,-4578,-3604,9662
26,-5198,-7506,8414
28,-3184,-10592,7456
29,962,-9870,6972
31,2724,-6896,5838
32,2730,506,5220
33,-756,1270,6534
35,-2636,-3010,8934
36,-3580,-7046,8404
37,-1682,-8858,6082
39,-636,-9072,7726
40,2448,-4866,6798
41,964,-540,6654
43,-3650,1804,9342
44,-5348,-550,10174
46,-6398,-7054,8478
47,-3626,-11118,7180
48,-1496,-11580,6846
50,2326,-7214,6270
51,2850,-3420,5348
53,1812,3042,7360
54,-3980,1438,9264
55,-5708,-1856,9484
57,-3734,-9650,7068
58,-1940,-10610,6332
59,658,-8842,6370
61,2850,-4578,4804
62,3084,-584,6054
64,-1912,822,6904
65,-3302,-840,8424
66,-4524,-8672,7590
68,-1496,-9292,6370
69,-48,-9028,8216
70,340,-3632,7182
72,310,-814,6618
73,-1840,1376,8236
75,-6034,-1692,10376
76,-6184,-10210,7150
77,-1806,-11028,6658
79,566,-10280,6524
80,2632,-4214,5544
81,2018,20,5524
83,-328,2816,8128
84,-5252,-534,9740
86,-6420,-4672,10058
87,-4240,-11022,6498
88,164,-12772,7090
90,2158,-9756,5014
91,3656,-1880,4560
92,1956,1080,5642
94,-892,1562,8802
95,-5120,-3648,10564
97,-4794,-6778,6398
98,-1242,-10068,7688
99,128,-8604,8760
101,750,-1246,6066
102,-558,-504,7844
103,-2358,714,7506
105,-5928,-3498,8948
106,-4810,-9316,9622
108,-2578,-10142,5536
109,1660,-8726,6830
110,2146,-5650,5110
112,18,1882,5918
113,-2158,1648,8320
114,-4578,-3376,9044
116,-4518,-8272,7392
117,-3114,-11352,7132
118,1998,-9868,5826
120,3680,-6330,5490
121,3940,850,5254
123,-250,2696,6230
124,-3070,1720,10434
125,-5170,-4710,8124
127,-4386,-7982,7238
128,-2514,-9084,8460
129,892,-5974,7366
131,1258,-3988,6022
132,-1042,984,6836
134,-3318,396,8598
135,-5228,-6358,8046
136,-3538,-8760,7568
138,-1736,-9870,6456
139,1368,-6830,7082
141,1804,-3448,6102
142,616,1342,6940
143,-3092,-248,8402
145,-5816,-2812,8622
146,-3208,-9094,6378
148,-670,-12096,6250
149,3226,-6986,5936
150,3850,-3700,4804
152,2296,2812,6080
153,-2418,2710,8248
154,-5144,1050,8806
156,-5050,-8054,7448
157,-2964,-11248,7594
159,-1368,-8768,7850
160,2036,-5604,4896
161,1406,-1704,6964
163,-2108,1092,7750
164,-4878,-394,8876
166,-5472,-8536,8868
167,-2692,-10104,6810
168,-536,-8366,8234
170,1006,-5852,6498
171,1424,-862,6374
172,-2104,120,7536
174,-4064,-1418,8730
175,-4540,-4900,7706
177,-1016,-11834,5904
178,1158,-10764,6340
179,3822,-4934,5816
181,2180,-40,4942
182,886,1998,8746
184,-5140,1044,10184
185,-5990,-1760,7940
186,-4350,-12338,8680
188,-1536,-12040,8330
189,1780,-6572,5690
191,2146,-3062,5768
192,1000,1828,7186
193,-4650,448,9310
195,-5162,-2700,8166
196,-4036,-10024,7876
197,-2222,-10170,7264
199,-36,-7098,5982
200,1910,-2148,5970
202,966,146,6240
203,-378,-982,7530
204,-3256,-3880,8224
206,-3334,-6812,6288
207,-134,-10452,5464
208,2026,-8718,6630
210,3394,-868,5380
211,472,2510,5642
213,-2140,854,10440
214,-6212,-1790,10080
215,-6214,-6042,7298
217,-4502,-12126,8564
218,-278,-10656,8154
219,2316,-3890,4870
221,1834,270,5720
222,-708,2214,8196
224,-5166,-1052,9502
225,-5818,-6004,9574
226,-4888,-10162,6636
228,-1216,-11318,8484
229,1552,-9258,4980
231,2124,-1342,5228
232,1402,178,5776
233,-1610,-1572,7508
235,-3436,-4942,9014
236,-2976,-8730,4908
237,572,-8388,5746
239,1710,-7892,8332
240,1912,1030,5328
241,-1010,2602,6552
243,-3910,1654,10782
244,-6080,-4174,8622
246,-5246,-8700,7754
247,-1684,-10576,7376
248,1842,-8100,6808
250,2252,-5240,5412
251,902,3254,5472
252,-2900,3570,7906
254,-5484,-3966,9958
255,-5098,-8074,8162
257,-2902,-11036,7180
258,994,-10532,6782
259,2428,-6752,5880
261,3116,218,5166
262,-262,2360,5610
264,-2706,746,10310
265,-4174,-8026,8836
266,-1896,-8870,5284
268,-822,-8724,8160
269,1298,-4744,6970
271,834,280,7262
272,-2578,2086,7836
273,-4240,1262,9470
275,-5508,-8562,8926
