timestamp,accX,accY,accZ
0,2154,-3252,5960
2,780,-122,6692
3,-2552,-238,7422
4,-3868,-2118,8414
6,-4586,-9208,7924
7,-1656,-11860,6416
9,832,-8218,6710
10,1562,-2082,6406
11,-156,808,6446
13,-1906,1530,9932
14,-6144,-1668,10178
15,-6622,-4868,7734
17,-2404,-12828,8256
18,36,-11742,7384
19,2528,-4662,5106
21,3044,-832,5172
22,1006,1934,6336
24,-3452,-250,8632
25,-5434,-4464,10220
26,-4094,-9496,5632
28,-1004,-11842,7708
29,1232,-9866,5334
31,2260,-538,4886
32,1040,672,6168
33,-1756,-88,8262
35,-4340,-3408,8842
36,-4290,-7730,5596
37,-596,-8368,6346
39,284,-8872,8672
40,1342,492,5582
41,-272,2090,6426
43,-3886,1018,9922
44,-6814,-3686,9122
46,-5042,-9564,8738
47,-2608,-11094,6290
48,1796,-10544,6212
50,3058,-7322,5024
51,1730,2246,5112
53,-1266,3590,9176
54,-3782,-2086,10076
55,-4526,-6598,7932
57,-3182,-11070,6374
58,712,-10698,6758
60,2474,-7556,5634
61,2988,724,5038
62,-190,2806,5492
64,-2488,2320,10440
65,-4958,-5764,9746
66,-3514,-8356,6178
68,-1864,-9684,7886
69,812,-5984,7740
71,-60,-174,6702
72,-2038,1862,7452
73,-3928,746,9494
75,-5736,-8144,9376
76,-3470,-10932,7272
77,-848,-11118,5722
79,3114,-8076,5974
80,2652,-3120,5814
82,-182,3544,6324
83,-2536,2240,8468
84,-5222,-4246,9158
86,-4042,-9684,7192
87,-1746,-12746,6540
88,772,-7830,5342
90,2746,-4404,6062
91,3090,2016,6392
93,-1452,3306,5616
94,-4070,836,11580
95,-6190,-7864,7536
97,-3058,-9004,6084
98,-1028,-10690,8958
99,680,-4402,6088
101,288,-1368,8280
102,-604,742,8110
104,-4512,-396,7848
105,-5626,-10008,9536
106,-2148,-11712,6648
108,1016,-9940,6342
109,2276,-5100,6868
110,2726,-354,5090
112,-120,1964,8078
113,-4180,-400,9766
115,-5850,-2954,7364
116,-2380,-11872,6690
117,-138,-12564,6900
119,2558,-9552,5744
120,3332,-2018,4664
121,1390,1748,7398
123,-1458,1424,9662
124,-6262,-1410,11026
126,-5778,-8616,6914
127,-2484,-11812,8538
128,-996,-9908,8838
130,724,-4180,5256
131,840,-434,5906
132,-1034,1218,8226
134,-5542,-2998,9088
135,-4058,-6902,7592
137,-640,-10078,5914
138,1086,-9306,6050
139,2242,-6306,5910
141,1124,640,6434
142,-1372,1788,6296
143,-3228,-2432,9972
145,-4506,-6928,7912
146,-2488,-10178,6114
148,1854,-10596,7208
149,3028,-6634,4600
150,1132,114,6066
152,-660,3256,6528
153,-3804,92,11280
155,-6646,-5162,9362
156,-5340,-8682,8340
157,-1086,-11338,9332
159,464,-8568,7190
160,1648,-1176,4958
161,324,1068,7456
163,-2008,548,8354
164,-4932,-4868,8460
166,-3886,-8906,8788
167,-1656,-9810,5924
168,1550,-7734,7288
170,1978,-4164,6070
171,-34,440,6968
172,-2112,614,7494
174,-3876,-4784,7854
175,-3210,-8140,7074
177,-1516,-11370,6468
178,2590,-7026,6716
179,3394,-4192,4774
181,1216,2882,7466
182,-3548,1722,10140
183,-5840,1316,7412
185,-6198,-8330,9390
186,-4562,-12178,9132
188,-1466,-9340,6470
189,2402,-7278,6066
190,2256,-3108,4866
192,-630,1272,7130
193,-4330,-806,9286
194,-4294,-6566,7814
196,-3606,-10488,8162
197,-982,-10518,6656
199,2176,-6030,5812
200,2160,-2840,6004
201,316,108,6446
203,-2796,-276,8264
204,-3928,-3720,7316
205,-2248,-9328,6922
207,-478,-10372,6854
208,1926,-4718,5520
210,1464,-330,5510
211,-482,1098,8588
212,-5100,1104,9804
214,-6088,-2120,9170
215,-6494,-10648,8178
216,-1958,-11854,7942
218,256,-10882,5132
219,3206,-3128,4736
221,1832,660,5430
222,-266,1296,7774
223,-4458,-1666,9030
225,-5178,-5508,6924
226,-1830,-9824,6232
227,-110,-11246,8108
229,1618,-4300,4880
230,1842,-664,5024
232,1092,438,7140
233,-3450,-922,8112
234,-4122,-4914,8636
236,-3156,-9714,5534
237,86,-7438,6476
238,1192,-7450,6448
240,-64,792,5954
241,-1326,1638,7340
243,-4796,-2132,9996
244,-6106,-5454,8720
245,-4924,-10286,6576
247,502,-9894,6496
248,1678,-9292,7090
249,2830,-430,4656
251,662,2542,5376
252,-2706,2574,10052
254,-5790,-3760,8976
255,-4302,-8326,7282
256,-2310,-11600,7450
258,1730,-8880,6736
259,2936,-2706,5230
261,2458,1170,4268
262,-922,2218,8328
263,-4224,-3520,10128
265,-4234,-7210,7762
266,-2208,-9644,7476
268,110,-7870,8052
269,912,-3722,7708
270,-772,306,7558
272,-2956,1636,8596
273,-6200,-4774,9746
275,-5396,-8964,9208
