timestamp,accX,accY,accZ
0,1456,-9366,6582
2,1416,-6340,6396
3,2438,1590,6030
4,-1192,3416,6936
6,-4434,2030,10348
7,-6340,-6128,9442
9,-4528,-10402,7244
10,-2020,-11812,7766
11,2268,-8220,7156
13,3484,-4480,4546
14,2940,1746,5502
15,-1768,816,7756
17,-3826,136,8410
18,-3480,-7880,7322
20,-1812,-10366,7046
21,766,-6918,7554
22,1398,-4276,6826
24,638,-852,6368
25,-2494,2380,6844
26,-4984,-1114,10436
28,-5842,-7250,6660
29,-1858,-10392,6318
31,444,-11694,7166
32,2204,-2928,4932
33,580,434,6678
35,-1086,2118,8094
36,-5708,-112,10334
37,-6862,-4928,8148
39,-2354,-12172,5538
40,138,-13148,6746
42,1992,-5784,4978
43,3176,-1538,3772
44,2338,984,6958
46,-3144,1614,9790
47,-5010,-3160,9944
48,-4400,-8566,5718
50,-878,-10540,8028
51,258,-9390,5980
52,1744,-1046,5176
54,1058,1494,5960
55,-1410,-194,8646
57,-5428,-2504,8954
58,-4518,-6970,7114
59,-1316,-9606,5472
61,98,-8802,7620
62,1382,-952,6330
64,-280,1984,5258
65,-2830,1458,10484
66,-5628,-3400,9980
68,-5098,-7608,8044
69,-200,-12640,5778
71,1840,-10534,6794
72,3982,-2600,4714
73,1974,1098,3992
75,328,4136,10186
76,-5120,-1704,9606
77,-5118,-4522,7348
79,-3812,-11430,7954
80,-156,-10134,8036
81,1730,-7460,6066
83,1652,-856,5292
84,-104,2250,6146
86,-3248,852,10312
87,-5766,-6116,9918
88,-3926,-8128,6222
90,-1868,-9934,8074
91,606,-7430,8548
93,830,-464,5690
94,-782,808,6174
95,-3536,368,8252
97,-5564,-6530,9332
98,-3060,-10086,6210
99,-362,-11520,6306
101,3300,-7792,6538
102,3246,-3304,4696
103,2592,2630,5472
105,-1940,3326,7768
106,-5100,-4814,9702
108,-4596,-8134,7776
109,-2016,-10656,8548
110,1136,-9674,7338
112,2150,-4682,5248
113,2480,1436,6530
115,-2396,1186,7956
116,-4544,738,10238
117,-4942,-7796,9012
119,-3470,-9074,6486
120,-1724,-9194,8636
121,424,-5540,8216
123,948,-1898,4942
124,404,-236,7516
125,-3796,-442,8542
127,-4796,-9336,7598
128,-1070,-10824,5810
130,702,-10298,6454
131,3066,-5402,6338
132,2346,-1652,5144
134,862,2738,8434
135,-4362,130,9802
137,-5860,-2222,8074
138,-4888,-11388,8480
139,-1148,-11732,7364
141,1184,-9328,6286
142,2790,-3176,6314
143,1218,1214,5156
145,-1822,1228,9690
146,-6468,-2454,10930
147,-5730,-5050,6760
149,-3406,-11510,8906
150,-620,-10474,6554
152,1308,-3650,5194
153,1298,-1198,5720
155,-586,-274,7456
156,-3480,-2378,8448
157,-4012,-7488,6432
159,-514,-9970,6062
160,1754,-10152,6336
161,2626,-2126,5884
163,444,1198,5944
164,-1102,2526,8984
166,-5282,-1938,9300
167,-5508,-6414,8114
168,-3626,-11006,7212
170,1182,-10942,6808
171,2040,-7644,5318
172,1902,2054,5474
174,-962,2966,6530
175,-3208,-926,10354
176,-7096,-4094,10100
178,-5418,-8644,6650
179,-1158,-11668,8404
181,802,-9592,8540
182,2230,-1550,3546
184,1286,260,5854
185,-1064,38,7934
186,-4142,-4588,8430
188,-3852,-9934,6442
189,892,-8230,4900
190,1092,-7388,7456
192,1762,-718,5936
193,-466,2646,5534
194,-1614,1806,9792
196,-5616,-4694,8668
197,-3990,-7724,7372
199,-2104,-11866,6624
200,1782,-7876,6004
201,2192,-4034,6540
203,-290,2348,6570
204,-2060,2846,7128
206,-6120,-3436,10804
207,-5708,-7330,8558
208,-4166,-11442,7122
210,382,-10872,7918
211,2224,-7188,4278
213,3014,270,4942
214,168,1384,5986
215,-2906,-2330,9740
217,-4022,-6532,7882
218,-2790,-8876,6812
220,734,-9752,7322
221,1932,-5962,6618
222,1592,206,6652
224,-1098,1180,6830
225,-2544,1458,9738
226,-4902,-8264,9116
228,-3172,-8898,6354
229,-460,-10764,7898
231,1646,-7052,7602
232,1550,-540,6734
233,-2422,1944,8046
235,-5018,2122,9928
236,-7046,-7156,9550
237,-5026,-11102,7716
239,-1764,-13298,7298
240,2388,-9450,7712
241,3494,-4432,4816
243,3044,2856,4836
244,-2184,1948,8426
246,-3532,-154,9294
247,-4188,-8658,7130
248,-1902,-10216,5640
250,184,-8268,8112
251,2196,-4550,6538
253,1712,140,5116
254,-1952,796,7492
255,-4386,-1886,9778
257,-4978,-7320,7502
258,-2030,-10650,6434
259,-276,-10538,7726
261,1264,-3210,7820
262,378,750,6898
263,-1224,1784,8258
265,-6348,-992,11042
266,-6364,-5336,7334
268,-5180,-12696,5406
269,-84,-12224,6372
270,2318,-5684,5524
272,3420,-1268,4600
273,1758,2720,6536
275,-3820,-148,10154
