timestamp,accX,accY,accZ
0,-4682,-7188,8284
2,-756,-11730,7214
3,2276,-7784,6234
4,2272,-1518,6028
6,78,1724,7114
7,-3224,2880,9782
9,-6550,-2356,9676
10,-6192,-7698,8448
11,-3758,-12640,7290
13,1280,-11598,6698
14,3026,-7276,5498
15,2386,20,4888
17,614,1428,5502
18,-2378,-1888,9080
20,-4292,-5942,9198
21,-3832,-8380,6792
22,796,-9724,7286
24,1430,-6124,6482
25,1826,-3164,6520
26,-1374,778,7854
28,-3060,394,8610
29,-4790,-6282,8778
31,-3490,-8978,8200
32,-1840,-8544,6148
33,2268,-6670,7374
35,1436,-3156,5952
36,-2412,3470,7610
37,-3894,158,9676
39,-6084,-2584,7572
40,-4370,-9280,7272
41,-2112,-13148,8340
43,868,-8630,5874
44,3986,-4574,4066
46,3310,146,5928
47,-1848,2346,6952
48,-4240,308,9466
50,-5110,-7038,6816
51,-2514,-9320,6252
52,-752,-11754,8406
54,2142,-4834,4906
55,1588,-1732,5290
57,630,1344,7922
58,-4500,-548,8312
59,-4810,-3786,8946
61,-2558,-9436,6688
62,-482,-8564,6040
63,230,-5248,7760
65,834,-696,5672
66,-1026,2234,8370
68,-5838,-1214,9652
69,-6156,-5146,9198
70,-4426,-11880,7224
72,488,-11718,5170
73,2452,-8844,6382
74,3522,-2282,5014
76,1612,3184,4750
77,-530,376,10394
79,-5122,-2656,9640
80,-4280,-5716,7312
81,-1216,-11622,7770
83,360,-8648,7950
84,2074,-3024,5378
85,1330,-190,6006
87,-924,2448,7874
88,-5476,-3220,9884
90,-5080,-7042,9118
91,-3748,-8332,7294
92,-232,-9280,8810
94,332,-5396,6048
95,464,-152,7626
96,-2106,-110,7710
98,-3848,-3096,8672
99,-5214,-8438,9534
101,-2734,-11210,4790
102,2072,-9650,5514
103,3610,-6542,6968
105,3402,1890,5074
106,110,2184,6032
107,-3096,1892,9732
109,-5304,-5768,7900
110,-4140,-9740,7490
112,-1710,-9866,7486
113,1620,-7384,6344
114,2698,-4116,5632
116,96,1840,6152
117,-3126,2660,7716
118,-5266,-5564,9620
120,-4900,-7420,7992
121,-2910,-9574,8592
123,30,-8552,8326
124,768,-3962,5902
125,318,-586,7108
127,-2382,-358,8098
128,-4088,-2094,8440
129,-3640,-10354,9062
131,-748,-11602,5914
132,1762,-7244,6418
134,3162,-4018,6886
135,1898,88,5704
136,-2372,1666,8256
138,-4702,-268,10574
139,-5600,-8068,7208
140,-2244,-12706,7474
142,-226,-11820,6198
143,2874,-4678,4808
145,2066,-1488,6090
146,986,3512,7548
147,-5114,782,9832
149,-6478,-3024,7988
150,-3782,-9902,6768
151,-2382,-11522,9108
153,-616,-5872,5518
154,1572,-2480,6040
156,996,-514,6470
157,-3106,-558,7672
158,-4702,-4112,8370
160,-3300,-10290,6420
161,-176,-10252,5542
162,1742,-8842,6312
164,2426,-956,5654
165,276,1038,6472
167,-2456,2446,9694
168,-4784,-3630,9142
169,-4970,-7626,6960
171,-2416,-11658,7402
172,954,-9834,7632
173,3446,-1622,4710
175,1230,2076,6192
176,-2010,4262,9770
178,-6048,-2328,10008
179,-6376,-5930,8824
180,-5050,-11556,7848
182,-428,-11298,8348
183,1962,-8592,5358
184,2328,-186,5128
186,198,688,6328
187,-2116,-1130,7754
189,-4380,-4982,8554
190,-3148,-10390,5768
191,698,-8438,6174
193,2306,-6474,6878
194,1728,-268,5532
195,-688,1748,7090
197,-2946,752,9168
198,-4370,-5330,7906
200,-3564,-9578,6766
201,-1182,-9700,7412
202,2302,-6686,5924
204,2398,-2790,5598
205,-1338,3542,7916
206,-4002,1290,9808
208,-6506,-4268,8424
209,-5500,-9628,8980
211,-3282,-12768,6670
212,2088,-9808,6084
213,2156,-6050,6238
215,2920,-2206,5124
216,-1606,2180,6298
217,-3474,-624,9566
219,-4584,-7942,8968
220,-2406,-9626,5652
222,-684,-9132,7434
223,2062,-5024,6292
224,1884,-1602,5616
226,534,586,8262
227,-2638,-448,7596
228,-4752,-3454,8228
230,-2420,-10144,6458
231,-380,-10110,6900
233,1770,-5140,6404
234,1100,-468,5774
235,-1072,2552,9874
237,-5692,-202,9508
238,-6842,-1680,9390
239,-6102,-12188,8046
241,-1174,-12274,6844
242,1450,-11344,6242
244,3532,-2622,4578
245,2114,1310,5146
246,-300,2536,7992
248,-4976,-1148,10102
249,-4448,-6180,6538
250,-1968,-10634,5850
252,952,-11278,8172
253,1528,-3160,4954
255,2250,-222,5496
256,-316,1736,7530
257,-4482,-2266,9380
259,-4768,-6708,9206
260,-2856,-9134,6120
261,-42,-9586,7534
263,778,-2540,6412
264,-44,1708,6094
266,-2322,2492,9124
267,-4990,-2898,10274
268,-5842,-6874,9416
270,-4178,-9728,6168
271,1336,-11888,5606
272,2568,-8102,6868
274,3874,236,4662
