timestamp,accX,accY,accZ
0,536,-11898,5962
2,1910,-7808,5724
3,3868,-3426,4472
5,1708,332,5340
6,-3012,2090,7742
7,-6320,-1870,10270
9,-6372,-4902,7816
10,-1242,-12020,6328
11,1604,-10742,5978
13,3004,-4802,5738
14,3852,392,4428
16,1194,3854,6136
17,-5746,826,10118
18,-8918,-4678,10080
20,-3804,-10434,6030
21,-1726,-11714,7382
22,256,-6012,7608
24,2622,-1858,5648
25,3146,1016,5762
27,366,636,7330
28,-5402,-2820,8952
29,-6126,-8124,7208
31,-1128,-10160,5076
32,-582,-9650,8120
33,1562,-3472,6744
35,2558,310,5458
36,678,2034,6758
38,-3014,-2544,7764
39,-3730,-5822,6418
40,-1708,-8800,5212
42,108,-8232,6958
43,-166,-2718,7814
45,2,-600,6924
46,-1232,946,8648
47,-4000,-2884,9276
49,-4674,-6328,9032
50,-2212,-8870,4898
51,-106,-9144,6654
53,122,-7154,6594
54,-1150,-664,6496
56,-2528,660,8204
57,-4598,-3504,10166
58,-4440,-6880,8744
60,-1468,-10520,5542
61,2534,-9514,5968
62,3392,-6512,5214
64,2096,1184,4188
65,-690,2642,6722
67,-4232,806,9884
68,-5958,-6004,9366
69,-3062,-10650,7472
71,14,-9702,6864
72,3428,-7116,5922
73,3590,-2846,4592
75,-664,3650,5732
76,-4086,3316,7750
78,-7790,-5414,12410
79,-6510,-9402,8192
80,-2968,-10812,8966
82,1426,-9630,8492
83,2658,-4952,6596
84,3912,2384,4536
86,-1396,1808,6164
87,-4320,582,10464
89,-6088,-9840,9480
90,-2594,-10458,5596
91,-1174,-10814,8722
93,2328,-5770,7084
94,3384,-1528,4862
95,174,2242,6460
97,-2056,1348,6550
98,-4116,-7872,8954
100,-3250,-9030,6668
101,-1818,-8348,7078
102,-628,-6216,8510
104,634,-3152,8076
105,130,948,6894
106,-2880,-302,7644
108,-4856,-3742,9056
109,-2556,-8658,6362
111,-1338,-9084,5248
112,138,-6444,7650
113,-256,-3530,6950
115,-674,-436,7896
116,-3322,-406,9184
118,-3984,-3888,7764
119,-820,-10218,6436
120,1322,-10214,4872
122,2406,-5438,5544
123,1324,-1584,5212
124,446,1200,7366
126,-4684,540,8864
127,-5382,-2920,9578
129,-5024,-10450,8198
130,-396,-10356,6532
131,2732,-9432,6018
133,2774,-2286,5514
134,674,1466,5250
135,-2586,1212,9090
137,-8006,-2342,11344
138,-7718,-7092,8506
139,-1960,-11510,7568
141,930,-11714,7392
142,2334,-4496,5264
144,3274,906,3768
145,1316,2902,6050
146,-5178,-1108,9140
148,-6722,-6758,10842
149,-5720,-10064,5186
151,642,-11694,6360
152,1754,-9864,7202
153,3886,-332,4384
155,2120,2210,5430
156,-106,1526,7544
157,-6184,-4668,9174
159,-5692,-8016,6310
160,-1444,-9600,5830
162,-532,-8874,8366
163,-716,-2490,7818
164,988,786,6512
166,-342,1336,7700
167,-3604,-4416,9042
168,-4404,-7220,9042
170,-2682,-9026,4480
171,-610,-8186,6174
173,-480,-7012,8080
174,450,386,6986
175,-1076,1438,6730
177,-2876,-946,10098
178,-2180,-7276,7592
179,-368,-9098,5236
181,1286,-7466,5988
182,1042,-4480,6874
184,478,1570,6026
185,-2462,1442,7498
186,-4820,-430,10492
188,-4400,-8176,8874
189,-1572,-10222,7470
191,990,-7498,5806
192,1960,-5470,6696
193,1658,-2186,5884
195,-2986,3230,6398
196,-6564,290,10376
197,-8080,-8308,9860
199,-3206,-10288,7386
200,-250,-12242,8054
202,3484,-7724,6238
203,4488,-2786,4390
204,3068,3026,5116
206,-3362,2132,6862
207,-6196,-2866,11438
209,-4172,-9416,7132
210,-844,-10526,7306
211,2276,-8076,8988
213,3866,-3134,5804
214,3062,3356,4574
215,-1988,3686,5532
217,-5020,-446,10622
218,-6402,-7988,9456
220,-3492,-10008,5294
221,-1088,-8658,9312
222,566,-5076,8776
224,1728,-1438,5554
225,1278,1704,5832
226,-3496,-1116,7884
228,-5618,-4970,9482
229,-2144,-10506,5306
231,-972,-9418,7126
232,134,-6836,8436
233,500,-2962,8066
235,1268,1902,6782
236,-2242,-1102,7924
237,-3058,-4778,8070
239,74,-8770,3944
240,1198,-8174,3872
242,914,-4816,7996
243,34,-860,6292
244,-790,1804,5952
246,-2570,-1840,10574
247,-5584,-4172,9478
248,-3808,-7856,6534
250,508,-9478,5138
251,1590,-6904,6870
253,234,-1542,5850
254,-1232,2250,5172
255,-3832,1734,11404
257,-7030,-5574,10314
258,-5038,-8528,7044
259,-1252,-11406,7172
261,2284,-9272,6768
262,4114,-6034,4616
264,2190,2042,4362
265,-1546,4004,8436
266,-4950,-5108,11044
268,-6048,-7796,10312
269,-2732,-11168,5478
270,1812,-10488,8466
272,3490,-6404,5776
273,3744,1926,4180
275,-362,4758,4822
