timestamp,accX,accY,accZ
0,-500,-10704,8992
2,2820,-6346,7912
3,3742,-2120,4502
4,474,3922,4938
6,-4088,2412,7268
7,-6492,-7026,11358
9,-4868,-9728,7064
10,-3280,-9714,8616
11,-330,-7902,9256
13,1710,-4180,7816
14,2290,2450,5836
16,-1834,756,6410
17,-4376,-1524,8950
18,-3766,-9478,7604
20,-2790,-9844,5200
21,52,-7910,7546
22,740,-4678,7890
24,1882,-1612,6510
25,-648,622,6012
26,-1650,-1866,8252
28,-3596,-8116,6454
29,-548,-8006,3992
31,894,-8562,7904
32,-346,-3930,7658
33,-660,-618,6138
35,-1512,516,9276
36,-5408,-1478,10484
37,-5450,-5366,7554
39,-628,-10088,5812
40,884,-9716,5754
42,512,-4116,6344
43,-458,-110,4948
44,-1484,1874,9304
46,-4400,-2240,10460
47,-6074,-6320,9424
48,-3300,-10194,6486
50,2270,-11470,6644
51,3418,-8048,5550
52,4184,-424,3656
54,806,2960,5158
55,-2650,2950,9894
56,-7672,-4726,11356
58,-5094,-8930,9116
59,-2094,-10560,6696
61,1934,-9060,8474
62,2844,-5624,4010
63,1976,4110,4360
65,-1438,3458,5368
66,-5114,-3512,12266
67,-7618,-8410,10698
69,-4686,-10112,6154
70,-200,-10616,8736
72,656,-7550,9454
73,2942,1114,4680
74,1008,2140,5118
76,-2612,946,8948
77,-5068,-7858,9212
79,-3934,-10110,7678
80,-1776,-8898,6532
81,588,-8200,8694
83,1542,-4492,6260
84,786,1246,5908
85,-760,1478,6142
87,-2652,-6640,8846
88,-2396,-7744,6742
89,-924,-8228,6360
91,250,-7154,8288
92,-450,-3980,7804
94,-748,-630,7786
95,-3432,322,9388
96,-5236,-2120,10276
98,-4442,-9162,7370
99,-542,-9592,5044
100,930,-8652,7404
102,318,-3712,6744
103,-644,-202,5494
105,-1796,0,9012
106,-5460,-3164,10828
107,-4846,-7454,6956
109,994,-11212,5472
110,2852,-10214,5336
112,3624,-3214,4486
113,1492,654,4548
114,174,1980,7888
116,-6704,-1480,11366
117,-6996,-6272,8406
119,-1186,-10936,6458
120,1236,-9982,8970
121,1694,-4808,6060
123,2694,822,4682
124,1010,3898,6580
125,-6976,-672,11000
127,-8692,-5958,12104
128,-6794,-11092,5700
129,-806,-12072,7228
131,332,-10572,7614
132,3726,-1714,4848
134,2926,1946,4182
135,450,1332,7108
136,-5520,-3446,9286
138,-5852,-8322,7372
139,-810,-10502,4694
140,346,-9340,7074
142,1304,-3070,7372
143,2636,-148,6346
145,936,2034,6152
146,-3636,-3016,8116
147,-4742,-6890,10084
149,-3342,-8844,4252
150,-884,-8454,6768
152,-676,-7702,8954
153,-550,-158,7228
154,-1168,968,6648
156,-3506,-3240,10290
157,-4148,-6186,9516
158,-2366,-8884,3910
160,350,-8662,6228
161,284,-6758,7636
163,-72,-518,5590
164,-1060,1432,6648
165,-3580,-954,10420
167,-3828,-7088,7888
168,-1006,-9468,6400
169,1768,-8352,5220
171,2884,-5138,5078
172,1696,-2402,5834
174,-1172,2988,6360
175,-5180,1414,8540
176,-6716,-7228,10586
178,-3450,-9958,8524
179,-424,-10652,7500
180,2448,-7766,7822
182,3164,-3152,5436
183,1576,3668,5142
184,-4744,2270,8300
186,-7470,-2954,11108
187,-5380,-9822,7722
189,-2202,-12204,6318
190,414,-9600,7614
191,3730,-4516,6180
193,4060,-622,4316
194,-1800,2864,5354
195,-3902,714,7738
197,-6502,-5386,9778
198,-2900,-10064,5384
200,-540,-10678,8100
201,2300,-5042,8152
202,2982,-1558,6410
204,3014,3020,5256
205,-2400,1114,6730
206,-5458,-3326,9748
208,-5656,-8876,5838
209,-2164,-8860,5568
210,-884,-9628,8928
212,-234,-3158,8398
213,806,-152,6656
215,-1408,-540,8272
216,-5002,-3526,9894
217,-3648,-6618,6366
219,-792,-9784,5150
220,24,-8142,5680
221,424,-3356,7480
223,-46,-518,6692
224,-1676,1214,8524
225,-3532,-4746,9410
227,-2464,-6728,7994
228,158,-10006,5216
230,2202,-8240,5380
231,1958,-4180,5546
232,12,1080,6280
234,-3094,1858,7592
235,-5290,-3300,10698
237,-5420,-8146,10264
238,-2596,-10104,6626
239,1534,-9402,7062
241,2578,-6468,6740
242,2048,1688,5160
244,-2978,3264,7000
245,-5570,-3814,10818
246,-6974,-8252,9750
248,-3964,-11156,6454
249,-1256,-11672,7326
250,3574,-8188,7210
252,4508,-3714,3414
253,688,4012,4400
254,-2416,2576,5982
256,-4758,-6422,11192
257,-5170,-9154,8056
259,-2072,-10350,7134
260,1816,-8062,8554
261,2474,-3768,7172
263,3338,2990,5172
264,-540,2712,5466
266,-4370,-4294,10928
267,-5898,-8776,9658
268,-4066,-9210,6544
270,-1004,-9988,9314
271,-416,-6540,8656
273,1606,1376,6974
274,-586,1026,7374
