timestamp,accX,accY,accZ
0,682,-7132,6950
2,-224,-4698,7452
3,-70,1926,5900
4,-4694,1284,9104
6,-6354,-2690,10122
7,-3248,-9592,7356
9,194,-11848,5764
10,1250,-8662,6464
11,3668,-3486,4940
13,3066,-536,5482
14,424,4216,6378
15,-6076,-628,10018
17,-7048,-6052,8346
18,-1342,-10764,5216
19,764,-11178,6164
21,2368,-5986,7244
22,4280,-654,3726
23,2546,4010,5686
25,-4650,1408,8056
26,-8328,-3158,12464
28,-7994,-9994,5692
29,-2310,-11666,6106
30,-98,-11926,9040
32,2362,-3400,6908
33,3092,560,4186
34,652,1464,6938
36,-5822,-944,10042
37,-6180,-7060,7542
39,-1688,-10128,4864
40,-498,-10552,6822
41,444,-5312,7088
43,3140,-1012,5994
44,1690,1330,6074
45,-2602,-1478,7660
47,-3872,-5548,9576
48,-2616,-8166,4258
50,-116,-7956,5260
51,-108,-7406,8762
52,248,-768,6694
54,-1536,1448,6936
55,-2750,-1778,10344
56,-4352,-5538,9784
58,-2720,-8268,5040
59,276,-8988,5868
61,-136,-7192,7902
62,-226,-724,5612
63,-1828,712,7280
65,-3998,-104,10660
66,-4914,-7426,9838
68,-1758,-10402,6958
69,562,-9984,5494
70,2830,-6686,6680
72,2562,-3676,4646
73,-422,4388,5550
74,-3510,1856,8118
76,-6118,-6366,10540
77,-3544,-9708,7308
78,-476,-10844,6756
80,2704,-8644,8100
81,3574,-4046,5678
83,3304,4468,4436
84,-3150,3126,6614
85,-7196,78,12390
87,-6856,-8718,8996
88,-4014,-10852,6134
89,-372,-10540,8890
91,1662,-6502,8404
92,3600,-2460,4804
94,256,2604,4886
95,-4658,1448,8314
96,-6430,-8538,9924
98,-4068,-10774,7278
99,-1076,-11324,7340
100,1432,-7756,8408
102,3386,-4084,6684
103,3424,1876,5424
105,-1438,1874,5960
106,-3612,-886,9672
107,-3560,-8318,7414
109,-1070,-8102,4128
110,-234,-7350,9080
112,290,-3760,8362
113,-300,446,6032
114,-2576,418,7782
116,-4776,-2384,10106
117,-4586,-8510,7208
118,-1072,-9322,3962
120,80,-8214,8592
121,-536,-3952,7308
122,-734,-834,6168
124,-1706,-454,9000
125,-4864,-3588,10808
127,-3414,-7704,6014
128,2042,-11002,4732
129,2520,-8734,5534
131,1610,-2894,5368
132,558,1484,5938
134,-794,1972,8552
135,-6402,-2644,10500
136,-5062,-7786,8074
138,-198,-10466,6130
139,1766,-9624,6154
140,2828,-3156,4998
142,1454,1338,5552
143,-1766,3764,8040
145,-5164,-1850,11322
146,-8284,-6534,10464
147,-6080,-9288,6648
149,292,-12628,7390
150,2132,-9406,8046
151,3148,-290,4720
153,1876,2798,4268
154,-1748,3280,8928
156,-6966,-4990,10740
157,-6416,-9130,9628
158,-2860,-11800,6268
160,1656,-10616,7894
161,2708,-6118,5606
162,3210,1254,4972
164,822,2668,6530
165,-2670,-2834,9326
167,-5842,-7224,10474
168,-3708,-8594,5476
169,-1044,-9186,7550
171,-64,-6706,8474
172,908,114,6952
173,-304,1978,6118
175,-3102,-3372,8680
176,-4690,-5816,9322
178,-3122,-9364,5096
179,-556,-8788,6164
180,-378,-6352,7028
182,120,-1568,7110
183,-1308,680,6670
185,-2624,-418,8798
186,-2514,-7822,8132
187,-230,-9944,5958
189,730,-8174,6032
190,1480,-5348,6256
191,726,-1370,6490
193,44,2728,7690
194,-4828,432,9086
195,-5416,-3972,9354
197,-2228,-9844,7166
198,692,-10022,6260
200,1566,-6582,6692
201,2064,-2108,5438
202,-82,3826,6866
204,-5674,808,9688
205,-7646,-3818,9528
206,-3726,-9986,6894
208,-944,-12668,6888
209,1090,-11650,6524
211,3750,-3472,4292
212,3566,1176,5346
213,534,2740,7300
215,-5676,-728,10098
216,-7456,-9316,8114
217,-1582,-10746,5168
219,272,-12014,8066
220,2198,-4196,6048
222,3836,-728,4892
223,2754,3682,5764
224,-3682,1644,7254
226,-6428,-4330,10590
227,-3724,-8692,5838
229,-1768,-9786,5804
230,-400,-6058,9210
231,1724,-2216,7130
233,942,1164,6046
234,-2808,-224,7418
235,-5460,-3604,9820
237,-4790,-9424,6010
238,-1830,-10080,5060
240,-276,-9166,7862
241,194,-3594,7446
242,956,-888,6650
244,-710,708,7480
245,-2786,-4916,9274
246,-2244,-8158,7960
248,-276,-8596,4590
249,1188,-7722,7072
250,154,-4514,6194
252,-498,1972,6542
253,-2900,1886,9716
255,-4868,-3862,9842
256,-3802,-7920,8596
257,-914,-10390,5602
259,1684,-7856,6018
260,1568,-5426,6796
261,924,2496,5218
263,-3810,3188,7894
264,-6580,-1412,11162
266,-5344,-7950,8172
267,-2196,-11138,6942
268,-56,-10570,6604
270,3520,-6138,5276
271,4608,-2588,4530
272,-1416,4130,5778
274,-3736,2822,7626
