timestamp,accX,accY,accZ
0,-6672,-5838,9756
2,-3234,-9806,7442
3,-686,-11030,7334
5,2928,-8518,5490
6,4146,-4096,4190
7,550,3670,4876
9,-3588,3172,5828
10,-5690,-6650,11960
11,-4492,-8250,7472
13,-1960,-10398,6752
14,2618,-10272,8676
15,4024,-4340,6116
17,4150,3362,3842
18,-1466,3344,5244
20,-4176,950,12216
21,-7034,-7748,10202
22,-3998,-9366,5704
24,-1880,-10298,9436
25,714,-6034,9664
26,2056,-2330,4512
28,-192,2676,5710
29,-3156,58,7370
31,-5710,-8082,9938
32,-3800,-10416,6474
33,-1940,-10292,6800
35,-96,-7716,9274
36,1330,-4414,8066
37,2418,2030,5674
39,-1354,-184,6522
40,-3558,-3136,8498
42,-1868,-8776,5392
43,-14,-8960,3604
44,312,-6282,8134
46,64,-2942,7786
47,-282,794,6958
48,-3552,-1472,9748
50,-4506,-2988,9628
51,-3670,-10328,7046
53,-286,-9536,5444
54,1238,-7928,7368
55,160,-3066,7240
57,-1096,278,6050
58,-3098,-416,10198
60,-6644,-3656,11816
61,-5398,-7118,7316
62,-36,-11582,6256
64,2782,-10138,5744
65,3130,-3022,5232
66,2378,514,4528
68,-1710,4452,7064
69,-6484,-3360,12048
70,-6836,-7238,10680
72,-3348,-10972,5052
73,1886,-11906,7518
75,3176,-7812,5032
76,3418,1438,3774
77,536,4264,4540
79,-2556,3250,11100
80,-9180,-6238,12618
81,-6660,-8346,6004
83,-3588,-12912,7670
84,366,-8684,8906
86,1722,-1580,5616
87,1894,2094,5516
88,-248,2180,7846
90,-6666,-4590,10250
91,-5310,-9988,9404
92,-3842,-11184,4908
94,-302,-9478,7770
95,1206,-7134,6694
97,2850,1456,5550
98,366,2250,4886
99,-1470,-3528,8458
101,-3238,-7056,8298
102,-2592,-9092,4596
103,-318,-7570,6796
105,-378,-5504,8498
106,110,804,7282
108,-1536,1456,6670
109,-3116,-140,10422
110,-3466,-7710,8466
112,-2018,-8990,5602
113,-126,-8214,7214
115,-456,-6014,8398
116,-4,-132,6092
117,-3114,576,8058
119,-4996,-898,11674
120,-5582,-8198,8024
121,-986,-9732,5846
123,1700,-10910,6394
124,3026,-6028,6434
126,2386,-2256,4722
127,-818,3086,5548
128,-5014,682,9990
130,-6708,-3902,8046
131,-2218,-10010,6422
133,412,-11754,7490
134,2056,-6596,6030
135,3962,-1574,4380
137,2060,2290,5362
138,-4494,2876,7772
139,-8230,-2418,11818
141,-8770,-10058,7834
142,-2198,-11638,6198
143,-42,-11700,8702
145,2916,-4074,6960
146,2882,-216,4546
148,1942,2386,5980
149,-4856,-332,8510
150,-6446,-10170,8970
152,-2262,-10962,4634
153,318,-11290,5888
155,782,-5274,7380
156,3234,-872,5806
157,3220,2072,5750
159,-2330,754,7536
160,-4998,-3906,8544
161,-4768,-9682,4938
163,-1048,-8492,5720
164,-814,-5092,8314
166,2,-1858,8990
167,710,816,6576
168,-3450,-594,8372
170,-4998,-4276,10328
171,-3582,-9350,4714
172,-138,-8438,4768
174,-746,-8068,7822
175,-544,-1992,6566
177,-900,-922,6992
178,-2428,-1080,9824
179,-4744,-5072,9560
181,-2616,-8214,5508
182,1988,-9564,4616
184,2132,-7578,5436
185,1960,-1068,5374
186,326,2154,5590
188,-2858,2216,9500
189,-5586,-4882,10390
190,-4318,-8812,9092
192,-1754,-10338,6028
193,1728,-9352,7226
195,3850,-5182,4678
196,-74,1986,5710
197,-2562,3804,6454
199,-6252,-4162,11352
200,-7544,-7728,10110
201,-4290,-10982,7072
203,972,-10644,8954
204,3106,-6982,7182
206,3438,838,4002
207,144,3420,5662
208,-3818,2046,9372
210,-7124,-7886,10494
211,-4794,-10494,7184
212,-1372,-11790,7724
214,2580,-8250,7944
215,3556,-3330,5074
216,2334,2326,5642
218,-1432,2430,6124
219,-3480,-5082,9408
221,-5568,-9278,9196
222,-3026,-9480,6212
223,-166,-8358,8072
225,-194,-4376,8668
226,896,1322,6886
228,-1326,1138,6990
229,-3354,-4994,9712
230,-4356,-9108,8886
232,-2098,-9964,5100
233,-280,-8106,6972
234,-524,-5512,8632
236,-168,-3038,6628
237,-1950,56,7924
239,-3108,-1436,9260
240,-3440,-8792,7688
241,34,-9880,4724
243,1884,-8262,6320
244,932,-4294,6584
245,352,-610,5006
247,-480,970,9132
248,-4876,-1136,9774
250,-5526,-9238,8288
251,-952,-10756,7380
252,754,-9550,5560
254,2364,-4238,6074
255,820,-812,5620
256,-772,3196,7880
258,-7032,-1464,10650
259,-8176,-5164,11166
261,-5850,-11920,7058
262,-74,-11908,7828
263,2268,-5646,5784
265,4298,-1628,4060
266,2190,2022,6296
268,-3624,1918,7532
269,-6750,-4442,10732
270,-6390,-10058,6074
272,-730,-11854,6330
273,1478,-11626,7110
274,3718,-1840,4832
