timestamp,accX,accY,accZ
0,-1704,3546,6564
2,-6218,1180,9936
3,-7652,-6944,9808
4,-4226,-11314,7954
6,-1288,-12274,7324
7,3076,-8132,6536
9,4098,-3692,4366
10,3038,2752,4944
11,-3672,2988,6588
13,-5778,-1022,11234
14,-5240,-9296,8612
15,-2088,-10546,5360
17,938,-9934,8520
18,3332,-4672,6678
20,4046,-268,4926
21,-598,2734,5322
22,-3528,1466,7752
24,-6586,-8122,10590
25,-3262,-9346,5454
26,-1602,-9546,9006
28,142,-5116,9052
29,1342,-1752,7130
31,1814,1928,6968
32,-3330,-240,7598
33,-5224,-3082,8480
35,-2998,-10076,6996
36,-1614,-9110,5420
37,-884,-6406,7912
39,208,-3496,8032
40,848,-800,6528
42,-2164,-918,7214
43,-3282,-4766,9132
44,-2318,-8974,4992
46,856,-8756,4364
47,1752,-8332,7004
48,290,-2198,6252
50,-392,1152,6974
51,-2572,-182,9880
53,-4826,-2854,9086
54,-4234,-7302,7392
55,226,-9340,5560
57,1580,-8276,6668
58,646,-1454,6006
60,-1138,1844,5428
61,-3284,-774,10766
62,-7066,-3510,10396
64,-5890,-7912,7850
65,-544,-12294,7696
66,2824,-10358,6018
68,3798,-2818,4330
69,2668,572,4586
71,-1556,3168,7162
72,-6314,-2942,10532
73,-7522,-7684,11280
75,-3830,-10806,6032
76,1308,-11796,8096
77,3178,-7920,5764
79,3664,610,4096
80,1332,3408,5206
82,-2178,-232,8672
83,-7672,-5658,11698
84,-6202,-9110,6120
86,-856,-11390,7076
87,-334,-8592,9172
88,1260,-798,6008
90,1514,1806,5616
91,-910,1210,8234
93,-4064,-3756,8686
94,-4452,-8396,8556
95,-3636,-10482,5932
97,-38,-8162,6726
98,-110,-5854,8412
99,1624,664,6468
101,-474,568,5650
102,-1280,-4894,8848
104,-2086,-8432,8156
105,-878,-8576,4606
106,704,-7914,6326
108,348,-5164,6964
109,-1226,1124,7612
111,-2628,1682,8438
112,-4270,-3578,10138
113,-3010,-7926,8066
115,-1612,-10218,5474
116,1112,-7834,6440
118,806,-4836,7160
119,-364,1426,6320
120,-4206,1020,8572
122,-6104,-1326,10260
123,-4836,-9110,7304
124,-1252,-11118,7306
126,1316,-8942,5890
127,4198,-5354,4824
129,3556,-1648,4846
130,-1714,2866,6096
131,-4696,912,9092
133,-5646,-7998,9338
134,-2778,-9838,6504
136,-230,-10234,8286
137,2782,-6340,7436
138,4516,-2614,4346
140,-338,3534,5196
141,-3784,2422,7834
143,-7414,-6752,11324
144,-5528,-9380,7620
145,-2910,-11128,8274
147,472,-7678,9158
148,2778,-4110,5190
150,1630,2344,5012
151,-2016,1956,5990
152,-4830,-5760,9386
154,-5032,-9250,8404
155,-3244,-10496,6082
156,222,-9074,8512
158,1316,-5840,7860
159,2492,1030,5418
161,-84,1414,5986
162,-1936,-1282,8504
163,-2884,-7192,7916
165,-1162,-9014,4472
166,50,-7852,7750
167,-156,-5120,7690
169,-360,-1522,7592
170,-2338,936,8784
172,-4738,-912,9842
173,-4516,-8192,8456
174,-966,-9910,5476
176,472,-8784,7190
177,306,-4828,7190
178,-426,-786,5864
180,-1694,536,8878
181,-5498,-2214,10422
183,-5628,-5776,7168
184,-286,-11008,6100
185,1974,-11132,5532
187,3250,-4690,4838
188,2542,-1100,4616
189,532,2728,6924
191,-6074,-692,11104
192,-6796,-5136,11140
194,-4392,-10064,6490
195,754,-11058,7164
196,1634,-9134,5936
198,3790,-30,4162
199,1708,2862,4472
200,-1956,1458,9884
202,-7764,-4028,11040
203,-7658,-8436,6936
205,-2314,-11308,6628
206,374,-11308,8850
207,2022,-2878,5698
209,2574,912,4158
210,500,3384,6630
212,-5218,-2142,8868
213,-6272,-7020,9500
214,-5156,-11082,4986
216,-256,-9912,6758
217,1492,-8890,7506
218,2978,-492,5590
220,2162,2176,4628
221,-642,-2260,8084
223,-4534,-5278,9368
224,-3738,-7448,5230
225,-706,-8972,6572
227,-386,-7914,8432
228,-360,-1014,8488
229,-492,732,6988
231,-2638,1598,9192
232,-5040,-5466,10612
234,-3056,-8678,7850
235,-1090,-8484,5744
236,-108,-7960,7760
238,-468,-3824,6100
239,-1028,632,6460
240,-3652,172,8392
242,-4388,-6458,9218
243,-2224,-9028,7540
245,1108,-10494,4524
246,3004,-7214,5316
247,2268,-3694,6300
249,1138,3080,5246
250,-3602,1866,7404
251,-6010,-1986,11142
253,-3726,-8956,8518
254,-918,-10452,6000
256,1116,-8658,7882
257,2814,-4184,6278
258,2318,144,5178
260,-3622,3282,6858
261,-6898,-858,10914
262,-8914,-8860,9166
264,-2692,-11878,6532
265,-428,-11906,8438
267,2944,-6376,7358
268,3756,-1830,4694
269,3432,3586,4876
271,-3692,1984,6362
272,-6468,-3686,11146
273,-3860,-9846,6080
275,-1040,-9910,4252
