timestamp,accX,accY,accZ
0,140,-522,8036
2,-104,320,6510
3,-1882,1576,8908
4,-4634,-6318,10526
6,-3000,-8040,8000
7,-486,-8004,5604
9,-708,-7602,8480
10,-1066,-3598,6390
11,-1796,518,7034
13,-3742,96,9108
14,-5434,-6822,9216
15,-2318,-9376,7530
17,898,-10792,5140
18,1972,-7060,6124
20,2034,-4162,5776
21,550,2742,5100
22,-3702,1538,8878
24,-6066,-3422,9716
25,-2966,-9790,7536
27,342,-11502,6208
28,2074,-6974,6360
29,3584,-2640,5512
31,2214,660,5638
32,-3710,4182,6900
33,-7080,-1196,10788
35,-8870,-8482,9008
36,-2300,-11820,5666
38,-380,-11976,8834
39,2976,-5586,6996
40,3252,-502,4084
42,2224,2504,5766
43,-5258,882,8090
44,-7114,-3408,10852
46,-3726,-11244,5880
47,-726,-11100,4674
49,642,-7934,8694
50,3432,-2374,6064
51,3602,1002,5322
53,-1986,1324,6770
54,-4682,-1524,9760
55,-5076,-9254,6152
57,-1532,-8760,5114
58,-342,-7430,8396
60,270,-3426,8026
61,1852,-390,6568
62,-480,818,6794
64,-4344,-1996,9658
65,-4670,-6596,6484
66,-1780,-8348,4456
68,-926,-8524,6416
69,-928,-3410,7930
71,-406,-590,6008
72,-1838,680,8924
73,-4394,-3032,9682
75,-3278,-6956,9420
76,-774,-9848,4004
78,2118,-8382,4492
79,2056,-6658,6666
80,724,498,4282
82,-1156,2660,6302
83,-3994,-3284,10274
84,-4318,-6948,8960
86,-1762,-10388,6158
87,2026,-8882,6326
88,2714,-5768,6496
90,2306,1480,5054
91,-2086,5762,6244
93,-5310,1424,11690
94,-8148,-6308,10816
95,-4576,-10378,7482
97,-1956,-12102,8196
98,2520,-8972,7910
100,3500,-3942,3358
101,842,3340,4738
102,-3440,1824,7188
104,-5284,-5704,10686
105,-5618,-9690,8554
106,-2068,-11078,6960
108,2150,-10492,8266
109,3110,-5152,4502
111,4354,3074,4538
112,-258,3160,5622
113,-3106,2272,10344
115,-6176,-8136,9950
116,-3500,-9138,6200
117,-1282,-10002,8316
119,-412,-6570,8726
120,1812,-2968,6064
122,-310,2622,6060
123,-2756,614,10102
124,-5820,-6760,9820
126,-3554,-8788,6474
127,-1662,-9168,6750
128,-1286,-7002,9614
130,162,-3918,7708
131,128,1266,5840
133,-2510,-936,8318
134,-3882,-4384,8216
135,-668,-9228,5040
137,872,-9906,4110
138,1520,-5628,7364
139,758,-3174,5264
141,120,934,7600
142,-4282,-366,9768
143,-5096,-3778,10306
145,-3116,-10164,7282
146,606,-10618,6194
148,1600,-7268,7190
149,1560,-2588,5986
150,-764,2860,5944
152,-3194,302,10468
153,-8196,-4446,12082
155,-5908,-10356,7030
156,-1006,-11952,7410
157,1442,-11084,5916
159,4720,-3146,3520
160,2284,1842,4460
161,-690,2264,7588
163,-6374,-2346,10528
164,-7046,-7512,6792
166,-1584,-11152,5196
167,1470,-12920,7156
168,2616,-4060,5916
170,3860,522,3842
171,2172,4148,5784
172,-4816,838,9826
174,-6930,-5390,11188
175,-6226,-9630,5892
177,-412,-11312,5924
178,-566,-9330,8898
179,2184,-1742,6584
181,1872,1986,5132
182,-238,-12,8728
184,-6168,-3680,9970
185,-5082,-7142,5796
186,-1364,-9752,4930
188,-1176,-8548,7596
189,-550,-3456,7772
190,1030,370,5748
192,-236,1388,7432
193,-3464,-4734,9812
195,-2266,-7490,4610
196,982,-8856,3284
197,706,-7690,6506
199,574,-5886,6592
200,-408,722,6324
202,-1788,1052,7648
203,-4152,-4644,9762
204,-2788,-7542,8066
206,-796,-10414,5308
207,684,-6578,6630
208,800,-5030,7462
210,-258,2630,6124
211,-4072,2440,7760
212,-6732,-944,11272
214,-5064,-8914,8656
215,-1930,-10770,6466
217,862,-9520,6854
218,3652,-6050,4812
219,3716,1810,4848
221,-2292,3064,5806
222,-4562,1636,10894
224,-5986,-7804,9942
225,-2984,-10138,6008
226,-2,-11524,8064
228,3806,-7166,7092
229,4228,-2480,4540
231,178,4452,4968
232,-3256,3658,7646
233,-6422,-6028,11356
235,-5886,-9182,8044
236,-2618,-11148,7634
237,770,-8452,8420
239,1970,-4762,7566
240,1452,2244,5432
242,-1492,2782,5794
243,-5062,-4912,10194
244,-5564,-8964,9274
246,-2942,-10430,5812
247,112,-9578,7444
249,734,-6334,8598
250,1914,1156,5222
251,-228,1528,5882
253,-1920,-1118,9270
254,-2940,-7924,8046
255,-1080,-9022,4912
257,-102,-7370,6102
258,72,-5158,7412
260,-8,-1966,6960
261,-2080,1384,7518
262,-3540,-1644,9120
264,-4482,-8114,8376
265,-642,-10102,5426
267,16,-8276,7178
268,-416,-3624,7472
269,-766,-512,6546
271,-1934,1318,8880
272,-5968,-1736,10312
273,-5788,-6250,8154
275,-260,-11646,6332
