timestamp,accX,accY,accZ
0,930,-8188,5258
2,792,-2366,6120
3,-748,1100,6604
4,-2930,772,9432
6,-6960,-3018,10454
7,-5654,-7202,8098
9,-542,-12266,6432
10,1078,-10462,7088
11,3414,-3386,4524
13,1750,176,4644
14,-504,3026,7360
15,-6180,-2922,10708
17,-7410,-6840,11174
18,-4836,-11182,5602
20,1284,-11854,7872
21,3058,-9132,5326
22,3696,294,4210
24,2520,3426,4070
25,-1830,-32,9048
26,-7546,-4746,11168
28,-6828,-8170,5666
29,-1400,-11608,7676
31,198,-9832,9038
32,1604,-1342,6308
33,2314,1608,5312
35,-296,2718,7528
36,-5852,-2640,9440
37,-6458,-7872,9574
39,-3908,-9672,5476
40,-704,-9162,7568
42,248,-7570,7914
43,2384,-278,5834
44,268,1508,6084
46,-1426,-3280,8410
47,-3184,-7334,8998
48,-1722,-9688,6354
50,-496,-7694,5376
51,850,-6940,7674
52,192,-3554,6884
54,-1608,1718,7184
55,-3110,100,8788
57,-4098,-6078,8800
58,-1510,-9198,6268
59,-356,-9088,6400
61,432,-6134,7476
62,-890,-2078,6566
63,-750,1684,7896
65,-5576,-812,10456
66,-5900,-4170,8640
68,-1784,-10314,6758
69,480,-11344,6346
70,1994,-6604,5108
72,2846,-2620,4800
73,1268,728,6122
74,-4266,646,8794
76,-6944,-3570,11036
77,-6068,-9882,5936
79,42,-11032,6886
80,1908,-11048,6700
81,4300,-2730,4348
83,3474,1400,4094
84,176,3288,6780
85,-6800,-892,10462
87,-8446,-6170,8688
88,-2700,-11260,6104
90,-924,-11168,7654
91,1192,-4536,7940
92,3496,-1298,5172
94,1264,3228,5196
95,-5010,488,7876
96,-6794,-5172,11106
98,-6044,-9778,5500
99,-1446,-10274,5390
100,462,-10252,9056
102,788,-2398,5876
103,2518,1722,4828
105,1124,1444,6848
106,-3896,-3692,9464
107,-3742,-7878,8022
109,-1946,-9148,4900
110,564,-8150,7268
111,-658,-2896,7212
113,246,440,7342
114,-1330,828,8454
116,-4838,-3038,10282
117,-3524,-7982,8348
118,-1784,-8668,4808
120,-238,-7834,6962
121,-1076,-5746,6414
122,-308,664,7280
124,-3172,682,8200
125,-4952,-1266,10272
127,-3456,-8514,8370
128,-668,-10348,6448
129,1018,-8642,5190
131,2220,-5254,5996
132,2400,-2162,5158
133,-1826,2262,6424
135,-5014,-304,10996
136,-4866,-8382,9300
138,-1462,-10082,6902
139,558,-9202,6878
140,3308,-5924,6912
142,3778,-2070,4686
143,-1430,4624,5442
144,-4466,1572,8362
146,-8414,-7500,10772
147,-5066,-9740,7178
149,-2058,-12140,8396
150,1438,-7532,9334
151,3092,-3922,5616
153,2652,3352,4270
154,-2842,2304,6388
155,-5884,-664,10944
157,-8004,-10648,9260
158,-2228,-10704,4526
160,164,-9802,9192
161,2502,-5414,7068
162,3632,-700,5668
164,3164,1682,5342
165,-2428,520,6754
166,-4866,-4774,9692
168,-2162,-9262,5110
169,-84,-8300,8182
171,-416,-6038,8674
172,798,-1786,8080
173,666,242,6270
175,-3320,1088,8408
176,-4932,-4290,10276
177,-4336,-8620,4922
179,-328,-8414,4188
180,-870,-7778,8608
182,-660,-1342,6886
183,-886,98,6750
184,-2342,-1560,9806
186,-4368,-5348,9622
187,-2952,-8496,5320
188,1996,-9466,3616
190,1906,-7322,6472
191,2048,-1252,5452
193,-114,2020,5268
194,-2204,1582,9924
195,-5270,-5330,10674
197,-3682,-8036,6822
198,-982,-10286,5858
199,2294,-7762,7184
201,3312,-5296,5192
202,-216,3380,5112
204,-2498,3464,10474
205,-7116,-3962,10828
206,-7382,-8184,9590
208,-3518,-11398,6814
209,1016,-10186,8874
210,2776,-6960,6744
212,3682,2116,4048
213,-450,3250,5880
215,-4894,-2052,9872
216,-7222,-8674,10746
217,-4776,-10494,7558
219,-1644,-11560,7962
220,2018,-8442,8690
221,4222,-3220,4066
223,2272,2114,4912
224,-1214,2588,5568
226,-3548,-6366,10172
227,-4850,-9366,9064
228,-2748,-8568,5892
230,-276,-9392,9372
231,700,-5060,8714
232,1340,1548,6082
234,-1836,2128,7452
235,-3868,-1168,10078
237,-4304,-7670,8840
238,-2552,-9852,5106
239,-1012,-8164,8040
241,-616,-5274,8754
242,-436,-1718,6080
243,-2002,-292,7808
245,-3102,-2912,8948
246,-3582,-8478,7248
248,464,-10678,4718
249,1500,-8552,5356
250,1202,-4372,6592
252,274,-752,5886
253,-230,446,8290
254,-4840,-2274,9654
256,-4860,-5120,8822
257,-22,-10378,6620
259,986,-8494,6280
260,2004,-4298,7024
261,246,-184,5838
263,-1020,3508,8122
264,-7132,-2072,11256
265,-7654,-6116,11032
267,-5662,-11790,6566
268,234,-11744,7496
270,2544,-9372,5738
271,3686,-732,4408
272,1810,2640,4132
274,-2618,666,8448
