timestamp,accX,accY,accZ
0,3664,-1202,5172
2,638,3118,5566
3,-2706,3960,9722
4,-8066,-4304,11524
6,-6930,-8246,10244
7,-4204,-11938,6988
9,482,-10262,8828
10,2792,-7026,4590
11,3396,1282,4950
13,-792,3642,5334
14,-4538,2788,10644
15,-7468,-8634,10842
17,-4618,-10238,6936
18,-1534,-12434,8050
19,2820,-9110,8082
21,3716,-3394,4282
22,2474,2964,5112
24,-1260,3508,5742
25,-3318,-5356,10238
26,-5142,-9368,9112
28,-2350,-9456,6090
29,166,-8436,7730
31,568,-4444,8792
32,1540,1842,6288
33,-1128,1850,6418
35,-4128,-476,10098
36,-4920,-8666,9300
37,-3020,-9996,5788
39,-1326,-7730,6910
40,-870,-6012,9362
42,-448,-3390,5926
43,-1452,220,6986
44,-2948,-2468,8682
46,-3890,-8584,8400
47,80,-9746,4998
48,1170,-8502,5658
50,624,-4522,6996
51,-214,-1896,6996
52,-102,1946,7200
54,-3918,-1410,9198
55,-4944,-5414,8764
57,86,-10338,5824
58,1300,-8714,4986
59,2424,-4392,6094
61,454,-560,6034
62,-678,2884,7960
64,-6594,-772,10096
65,-8130,-5578,9938
66,-5992,-11448,7044
68,104,-11318,7432
69,2226,-9434,5968
70,3208,-1796,4838
72,1756,2468,6222
73,-4768,1364,8298
75,-7050,-4950,10794
76,-6826,-11004,5990
77,-276,-12406,6416
79,1970,-11828,6100
80,4524,-1714,4594
81,4078,1262,4838
83,142,4026,6168
84,-5920,-1244,8442
86,-7102,-7256,8392
87,-5118,-10188,5118
88,-610,-10444,7224
90,586,-4046,8602
91,2430,-132,5998
92,416,2720,6112
94,-1402,-758,8396
95,-5936,-5834,10594
97,-5020,-9740,5268
98,-1168,-9302,5922
99,-60,-8172,8032
101,-250,-2386,7000
102,932,772,6050
104,-746,-1726,7936
105,-4012,-5190,10198
106,-2258,-8650,4474
108,1110,-8118,4378
109,1028,-6374,6500
110,-262,-1428,6608
112,-1110,1854,7024
113,-2134,440,9678
115,-4382,-5654,9074
116,-1856,-8606,7524
117,-46,-8474,5336
119,1352,-6634,6512
120,402,-3600,5860
121,-2136,2546,7490
123,-4536,1052,8846
124,-7288,-6242,10102
126,-4080,-9980,8532
127,-1302,-11646,6492
128,2680,-7902,6024
130,3300,-4366,5520
131,2850,2724,5666
133,-3418,3066,6736
134,-5324,-348,11284
135,-4876,-10224,8528
137,-2252,-10880,6372
138,566,-9930,7296
140,4166,-5480,6776
141,4580,3620,4714
142,-878,4454,4942
144,-4010,2212,11204
145,-7584,-7792,10752
146,-4806,-9892,6520
148,-1578,-10382,8232
149,782,-6638,8936
150,2252,-3192,5318
152,322,3164,5474
153,-2756,1244,6718
155,-6208,-7254,10584
156,-5114,-10266,7974
158,-2230,-9538,6782
159,-220,-8670,9110
160,1266,-5426,6038
162,1480,682,5892
163,-880,-14,6572
165,-2758,-5574,8878
166,-2720,-8888,7994
167,-406,-8792,4762
169,134,-7092,7284
170,348,-3998,8028
172,-1440,1412,7300
173,-2266,212,7664
174,-4568,-6252,9332
176,-2378,-8222,7164
177,-462,-9036,5574
179,20,-6504,8040
180,-358,-3102,6364
181,-988,1290,7558
183,-5072,-554,9800
184,-6040,-3444,9294
185,-3072,-10168,8246
187,544,-11718,5998
188,2002,-6808,6542
189,3364,-3790,5622
191,1414,280,4984
192,-2966,1964,8238
194,-6542,-3322,11100
195,-6042,-9580,6960
196,-332,-12470,6174
198,2036,-11786,7348
199,4096,-4276,5398
200,3674,794,4756
202,878,4392,5752
203,-6448,126,10098
205,-9226,-5148,9602
206,-3054,-10878,4970
207,-1198,-12516,6732
209,252,-5962,8022
210,3062,-1106,5406
211,2226,2728,5310
213,54,678,7952
214,-5990,-3136,9806
215,-6164,-11734,7356
217,-1424,-10794,4632
218,-242,-9438,8776
220,3132,-4074,6740
221,2986,536,5222
222,1252,1744,7006
224,-3062,-2240,8684
225,-4234,-5656,6450
226,-2624,-8386,4206
228,54,-8152,6564
229,-76,-7200,8136
231,232,678,6520
232,-728,1180,6334
233,-3028,-3266,9868
235,-4132,-6616,9164
236,-2142,-8542,3844
238,-340,-8802,7048
239,-906,-6832,6360
240,-1128,610,5366
242,-2448,686,7476
243,-4964,-4622,10562
245,-3968,-7588,8136
246,-1546,-11174,5166
247,2164,-8708,5906
249,2520,-6248,5842
250,624,952,4864
251,-788,3652,5642
253,-4668,-3852,11216
254,-5382,-7264,9080
256,-2396,-10554,5584
257,2230,-9902,6582
258,3682,-7484,6832
260,3608,1724,4828
261,-1084,4836,5234
263,-3690,3788,11910
264,-8916,-6032,12458
265,-5922,-9384,7968
267,-2392,-11352,7588
268,1512,-9204,9158
270,2312,320,4386
271,1776,3916,3650
272,-1688,2866,5968
274,-5396,-4866,12044
275,-6744,-10016,9648
