timestamp,accX,accY,accZ
0,-1158,-11988,6564
2,1200,-7062,8106
3,3364,-3160,5230
4,2712,2168,5090
6,-4002,2922,7340
7,-7204,-480,10666
9,-8094,-6688,8796
10,-3240,-11052,5580
11,-654,-11758,8714
13,746,-5112,6876
14,3416,-808,4970
15,2204,2092,6300
17,-3916,-582,7338
18,-4636,-5370,9140
19,-4850,-9608,5980
21,-174,-8754,5722
22,100,-8784,8284
24,1750,-1602,6662
25,844,1448,6398
26,-582,-1000,7932
28,-4164,-4610,9042
29,-3064,-7128,5670
31,-226,-9588,5384
32,-224,-6878,7726
33,-480,-1506,7604
35,-1626,296,7950
36,-2552,564,9828
37,-4818,-5198,9930
39,-2824,-8628,7664
40,-1082,-9630,4734
41,580,-7682,7620
43,764,-5100,5506
44,-1296,1814,6316
46,-3276,1318,8926
47,-5522,-5926,9534
48,-2620,-8488,6788
50,-510,-10986,6140
51,3068,-8368,5096
52,3794,-4990,4808
54,2726,3096,5484
55,-2484,3600,6988
56,-5984,258,11416
58,-5690,-7726,8734
59,-2900,-10410,6766
61,-80,-9882,8018
62,3062,-6182,6914
63,3496,-1100,4572
65,1280,3284,6082
66,-6012,1826,8820
67,-7592,-8318,11070
69,-5332,-10444,7120
70,-1926,-12118,5690
72,660,-8774,8656
73,4058,-4192,5370
74,3248,1296,4448
76,-1996,1246,6412
77,-4406,-1776,9696
79,-4778,-9344,8250
80,-1718,-10012,5216
81,20,-8220,8440
83,2182,-3740,7346
84,2472,-332,5534
85,-1334,1990,6262
87,-3128,-1140,8122
88,-4800,-7484,8322
89,-2216,-9278,4842
91,-992,-8540,5850
92,-1298,-4214,8614
94,-732,-704,7428
95,-930,704,7390
96,-4276,-1658,9644
98,-4718,-5598,9464
99,-668,-10616,4446
100,462,-9242,5336
102,338,-4712,7200
103,-278,-1002,6416
105,-740,1170,8394
106,-4348,-2566,10638
108,-3960,-6276,8916
109,-1900,-10952,5140
110,2454,-9976,5304
112,2486,-3984,5152
113,1446,412,5746
114,-104,2312,7730
116,-6598,-224,10462
117,-7044,-5406,11190
119,-4700,-10778,6032
120,222,-10500,6136
121,1692,-9238,6016
123,2968,-84,4658
124,496,3268,4370
125,-3920,290,10750
127,-8368,-5186,12418
128,-6776,-8578,5104
130,-404,-12884,7312
131,1362,-11544,6082
132,3918,-1932,3970
134,4022,2076,3320
135,392,3402,6980
137,-5468,-3660,10458
138,-5938,-8222,10486
139,-3968,-9804,5416
141,-274,-10620,8886
142,1462,-7134,6772
143,2954,920,5314
145,866,3150,5770
146,-2850,-1070,8500
148,-6018,-6106,10838
149,-4450,-8974,4498
150,-1238,-8954,6416
152,-896,-8506,9654
153,-456,-692,6406
154,-138,1220,5402
156,-2082,312,8878
157,-4172,-5948,9104
158,-2642,-8970,6704
160,-678,-8796,5630
161,88,-7362,6886
163,80,-3946,6338
164,132,1528,6794
165,-2492,172,8690
167,-4062,-3484,9004
168,-966,-8984,6230
169,1446,-9860,5288
171,1830,-6814,6512
172,994,-3024,6396
174,548,446,6756
175,-5194,1794,9174
176,-6634,-2134,11564
178,-6168,-9456,8146
179,-394,-10836,5654
181,728,-8072,7140
182,2350,-3554,5450
183,1906,576,5390
185,-1268,3002,7834
186,-7404,-1942,11966
187,-8244,-6454,7808
189,-1660,-11956,5536
190,516,-12570,7608
191,2794,-5570,5376
193,4668,-422,3518
194,2912,3444,5766
196,-4162,626,7920
197,-6772,-5450,11720
198,-6164,-9116,4934
200,-886,-11154,6788
201,710,-5420,8684
202,3466,-2008,5872
204,2776,2774,5542
205,-4144,1360,7444
207,-6156,-2484,10412
208,-6432,-9430,6614
210,-2652,-9840,5588
211,-1254,-10274,9026
212,894,-3812,7664
214,1486,86,5864
215,-1562,-354,6906
217,-4474,-2950,8602
218,-3888,-10168,6450
219,-1286,-9802,4446
221,222,-8690,7812
222,516,-4142,7612
223,514,-324,6716
225,-752,0,8670
226,-3492,-3672,9438
228,-2372,-6434,5658
229,276,-9326,5172
230,1648,-8638,6832
232,86,-2524,6682
233,-10,656,6508
235,-2972,630,9278
236,-6118,-2756,11374
237,-5524,-7608,7072
239,-150,-10124,5932
240,1340,-10290,6090
242,1936,-3072,5076
243,312,1240,5022
244,-2346,2884,9124
246,-7108,-2568,11098
247,-6620,-7276,7486
248,-196,-11814,5616
250,2752,-11424,6464
251,3558,-3984,4844
253,4262,898,3358
254,774,4308,3904
255,-2052,-1760,10568
257,-8000,-6316,12000
258,-4942,-10768,5710
260,68,-11616,7602
261,1338,-7978,7896
262,3304,-516,4398
264,1692,4174,4862
265,-1690,2612,9128
266,-7750,-4030,11266
268,-7042,-8416,5810
269,-3972,-11152,6416
270,-710,-10232,8864
272,270,-2676,6004
273,2278,1002,5400
275,768,946,6856
