timestamp,accX,accY,accZ
0,-2286,238,7646
2,-3628,-3312,9954
3,-1296,-9420,6858
4,724,-9662,3764
6,1924,-7024,6090
7,788,-4146,7232
9,-38,-984,6410
10,-3234,1050,7364
11,-4736,-2580,10250
13,-4866,-9238,7558
14,696,-9454,4646
15,2138,-8692,5450
17,2050,-2934,6008
18,58,940,5530
19,-1392,3356,8530
21,-7314,-1616,11042
22,-8098,-6106,11452
23,-4858,-11280,6490
25,734,-11798,7152
26,2756,-8680,5386
28,3310,-472,3968
29,766,2492,5098
30,-2810,42,9324
32,-7626,-6568,12204
33,-5300,-9924,8278
34,-2370,-12856,7046
36,1850,-10540,9458
37,3308,-4864,3896
38,2996,3194,4414
40,-196,3632,7866
41,-6662,-4202,10782
43,-6316,-7812,9850
44,-3740,-8636,6092
45,-626,-10876,8898
47,458,-6050,6744
48,2410,968,5466
50,-254,2262,6234
51,-2846,-122,9262
52,-5100,-6394,9066
54,-3924,-9800,6660
55,-2212,-9004,6842
56,-986,-7168,8598
58,228,-4856,7186
59,-486,1344,6526
60,-1540,-70,7428
62,-3832,-7286,8606
63,-1312,-9186,6174
65,40,-9238,4982
66,1006,-6406,7284
67,788,-3758,6648
69,38,1624,7184
70,-3508,-366,9304
71,-4476,-3010,7740
73,-1104,-8430,6542
74,284,-10182,6420
76,1398,-5022,6284
77,570,-2502,5518
78,-766,1460,8032
80,-3300,532,9750
81,-7390,-2640,11002
82,-6392,-10590,7552
84,-846,-11678,6938
85,2172,-11050,5770
86,2932,-3288,4064
88,2534,454,4120
89,-962,2168,6966
91,-6156,-1458,10222
92,-6922,-8008,7718
93,-826,-11046,5182
95,1682,-12618,7426
96,2512,-8594,5978
97,3792,1114,3694
99,1672,4242,4450
100,-1512,34,9908
102,-7698,-5104,11604
103,-6250,-8054,5620
104,-790,-11832,7340
106,-262,-9732,9534
107,1300,-1270,5254
108,1808,1826,5884
110,-440,1878,8490
111,-6188,-3150,9196
113,-5442,-7612,9338
114,-3870,-10048,5032
115,-698,-9608,7582
117,-476,-7538,7310
118,1750,592,5628
119,346,1332,6196
121,-2082,-3158,9166
122,-2890,-7146,8224
124,-1566,-9386,4326
125,578,-7246,6008
126,474,-6472,7494
128,792,586,6660
129,-1452,1200,7254
130,-3164,-350,10164
132,-2858,-6506,8322
133,-1000,-8918,5850
135,310,-7464,7074
136,138,-5756,7356
137,-534,-1724,6616
139,-3824,926,8194
140,-6430,-300,10450
141,-6468,-8428,8890
143,-2038,-10990,7380
144,996,-11518,6258
145,1784,-7018,5320
147,3232,-2468,4358
148,1146,794,5776
150,-4328,1190,8884
151,-6620,-4362,11226
152,-5384,-9956,6266
154,10,-12610,6378
155,2138,-10670,7060
156,4580,-2442,4524
158,2622,2924,4582
159,-112,3666,7842
161,-6984,-2028,10568
162,-7888,-6456,7912
163,-2580,-11192,5720
165,-656,-11804,8112
166,950,-4542,7130
167,2676,-306,4736
169,1610,3326,6472
170,-5744,-920,8954
171,-6142,-4270,9958
173,-5970,-11160,5626
174,-1010,-9764,5578
176,66,-9902,8630
177,2598,-1888,6436
178,2714,1980,4828
180,-40,-546,7414
181,-3918,-3680,9126
183,-3718,-7850,5088
184,-296,-8352,4784
185,-72,-8188,6992
187,280,-1628,7562
188,20,324,6636
189,-1586,780,8886
191,-4180,-3814,9854
192,-3470,-7822,8854
193,-1170,-7954,4766
195,-164,-8112,7060
196,-590,-5456,6904
198,-1352,1172,5978
199,-3426,1130,8150
200,-5396,-5314,10178
202,-3548,-8552,8250
203,62,-10612,4926
205,2474,-8816,6032
206,2650,-5018,5666
207,1984,1866,4714
209,-2334,3088,6098
210,-5574,-482,11864
211,-4474,-8152,8430
213,-1012,-11070,5386
214,1074,-9396,8486
215,3422,-5572,6580
217,3474,-104,3854
218,-2240,4952,6222
220,-5392,1978,8878
221,-8380,-7926,11320
222,-4254,-9842,5836
224,-1602,-11852,9136
225,2436,-7772,8028
227,3288,-2790,5582
228,3106,3468,4996
229,-3862,1754,6726
231,-5530,-934,11504
232,-5150,-11272,8572
233,-2048,-9902,4048
235,-392,-10124,8952
236,2490,-5596,8046
237,3304,-408,4686
239,-388,1792,5852
240,-2994,-166,8090
242,-5104,-8834,8486
243,-2348,-9318,4842
244,-102,-8710,7946
246,-634,-5256,8860
247,754,-1716,7518
249,492,702,6736
250,-3374,-634,8970
251,-4766,-4990,8162
253,-1184,-8222,4520
254,-510,-8486,4950
255,-468,-4792,8618
257,-722,-1554,6804
258,-1150,544,8160
260,-4740,-2570,10116
261,-4834,-5520,10346
262,-1868,-9916,4856
264,2326,-9594,4218
265,2308,-7232,7106
266,1666,-1486,5080
268,-18,2376,7412
269,-5554,-1674,10466
271,-5960,-5936,11034
272,-3134,-10664,6248
273,1616,-10158,5958
