timestamp,accX,accY,accZ
0,-154,-6450,6172
2,-654,-5262,5840
3,-714,-3552,7240
4,-624,-3086,7110
6,-1614,-2608,8194
7,-1590,-4472,7894
9,-1056,-5356,7324
10,-2086,-5296,8532
11,-1684,-4820,6904
13,-1726,-2984,7092
14,-2936,-4638,8688
15,-3286,-3844,7956
17,-1832,-5194,7598
18,-1124,-5170,7672
19,-1138,-5798,8176
21,-1280,-5522,6208
22,-1176,-3562,6072
24,-1788,-5144,8102
25,-2570,-4512,8446
26,-880,-5900,6820
28,-100,-5658,7324
29,1050,-5788,7666
30,352,-4060,5720
32,-342,-2380,5782
33,-1572,-3404,7570
35,-3218,-4784,9246
36,-1990,-5138,7556
37,-1090,-6010,6536
39,-224,-5166,8070
40,-1130,-4830,7322
41,-2296,-2276,5926
43,-2874,-1516,8882
44,-4292,-5302,9406
46,-3476,-6024,7694
47,-1470,-7732,7582
48,510,-5988,7198
50,-468,-4340,6960
51,-460,-1618,5734
52,-1618,-1436,5890
54,-2602,-6010,9000
55,-2492,-7036,7180
57,-56,-6974,7040
58,390,-6504,6900
59,840,-4304,7022
61,970,-2236,6046
62,-1760,296,7038
63,-3200,-1800,6450
65,-3992,-7268,8090
66,-2462,-7984,7756
68,-878,-6842,6416
69,192,-3546,7722
70,590,-2436,7000
72,-1718,462,6966
73,-4330,-1740,7110
74,-5366,-4722,8970
76,-2888,-9346,7132
77,-930,-9766,6748
78,1514,-5212,7726
80,2108,-2598,6404
81,262,-96,6230
83,-2770,-414,7274
84,-4344,-4240,8694
85,-4492,-9630,6886
87,124,-10184,5442
88,2380,-8712,7070
89,2582,-2650,7354
91,1194,302,5626
92,-1064,1280,7180
94,-5626,-3244,9426
95,-6168,-6724,7128
96,-1942,-10160,6204
98,1236,-10348,6454
99,1146,-3776,8484
100,402,724,6114
102,-1022,3370,6582
103,-6150,-1942,10286
105,-6866,-6912,10578
106,-5026,-11792,5102
107,1628,-11000,5450
109,2158,-7936,8390
110,2588,-28,5248
111,694,3214,5362
113,-1992,3236,9082
114,-6548,-5732,10184
116,-4754,-9644,5492
117,1726,-12270,4410
118,2954,-9204,6644
120,3762,80,7490
121,796,3126,5694
122,-1908,6150,7184
124,-4466,-5666,11806
125,-7360,-8718,11142
127,-4044,-13460,4952
128,1604,-10910,6894
129,2722,-5474,7988
131,454,3102,6262
132,-1188,5550,5242
133,-5490,-4048,11776
135,-7778,-9602,11390
136,-5066,-11394,3634
138,3186,-12724,5098
139,3622,-8204,7826
140,4328,2676,6648
142,250,5110,4726
143,-2918,4986,8554
144,-7844,-7966,12482
146,-5608,-11678,9534
147,-672,-12694,3704
149,4028,-8978,7476
150,4430,-2674,6546
151,72,5836,5498
153,-3312,6704,6056
154,-6136,-6400,12940
155,-8204,-10314,10840
157,-2898,-14036,3774
158,2812,-10708,6952
160,3326,-3770,8794
161,2196,1620,5734
162,-2914,6194,5874
164,-5444,2346,12280
165,-9216,-11478,12910
166,-3846,-14470,5730
168,1892,-13092,5086
169,4542,-7008,8410
171,4130,232,5420
172,-658,7440,5242
173,-3546,4744,5984
175,-7228,-10098,14164
176,-4722,-13720,7472
177,986,-13976,3978
179,4080,-8050,8358
180,3210,-28,8308
182,2716,8220,5682
183,-3876,6202,6276
184,-8788,-1284,9868
186,-10586,-13028,9552
187,-1640,-14948,3318
188,2748,-15338,8280
190,3154,-2404,8636
191,3020,2942,6088
193,-92,6212,5742
194,-7080,594,8230
195,-9710,-13846,11602
197,-1694,-15740,4076
198,2474,-15208,5818
199,4766,-4030,7966
201,4972,1610,6464
202,2036,6754,4852
204,-5620,3872,6884
205,-8258,-5670,11796
206,-8700,-14052,6036
208,1478,-13996,1222
209,5468,-13430,8386
210,3862,2322,7616
212,726,7162,6700
213,-2156,4686,6244
215,-9426,-3328,11890
216,-11260,-14982,8474
217,-396,-15138,2396
219,4526,-14344,8210
220,3442,-842,7828
221,2258,5374,6390
223,144,6034,5490
224,-7236,-206,8830
226,-9874,-10646,11216
227,-7022,-15336,1600
228,4476,-14472,1632
230,5464,-1932,8138
231,3632,5346,5312
233,896,7624,5090
234,-6882,2304,8092
235,-9476,-7610,12848
237,-8384,-14888,5200
238,3468,-14722,1788
239,4200,-10394,7558
241,2912,4044,7832
242,348,6818,7074
244,-3140,3124,7346
245,-10562,-6292,13146
246,-10364,-12294,5400
248,1604,-15588,2036
249,3672,-13110,6528
250,4146,2584,6530
252,2138,5764,6136
253,-708,4998,6738
254,-8616,-3060,10644
256,-8832,-12196,14082
257,-4234,-14930,1290
259,4788,-12834,3990
260,4940,-8366,6948
261,5234,6242,6028
263,36,7878,5886
264,-4268,5700,9642
266,-9728,-8990,13644
267,-5822,-13772,3254
268,2784,-13890,4462
270,3790,-8396,7402
271,4022,4590,6562
272,-370,5522,6492
274,-5154,5086,9472
